"analysis","module","macrophage_score_cor","macrophage_score_p","macrophage_score_fdr"
"tumor_only","MEbrown",-0.277509477077361,1.81730283452614e-11,3.02883805754357e-11
"tumor_only","MEblack",-0.0213918536021949,0.611550579847817,0.611550579847817
"tumor_only","MEpink",-0.427553492980363,1.4724859642615e-26,3.68121491065376e-26
"tumor_only","MEyellow",-0.227492434032992,4.44579092097918e-08,6.35112988711312e-08
"tumor_only","MEred",-0.199709636161046,1.67559594845147e-06,2.09449493556434e-06
"tumor_only","MEmagenta",-0.391323633016184,3.74235416544869e-22,7.48470833089739e-22
"tumor_only","MEpurple",0.485883402071612,7.18124938451036e-35,2.39374979483679e-34
"tumor_only","MEturquoise",0.633892209082911,6.16150561761778e-65,3.08075280880889e-64
"tumor_only","MEblue",0.892799002851552,1.71670800939297e-197,1.71670800939297e-196
"tumor_only","MEgreen",-0.160402579354867,0.000126845069620743,0.00014093896624527
