"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"grey",981,39,2.87698800807112e-10,NA,1,0.72035424403218,NA
"turquoise",872,19,0.0530364698491124,0.477328228642012,1,0.680730600769306,1
"green",478,5,0.857181497043114,1,1,0.454863603275098,1
"black",385,3,0.936148489532027,1,0,1,1
"yellow",489,4,0.94452697969281,1,2,0.111738027549454,1
"red",435,2,0.991502005746297,1,0,1,1
"brown",636,2,0.999586418377682,1,0,1,1
"blue",645,1,0.999970807067983,1,1,0.568973460781474,1
"magenta",38,0,1,1,0,1,1
"pink",41,0,1,1,0,1,1
