"analysis","module","module_gene_n","target_gene_n_in_input","target_gene_n_in_module","target_enrichment_OR","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_input","driver_gene_n_in_module","driver_enrichment_fdr","driver_enrichment_p"
"tumor_only","turquoise",859,33,13,3.1652557705376,0.00202324616880194,0.0202324616880194,4,1,1,0.529637443644233
"tumor_only","green",432,33,5,1.8984044006794,0.151196281628808,0.755981408144038,4,1,1,0.303413499892912
"tumor_only","grey",883,33,8,1.49636384929738,0.215727434165606,NA,4,0,NA,1
"tumor_only","blue",538,33,5,1.48538160162336,0.278580129336131,0.928600431120435,4,2,0.598328713637731,0.0598328713637731
"tumor_only","magenta",259,33,1,0.570411925957431,0.828137245772252,1,4,0,1,1
"tumor_only","pink",309,33,1,0.472758663341998,0.879019710458043,1,4,0,1,1
"tumor_only","black",326,33,0,0,1,1,4,0,1,1
"tumor_only","brown",497,33,0,0,1,1,4,0,1,1
"tumor_only","purple",39,33,0,0,1,1,4,0,1,1
"tumor_only","red",372,33,0,0,1,1,4,0,1,1
"tumor_only","yellow",486,33,0,0,1,1,4,0,1,1
