"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEbrown",0.856058564058632,0.0588616229286017,0.00132732638292858,0.838373519740517,0.765220497636955,0.237665377738342,0.000276920051021972,1.17275492409033e-09,0.896999640388257,2.20414245043479e-13,1.29247399639638e-12,2.11734197754763e-11,0.00186430851610921,0.00577057607169686,3.02883805754357e-11
"MEblack",0.505283135343639,0.535761361692419,0.704775518676612,0.860988023854995,0.765220497636955,0.602266671061781,0.269517080490528,0.0204010736527486,0.750085312547912,0.0197260751072366,0.0106873712216565,0.118838628086017,0.141169509593026,0.72400825172433,0.611550579847817
"MEpink",0.245122808702995,0.191128353981442,0.915069518309163,0.860988023854995,0.765220497636955,3.03445504998272e-29,5.67584535104476e-24,4.4133061856143e-50,2.62460152292243e-05,0.156700580441371,1.91742247454879e-13,9.57369196591277e-36,1.09822516984931e-43,6.58500333166102e-26,3.68121491065376e-26
"MEyellow",0.245122808702995,0.916130817775752,0.915069518309163,0.860988023854995,0.765220497636955,0.0241764768479761,0.338238914458778,4.96843522572071e-11,0.722873918369743,0.142219886505091,0.309246669241735,4.38109574841635e-07,1.45853213760334e-05,0.0265392197158886,6.35112988711312e-08
"MEred",0.321848675591417,0.535761361692419,0.386505625679929,0.838373519740517,0.765220497636955,0.0694400093522348,0.160940559703883,0.0546123520581902,0.00535931961386311,0.000999412038815571,0.349466072137717,2.10407110646526e-06,0.0207864831616938,1.75172418415337e-06,2.09449493556434e-06
"MEmagenta",0.764258210574927,0.535761361692419,0.915069518309163,0.838373519740517,0.765220497636955,7.07054774137798e-09,7.220400808614e-06,3.90311570404607e-16,0.00122000973840062,0.000999412038815571,0.00521065036081467,4.53718048847619e-09,4.37163082907922e-09,7.79070727304115e-08,7.48470833089739e-22
"MEpurple",0.435826955207358,0.535761361692419,0.284703213269245,0.860988023854995,0.765220497636955,0.203644195775648,0.56911393761903,0.0532475221249511,0.860695126402042,1.23849200671871e-09,0.056077586991951,0.0927686536052253,0.17465350597845,0.00250820444448467,2.39374979483679e-34
"MEturquoise",0.416689528136961,0.15934901196545,0.0417364266704433,0.043240588900534,0.808655710825238,0.14451174246827,5.08760170626983e-17,0.215030464315635,1.72491132734925e-21,0.142219886505091,4.63059315373306e-56,0.026940491099292,0.17465350597845,0.72400825172433,3.08075280880889e-64
"MEblue",0.505283135343639,0.916130817775752,0.704775518676612,0.363614083829819,0.765220497636955,7.07054774137798e-09,2.98155728941867e-18,3.02551387552216e-25,1.98271221116113e-05,0.621728713988722,4.41811999181382e-23,1.41400331759582e-22,1.74095092683036e-15,3.89519138391376e-08,1.71670800939297e-196
"MEgreen",0.67564145537936,0.107254201500111,0.386505625679929,0.860988023854995,0.808655710825238,0.952527379800158,0.56911393761903,0.351697539350104,6.80358173139594e-19,1.47640356295681e-28,3.60618121568706e-21,0.172602093302512,0.839715381343456,4.13981563063972e-05,0.00014093896624527
