"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEbrown",0.856058564058632,0.00588616229286017,0.000132732638292858,0.419186759870258,0.191852139858572,0.190132302190673,0.000138460025510986,5.86377462045165e-10,0.896999640388257,4.40828490086958e-14,6.46236998198191e-13,6.35202593264289e-12,0.000932154258054607,0.0040394032501878,1.81730283452614e-11
"MEblack",0.353698194740547,0.416659870778673,0.493342863073628,0.770836815916753,0.430083222077804,0.542040003955603,0.18866195634337,0.0122406441916491,0.60006825003833,0.0118356450643419,0.00748115985515953,0.106954765277416,0.0988186567151182,0.72400825172433,0.611550579847817
"MEpink",0.04617085040777,0.076451341592577,0.915069518309163,0.810425245059737,0.269164852116135,3.03445504998272e-30,5.67584535104476e-25,4.4133061856143e-51,1.04984060916897e-05,0.141030522397234,7.66968989819514e-14,9.57369196591277e-37,1.09822516984931e-44,6.58500333166102e-27,1.4724859642615e-26
"MEyellow",0.0490245617405989,0.914195496148946,0.843541022755234,0.58283292296999,0.131231380297831,0.00967059073919045,0.270591131567022,1.98737409028829e-11,0.50601174285882,0.113775909204073,0.278322002317562,2.19054787420817e-07,5.83412855041335e-06,0.0212313757727109,4.44579092097918e-08
"MEred",0.0965546026774251,0.362210641092353,0.163436555337929,0.344328232270435,0.539227518329662,0.0347200046761174,0.0965643358223297,0.0436898816465522,0.00321559176831786,0.000472617024186777,0.349466072137717,1.26244266387916e-06,0.0124718898970163,7.0068967366135e-07,1.67559594845147e-06
"MEmagenta",0.687832389517434,0.428609089353935,0.795415489963672,0.292809388731705,0.331147896403487,2.04823502624157e-09,2.8881603234456e-06,1.17093471121382e-16,0.00061000486920031,0.000499706019407786,0.0031263902164888,1.81487219539048e-09,1.31148924872377e-09,2.33721218191235e-08,3.74235416544869e-22
"MEpurple",0.217913477603679,0.428099070510839,0.0854109639807734,0.775504528691489,0.612176398109564,0.142550937042954,0.56911393761903,0.0372732654874658,0.774625613761838,3.71547602015614e-10,0.0448620695935608,0.0742149228841803,0.157188155380605,0.0015049226666908,7.18124938451036e-35
"MEturquoise",0.166675811254785,0.0478047035896351,0.00834728533408866,0.0043240588900534,0.808655710825238,0.0867070454809621,1.52628051188095e-17,0.193527417884072,1.72491132734925e-22,0.10522261350705,4.63059315373306e-57,0.0188583437695044,0.155827476173281,0.65272817043728,6.16150561761778e-65
"MEblue",0.329888993206754,0.916130817775752,0.473201078798068,0.0727228167659638,0.490542727434216,2.12116432241339e-09,5.96311457883734e-19,6.05102775104431e-26,5.94813663348338e-06,0.621728713988722,8.83623998362763e-24,2.82800663519165e-23,3.48190185366072e-16,7.79038276782753e-09,1.71670800939297e-197
"MEgreen",0.540513164303488,0.0214508403000222,0.193252812839964,0.860988023854995,0.758320223725536,0.952527379800158,0.558288431855264,0.351697539350104,1.36071634627919e-19,1.47640356295681e-29,1.08185436470612e-21,0.172602093302512,0.839715381343456,2.06990781531986e-05,0.000126845069620743
