"gene_symbol","present_in_gpl570","forced_into_wgcna_input","selected_probe"
"ABCC4",TRUE,TRUE,"203196_at"
"ADAMTS1",TRUE,TRUE,"222162_s_at"
"AHSG",TRUE,TRUE,"204551_s_at"
"AKR1C1",TRUE,TRUE,"204151_x_at"
"AKR1C3",TRUE,TRUE,"209160_at"
"ATF4",TRUE,TRUE,"200779_at"
"ATG5",TRUE,TRUE,"202512_s_at"
"BECN1",TRUE,TRUE,"208945_s_at"
"C4BPA",TRUE,TRUE,"205654_at"
"CA9",TRUE,TRUE,"205199_at"
"CADM3",TRUE,TRUE,"221921_s_at"
"CASP14",TRUE,TRUE,"231722_at"
"CCL20",TRUE,TRUE,"205476_at"
"CGA",TRUE,TRUE,"204637_at"
"CPS1",TRUE,TRUE,"204920_at"
"CRP",TRUE,TRUE,"205753_at"
"CXCL13",TRUE,TRUE,"205242_at"
"CXCR4",TRUE,TRUE,"217028_at"
"CYP11A1",TRUE,TRUE,"204309_at"
"CYP2A6",TRUE,TRUE,"211295_x_at"
"DDIT4",TRUE,TRUE,"202887_s_at"
"DKK1",TRUE,TRUE,"204602_at"
"DPT",TRUE,TRUE,"213068_at"
"DUSP1",TRUE,TRUE,"201041_s_at"
"ESR1",TRUE,TRUE,"217190_x_at"
"FLG",TRUE,TRUE,"215704_at"
"GSTA2",FALSE,FALSE,
"HPGD",TRUE,TRUE,"211548_s_at"
"HSD3B2",TRUE,TRUE,"206294_at"
"HSPA1A",FALSE,FALSE,
"HSPA1L",TRUE,TRUE,"200800_s_at"
"IGFBP1",TRUE,TRUE,"205302_at"
"LUM",TRUE,TRUE,"229554_at"
"MAP1LC3B",TRUE,TRUE,"208785_s_at"
"MMP2",TRUE,TRUE,"201069_at"
"MMP9",TRUE,TRUE,"203936_s_at"
"NEAT1",FALSE,FALSE,
"NR1I2",TRUE,TRUE,"207202_s_at"
"NR1I3",TRUE,TRUE,"207007_at"
"NR3C1",TRUE,TRUE,"216321_s_at"
"OMD",TRUE,TRUE,"205907_s_at"
"PARP10",TRUE,TRUE,"229350_x_at"
"PGR",TRUE,TRUE,"228554_at"
"PLA2G4A",TRUE,TRUE,"210145_at"
"PLAC8",TRUE,TRUE,"219014_at"
"PPARA",TRUE,TRUE,"244689_at"
"PPARD",TRUE,TRUE,"37152_at"
"PPARG",TRUE,TRUE,"208510_s_at"
"PTGER1",TRUE,TRUE,"231201_at"
"PTGER2",TRUE,TRUE,"206631_at"
"PTGER3",TRUE,TRUE,"213933_at"
"PTGER4",TRUE,TRUE,"204897_at"
"PTGES",TRUE,TRUE,"210367_s_at"
"PTGES2",TRUE,TRUE,"218083_at"
"PTGES3",TRUE,TRUE,"200627_at"
"PTGFR",TRUE,TRUE,"207177_at"
"PTGS1",TRUE,TRUE,"215813_s_at"
"PTGS2",TRUE,TRUE,"204748_at"
"PTX3",TRUE,TRUE,"206157_at"
"RELA",TRUE,TRUE,"209878_s_at"
"RGS2",TRUE,TRUE,"202388_at"
"RPS2",FALSE,FALSE,
"RXRA",TRUE,TRUE,"202426_s_at"
"RXRB",TRUE,TRUE,"215099_s_at"
"SCGN",TRUE,TRUE,"205697_at"
"SIRT1",TRUE,TRUE,"218878_s_at"
"SIRT2",TRUE,TRUE,"220605_s_at"
"SIRT3",TRUE,TRUE,"221562_s_at"
"SIRT5",TRUE,TRUE,"219185_at"
"SLCO2A1",TRUE,TRUE,"204368_at"
"SNHG25",FALSE,FALSE,
"SNORA13",FALSE,FALSE,
"SNORA65",TRUE,TRUE,"1558081_at"
"SPP2",TRUE,TRUE,"214478_at"
"SQSTM1",TRUE,TRUE,"244804_at"
"STAR",TRUE,TRUE,"204548_at"
"STAT3",TRUE,TRUE,"225289_at"
"SUSD2",TRUE,TRUE,"227480_at"
"TIMP1",TRUE,TRUE,"201666_at"
"TIMP2",TRUE,TRUE,"224560_at"
"TNC",TRUE,TRUE,"201645_at"
