"gene_symbol","module","kME_own","target_group"
"PTGES3","blue",0.698234415408571,"81_gene_program_and_7_driver"
"ABCC4","blue",0.305184683115969,"81_gene_program"
"PLAC8","brown",0.705893594995873,"81_gene_program"
"PTGER4","brown",0.665597468370399,"81_gene_program_and_7_driver"
"HPGD","brown",0.499993115282468,"81_gene_program"
"PPARG","brown",0.42041819923493,"81_gene_program"
"PTGER2","brown",0.408789787367766,"81_gene_program"
"AKR1C3","brown",0.376006286471307,"81_gene_program"
"C4BPA","brown",0.206614347965105,"81_gene_program"
"SIRT1","green",0.503676476940188,"81_gene_program"
"BECN1","green",0.501676097771419,"81_gene_program"
"ATG5","grey",0.556984475348227,"81_gene_program"
"PTGES2","grey",-0.554517846150212,"81_gene_program"
"RXRA","grey",-0.453665692018105,"81_gene_program"
"DDIT4","grey",-0.447651828181381,"81_gene_program"
"CA9","grey",-0.430346514346336,"81_gene_program"
"STAT3","grey",-0.374402992906575,"81_gene_program_and_7_driver"
"RELA","grey",-0.366826377627182,"81_gene_program"
"PTGER1","grey",-0.277118773520285,"81_gene_program"
"CASP14","grey",-0.248633201735989,"81_gene_program"
"CYP11A1","grey",-0.247463080152507,"81_gene_program"
"PARP10","grey",-0.234783610880279,"81_gene_program"
"SIRT3","grey",-0.230513581798174,"81_gene_program"
"SCGN","grey",0.218754985373873,"81_gene_program"
"ATF4","grey",-0.216976078854627,"81_gene_program"
"RXRB","grey",-0.214131349150716,"81_gene_program"
"HSPA1L","grey",-0.205333183210711,"81_gene_program"
"SLCO2A1","grey",0.182873014128778,"81_gene_program"
"PLA2G4A","grey",-0.169879218180449,"81_gene_program"
"PTGES","grey",-0.16892249856851,"81_gene_program"
"CPS1","grey",-0.164104938303078,"81_gene_program"
"AKR1C1","grey",0.157298727409261,"81_gene_program"
"FLG","grey",-0.15373306924952,"81_gene_program"
"SIRT2","grey",-0.153688082526294,"81_gene_program"
"NR1I3","grey",-0.153161291204681,"81_gene_program"
"STAR","grey",-0.151967935062882,"81_gene_program"
"SQSTM1","grey",-0.120140064651651,"81_gene_program"
"SNORA65","grey",-0.110839521191512,"81_gene_program"
"IGFBP1","grey",-0.105365452462703,"81_gene_program"
"PPARD","grey",-0.102748040510848,"81_gene_program"
"CYP2A6","grey",-0.0890392636187595,"81_gene_program"
"ESR1","grey",-0.0833688144810144,"81_gene_program"
"AHSG","grey",-0.0813036549927981,"81_gene_program"
"CRP","grey",-0.0667585584461328,"81_gene_program"
"DKK1","grey",-0.0548265420905641,"81_gene_program"
"HSD3B2","grey",0.0512708052164046,"81_gene_program"
"CADM3","grey",-0.0401313953723237,"81_gene_program"
"SPP2","grey",-0.0310973210228193,"81_gene_program"
"MAP1LC3B","grey",-0.0270885420128756,"81_gene_program"
"CGA","grey",0.00698736360109866,"81_gene_program"
"CXCR4","red",0.719175010061399,"81_gene_program_and_7_driver"
"CXCL13","red",0.718317551418819,"81_gene_program"
"TIMP2","turquoise",0.907179184004105,"81_gene_program"
"MMP2","turquoise",0.845741718591597,"81_gene_program"
"LUM","turquoise",0.820582903659173,"81_gene_program"
"NR3C1","turquoise",0.76034047796457,"81_gene_program"
"TNC","turquoise",0.752532062835068,"81_gene_program"
"PTGER3","turquoise",0.73990362554953,"81_gene_program"
"RGS2","turquoise",0.702442676319669,"81_gene_program"
"ADAMTS1","turquoise",0.689916882932702,"81_gene_program"
"DPT","turquoise",0.679139154815361,"81_gene_program"
"TIMP1","turquoise",0.662265054593729,"81_gene_program_and_7_driver"
"PTGS1","turquoise",0.544847529916041,"81_gene_program"
"MMP9","turquoise",0.533513107235124,"81_gene_program_and_7_driver"
"OMD","turquoise",0.526934254562188,"81_gene_program"
"PTGFR","turquoise",0.523038302519684,"81_gene_program"
"DUSP1","turquoise",0.521572902956154,"81_gene_program"
"SUSD2","turquoise",0.494343365099368,"81_gene_program"
"PGR","turquoise",0.458045276806148,"81_gene_program"
"PTX3","turquoise",0.424330354859972,"81_gene_program"
"PTGS2","turquoise",0.323171441110797,"81_gene_program"
"NR1I2","yellow",0.575063299192892,"81_gene_program"
"PPARA","yellow",0.476590283022505,"81_gene_program"
"SIRT5","yellow",0.38760380052088,"81_gene_program"
"CCL20","yellow",0.348684590279562,"81_gene_program"
