"gene_symbol","module","kME_own","target_group"
"NR1I2","black",0.611555016588841,"81_gene_program"
"SIRT5","black",0.391052468327096,"81_gene_program"
"CCL20","black",0.364258364785155,"81_gene_program"
"PTGES3","blue",0.680911218550628,"81_gene_program_and_7_driver"
"ATG5","brown",0.464870073170691,"81_gene_program"
"PPARA","brown",0.365564417166347,"81_gene_program"
"PLAC8","green",0.627000791718954,"81_gene_program"
"PTGER4","green",0.614165628662162,"81_gene_program_and_7_driver"
"PPARG","green",0.404362295237398,"81_gene_program"
"PTGER2","green",0.392416821113189,"81_gene_program"
"C4BPA","green",0.274154272123075,"81_gene_program"
"STAT3","grey",0.462758592000571,"81_gene_program_and_7_driver"
"CA9","grey",0.457304718298179,"81_gene_program"
"DDIT4","grey",0.441466786651888,"81_gene_program"
"ABCC4","grey",-0.435899088692266,"81_gene_program"
"PTGES2","grey",0.403060876346695,"81_gene_program"
"RXRA","grey",0.386356684535924,"81_gene_program"
"PPARD","grey",0.322412503621737,"81_gene_program"
"CPS1","grey",0.244777580189251,"81_gene_program"
"PARP10","grey",0.223455526341179,"81_gene_program"
"RELA","grey",0.215229684661129,"81_gene_program"
"SIRT3","grey",0.195791824347189,"81_gene_program"
"ATF4","grey",0.176512750195649,"81_gene_program"
"SCGN","grey",-0.163094722473507,"81_gene_program"
"RXRB","grey",0.161314868599401,"81_gene_program"
"CASP14","grey",0.158021656789891,"81_gene_program"
"CYP11A1","grey",0.152744042672307,"81_gene_program"
"PTGES","grey",0.128457696548943,"81_gene_program"
"HPGD","grey",-0.127274955550043,"81_gene_program"
"PTGER1","grey",0.123473612887754,"81_gene_program"
"SLCO2A1","grey",-0.112821100743304,"81_gene_program"
"STAR","grey",0.105227506195416,"81_gene_program"
"AKR1C3","grey",-0.104384963285535,"81_gene_program"
"CADM3","grey",-0.0998982781471511,"81_gene_program"
"FLG","grey",0.0906451030323441,"81_gene_program"
"HSD3B2","grey",0.0900461380234169,"81_gene_program"
"IGFBP1","grey",0.0834269652233833,"81_gene_program"
"NR1I3","grey",0.0776581247158664,"81_gene_program"
"AKR1C1","grey",-0.0772829483631082,"81_gene_program"
"SPP2","grey",-0.0737338828545889,"81_gene_program"
"MAP1LC3B","grey",0.0592743996813857,"81_gene_program"
"DKK1","grey",0.0568232686435672,"81_gene_program"
"ESR1","grey",-0.0554838181921298,"81_gene_program"
"SNORA65","grey",0.0538178382288168,"81_gene_program"
"AHSG","grey",-0.052827276053075,"81_gene_program"
"SQSTM1","grey",0.0417017193347866,"81_gene_program"
"CYP2A6","grey",-0.0293431762131681,"81_gene_program"
"CGA","grey",-0.0291904340032079,"81_gene_program"
"SIRT2","grey",-0.0136789629371126,"81_gene_program"
"CRP","grey",-0.00737598769501665,"81_gene_program"
"SIRT1","red",0.481761240524402,"81_gene_program"
"BECN1","red",0.479160942035678,"81_gene_program"
"TIMP2","turquoise",0.905040861946876,"81_gene_program"
"MMP2","turquoise",0.844692723476145,"81_gene_program"
"LUM","turquoise",0.82454989029845,"81_gene_program"
"NR3C1","turquoise",0.813189361244449,"81_gene_program"
"PTGER3","turquoise",0.750617288739538,"81_gene_program"
"DPT","turquoise",0.746947627575491,"81_gene_program"
"TNC","turquoise",0.743371943058996,"81_gene_program"
"RGS2","turquoise",0.70933652968306,"81_gene_program"
"ADAMTS1","turquoise",0.7072499485147,"81_gene_program"
"TIMP1","turquoise",0.688054022349629,"81_gene_program_and_7_driver"
"OMD","turquoise",0.563577361106523,"81_gene_program"
"DUSP1","turquoise",0.560275296040029,"81_gene_program"
"PTGS1","turquoise",0.556528784131163,"81_gene_program"
"PTGFR","turquoise",0.529768903038651,"81_gene_program"
"SUSD2","turquoise",0.494006816218453,"81_gene_program"
"PGR","turquoise",0.476527309013786,"81_gene_program"
"PTX3","turquoise",0.440571597638248,"81_gene_program"
"HSPA1L","turquoise",0.329103312055057,"81_gene_program"
"PTGS2","turquoise",0.299908114049709,"81_gene_program"
"CXCR4","yellow",0.739146425379323,"81_gene_program_and_7_driver"
"CXCL13","yellow",0.717610367697005,"81_gene_program"
"MMP9","yellow",0.594272792960254,"81_gene_program_and_7_driver"
"PLA2G4A","yellow",0.338195533447972,"81_gene_program"
