"gene_symbol","module","kME_own","target_group"
"TIMP2","turquoise",0.905040861946876,"81_gene_program"
"MMP2","turquoise",0.844692723476145,"81_gene_program"
"LUM","turquoise",0.82454989029845,"81_gene_program"
"NR3C1","turquoise",0.813189361244449,"81_gene_program"
"PTGER3","turquoise",0.750617288739538,"81_gene_program"
"DPT","turquoise",0.746947627575491,"81_gene_program"
"TNC","turquoise",0.743371943058996,"81_gene_program"
"CXCR4","yellow",0.739146425379323,"81_gene_program_and_7_driver"
"CXCL13","yellow",0.717610367697005,"81_gene_program"
"RGS2","turquoise",0.70933652968306,"81_gene_program"
"ADAMTS1","turquoise",0.7072499485147,"81_gene_program"
"TIMP1","turquoise",0.688054022349629,"81_gene_program_and_7_driver"
"PTGES3","blue",0.680911218550628,"81_gene_program_and_7_driver"
"PLAC8","green",0.627000791718954,"81_gene_program"
"PTGER4","green",0.614165628662162,"81_gene_program_and_7_driver"
"NR1I2","black",0.611555016588841,"81_gene_program"
"MMP9","yellow",0.594272792960254,"81_gene_program_and_7_driver"
"OMD","turquoise",0.563577361106523,"81_gene_program"
"DUSP1","turquoise",0.560275296040029,"81_gene_program"
"PTGS1","turquoise",0.556528784131163,"81_gene_program"
"PTGFR","turquoise",0.529768903038651,"81_gene_program"
"SUSD2","turquoise",0.494006816218453,"81_gene_program"
"SIRT1","red",0.481761240524402,"81_gene_program"
"BECN1","red",0.479160942035678,"81_gene_program"
"PGR","turquoise",0.476527309013786,"81_gene_program"
"ATG5","brown",0.464870073170691,"81_gene_program"
"STAT3","grey",0.462758592000571,"81_gene_program_and_7_driver"
"CA9","grey",0.457304718298179,"81_gene_program"
"DDIT4","grey",0.441466786651888,"81_gene_program"
"PTX3","turquoise",0.440571597638248,"81_gene_program"
