"marker_set","gene_symbol"
"fixed_macrophage_myeloid_proxy","CD68"
"fixed_macrophage_myeloid_proxy","LST1"
"fixed_macrophage_myeloid_proxy","TYROBP"
"fixed_macrophage_myeloid_proxy","AIF1"
"fixed_macrophage_myeloid_proxy","FCER1G"
"fixed_macrophage_myeloid_proxy","CTSS"
"fixed_macrophage_myeloid_proxy","C1QA"
"fixed_macrophage_myeloid_proxy","C1QB"
"fixed_macrophage_myeloid_proxy","C1QC"
"fixed_macrophage_myeloid_proxy","MS4A7"
"fixed_macrophage_myeloid_proxy","LILRB1"
"fixed_macrophage_myeloid_proxy","LGALS3"
"fixed_macrophage_myeloid_proxy","CD14"
"fixed_macrophage_myeloid_proxy","CTSB"
"fixed_macrophage_myeloid_proxy","SPI1"
