"analysis","module","macrophage_score_cor","macrophage_score_p","macrophage_score_fdr"
"tumor_only","MEred",-0.138670497122389,0.000940397931527936,0.00114367333208126
"tumor_only","MEmidnightblue",-0.0781115568650874,0.0633022257137205,0.0668190160311495
"tumor_only","MEpink",-0.228774934315887,3.71579250563206e-08,7.84445084522323e-08
"tumor_only","MEpurple",-0.217568189609323,1.71896173232813e-07,2.96911571947586e-07
"tumor_only","MEcyan",-0.234499677686205,1.64704868500319e-08,3.91174062688257e-08
"tumor_only","MEblue",-0.182825817922192,1.20383748381877e-05,1.90607601604638e-05
"tumor_only","MEgreenyellow",-0.371199219432493,6.23546112779521e-20,1.97456269046848e-19
"tumor_only","MElightgreen",-0.13202007340065,0.00164559613851362,0.00183919568422111
"tumor_only","MEmagenta",-0.412457590797004,1.1727091811077e-24,4.45629488820925e-24
"tumor_only","MElightyellow",-0.217974360096835,1.62840967930225e-07,2.96911571947586e-07
"tumor_only","MElightcyan",0.511688962402945,4.32312799618504e-39,2.05348579818789e-38
"tumor_only","MEturquoise",0.634818767445348,3.53299590000405e-65,3.35634610500384e-64
"tumor_only","MEgreen",0.906489053534411,2.38708514713e-213,4.53546177954701e-212
"tumor_only","MEgrey60",0.544644536698716,4.92834923443472e-45,3.12128784847532e-44
"tumor_only","MEtan",0.149832539480216,0.000347612967979299,0.000471760456543335
"tumor_only","MEblack",-0.0128579343849339,0.760186174305448,0.760186174305448
"tumor_only","MEsalmon",0.138392961025773,0.000963093332278958,0.00114367333208126
"tumor_only","MEbrown",-0.284169165808107,5.6519742178694e-12,1.53410728770741e-11
"tumor_only","MEyellow",-0.160882993698897,0.000120978356604398,0.000176814521191044
