"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEred",0.906967160580805,0.0962986000220501,0.331190867854431,0.864949648941704,0.965164905407211,0.325391303050371,0.769459958840233,0.0136212303895878,2.29470819778004e-20,1.21308807621062e-23,2.99033235738441e-19,0.00330784503127841,0.2962776492737,2.54621896155216e-07,0.00114367333208126
"MEmidnightblue",0.804622717658277,0.352713100496069,0.883616053013324,0.746101657078651,0.707936885149223,0.0351151060734419,0.0516617158406932,0.000286987386879152,0.102098809193357,4.69531571970687e-06,0.000846106584213281,9.82494682797787e-07,0.00299951473589645,1.39302692830048e-05,0.0668190160311495
"MEpink",0.453574973744591,0.805850286192245,0.736629341653834,0.853936921407926,0.665643431809431,0.00148026452399496,0.0501564268020016,4.72285081139588e-16,0.725079737112098,0.252142079977571,0.398761514738039,1.48939803226924e-12,3.44235923975926e-08,0.000480259227319393,7.84445084522323e-08
"MEpurple",0.329517737529763,0.805850286192245,0.698711979496427,0.81694201156188,0.707936885149223,0.897661081015405,0.148239734042683,0.461281859642005,0.725079737112098,0.0129484112183928,0.437473649948259,0.0111392464882814,0.932658673458642,0.00819763451458415,2.96911571947586e-07
"MEcyan",0.659522714833864,0.805850286192245,0.532060858302575,0.68129297193847,0.707936885149223,0.00125792890736289,0.0317710557100455,0.00408201543333408,0.0207580845916823,0.0261237816502286,0.00801520067379653,0.00230195952918629,0.0943971322327975,0.000742050556151297,3.91174062688257e-08
"MEblue",0.552284874262071,0.665236176250058,0.458995448845547,0.81694201156188,0.707936885149223,0.388739791553581,0.24950409109584,0.502840008226476,0.26816167143043,8.356054162987e-05,0.840124551451866,0.000694478939313752,0.121804326991272,0.000693963872190896,1.90607601604638e-05
"MEgreenyellow",0.804622717658277,0.732224626518829,0.736629341653834,0.81694201156188,0.707936885149223,1.64538823259354e-09,2.69396929948515e-06,1.07120856762153e-21,0.0108012117163591,0.025059857626948,0.00444052178367124,2.49495368479727e-12,7.914327110219e-12,7.00219039033162e-09,1.97456269046848e-19
"MElightgreen",0.870471349374378,0.11745644671868,0.331190867854431,0.853936921407926,0.808651785218748,0.516228998984503,1.62111513112707e-06,0.252808197976805,0.141663593230784,0.000465702712242023,0.00827528913697201,0.49745772457837,0.111671154578699,0.0357491776162966,0.00183919568422111
"MEmagenta",0.453574973744591,0.231093402745496,0.883616053013324,0.853936921407926,0.707936885149223,6.85279612818823e-29,2.38467990284088e-22,5.95277730954291e-41,1.83941915290236e-07,0.286591505080391,5.82915374811181e-12,3.39810659347063e-29,8.79905111123593e-35,5.78064516949154e-27,4.45629488820925e-24
"MElightyellow",0.766551857069102,0.732224626518829,0.646462007244387,0.853936921407926,0.707936885149223,0.000204731594359211,8.15221305099901e-11,1.16650751291559e-05,0.00766127166358816,0.000873291993618136,2.84745859778772e-05,0.000131288126907992,5.17512910677838e-06,4.02374996192602e-08,2.96911571947586e-07
"MElightcyan",0.552284874262071,0.665236176250058,0.258296896341789,0.853936921407926,0.707936885149223,0.120512989087156,0.28503889912704,0.0136212303895878,0.794505234614684,1.46466770567177e-09,0.0318584001653729,0.0297215351338397,0.0755711988136131,0.000480259227319393,2.05348579818789e-38
"MEturquoise",0.552284874262071,0.11745644671868,0.042266317318667,0.071848020132179,0.959637304278916,0.100266069930074,3.60431403010506e-17,0.191246701612723,6.5537950221831e-20,0.153787457439198,1.97683555541967e-59,0.0111392464882814,0.121804326991272,0.466824068362768,3.35634610500384e-64
"MEgreen",0.625342422967641,0.805850286192245,0.736629341653834,0.471801176661726,0.707936885149223,1.74175724852428e-08,3.60431403010506e-17,9.49592639769663e-24,2.75211791015887e-05,0.445701478808387,6.15368245771225e-24,1.25822632823017e-21,1.02576431967847e-14,6.09838675546502e-08,4.53546177954701e-212
"MEgrey60",0.671746531159838,0.361199424910709,0.042266317318667,0.853936921407926,0.707936885149223,1.06813084002959e-08,1.92485787941776e-09,1.17822104322743e-27,0.00686804591299905,0.153787457439198,0.000324380555043719,8.07088795983145e-20,1.02576431967847e-14,8.79336646757687e-07,3.12128784847532e-44
"MEtan",0.870471349374378,0.0962986000220501,0.202987395515508,0.81694201156188,0.665643431809431,7.9766472230003e-13,0.00189611067653985,3.00755700693991e-43,3.89758698468226e-06,0.0313827765883778,0.0235000091687345,1.42840317364978e-41,9.74604258530419e-17,2.73881761060874e-26,0.000471760456543335
"MEblack",0.695298528750733,0.665236176250058,0.736629341653834,0.853936921407926,0.707936885149223,0.6576894221185,0.28503889912704,0.0476659209392318,0.725079737112098,0.0202524434942487,0.0617574071212569,0.151321512566338,0.133786590266463,0.640175844192925,0.760186174305448
"MEsalmon",0.453574973744591,0.805850286192245,0.230134958656677,0.68129297193847,0.707936885149223,0.00557986575734369,0.835070778046699,2.21786750310043e-18,0.988153595688549,0.00262486179797646,0.00386037590782093,3.78070900224852e-16,1.34532741355801e-05,0.00123591843648905,0.00114367333208126
"MEbrown",0.963334605304686,0.0962986000220501,0.0111988701716479,0.81694201156188,0.707936885149223,0.417570216578186,0.00461526019455025,9.40652710900085e-07,0.537799227831916,3.310119130725e-13,8.54083086718960e-09,2.03934441294296e-09,0.0099006634987433,0.00205916574858272,1.53410728770741e-11
"MEyellow",0.804622717658277,0.0371645088585222,0.042266317318667,0.853936921407926,0.665643431809431,0.6576894221185,0.000109607080540493,7.47447135317751e-08,0.988153595688549,4.69531571970687e-06,3.68602692480303e-11,3.53845638909615e-08,0.11404929778888,0.0725940715397313,0.000176814521191044
