"","age_at_diagnosis","os_event","rfs_event","dataset_validation","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEred",0.859232046866026,0.0196441016617884,0.139752686434753,0.864949648941704,0.965164905407211,0.222636154718675,0.728962066269695,0.0100366960765384,1.20774115672634e-21,6.38467408531904e-25,4.72157740639643e-20,0.00243735949673146,0.28068408878561,8.04069145753313e-08,0.000940397931527936
"MEmidnightblue",0.635228461309166,0.14851077915624,0.840317929052885,0.196342541336487,0.545846573462275,0.0184816347754957,0.0353474897857374,0.00016615059240372,0.0537362153649249,1.23560939992286e-06,0.000400787329364186,5.17102464630414e-07,0.00142082276963516,5.86537654021253e-06,0.0633022257137205
"MEpink",0.0954894681567561,0.805850286192245,0.624793882102789,0.629307607717971,0.105101594496226,0.000623269273261037,0.0316777432433694,1.73999766735637e-16,0.607192371133523,0.225600808400985,0.356786618449824,4.70336220716601e-13,1.08706081255555e-08,0.000244344249651521,3.71579250563206e-08
"MEpurple",0.017343038817356,0.666538793871384,0.478066091234397,0.42996947976941,0.539732725744423,0.897661081015405,0.109229277715661,0.437003867029268,0.61059346283124,0.00681495327283833,0.414448721003614,0.00937410282002727,0.932658673458642,0.00647181672204012,1.71896173232813e-07
"MEcyan",0.312405496500251,0.755154601452374,0.308035233754122,0.142205123586428,0.372577856659942,0.000463447492186329,0.0183937690952895,0.00257811501052679,0.00983277691184951,0.0178741663922617,0.00506223200450307,0.0015750249410222,0.0596192414101879,0.000468663509148188,1.64704868500319e-08
"MEblue",0.184264671902844,0.420149163947405,0.241576552023972,0.381048579887444,0.596157376967767,0.286439846407902,0.196976914023032,0.502840008226476,0.169365266166588,2.63875394620642e-05,0.840124551451866,0.000438618277461317,0.0981779514298341,0.000401768557584203,1.20383748381877e-05
"MEgreenyellow",0.600807923642815,0.5331112229559,0.629247518363585,0.32349341890379,0.534461836470637,2.59798141988453e-10,9.92515005073477e-07,2.81896991479349e-22,0.00454787861741437,0.0158272785012303,0.00257082840107282,9.19193462820047e-13,2.08271766058395e-12,1.10560900899973e-09,6.23546112779521e-20
"MElightgreen",0.745123105431941,0.0334987992002777,0.156879884773151,0.668747598857853,0.723530544669406,0.434719157039581,5.11931094040128e-07,0.226196808716089,0.082015764502033,0.000171574683457587,0.00566203993582296,0.49745772457837,0.0764065794485834,0.0301045706242497,0.00164559613851362
"MEmagenta",0.087601224334292,0.0851396746957089,0.883616053013324,0.765826453045199,0.382761049827134,3.6067348043096e-30,1.25509468570572e-23,6.26608137846622e-42,2.90434603089847e-08,0.271507741655107,1.22719026276038e-12,3.57695430891646e-30,4.63107953222944e-36,3.04244482604818e-28,1.1727091811077e-24
"MElightyellow",0.484138014991012,0.539533935329664,0.408291794049086,0.71317285835298,0.224395007086846,6.46520824292245e-05,1.71625537915769e-11,6.13951322587153e-06,0.00282257377079564,0.000367701892049741,1.04906369392179e-05,7.60089155783114e-05,1.90662651302361e-06,8.47105255142319e-09,1.62840967930225e-07
"MElightcyan",0.203473374728131,0.414032619662966,0.0951620144417118,0.650983736598051,0.584010749487763,0.0761134667918883,0.255034804482088,0.00968225889135615,0.710873104655244,2.31263321948174e-10,0.0251513685516102,0.0265929524881723,0.0437517466815655,0.000252768014378628,4.32312799618504e-39
"MEturquoise",0.168552708930947,0.0370915094901095,0.00699035028237778,0.0037814747437989,0.909130077737921,0.0580487773279375,5.69102215279746e-18,0.161049853989662,6.898731602298e-21,0.129505227317219,1.04043976601035e-60,0.00938041809539482,0.102572064834755,0.442254380554201,3.53299590000405e-65
"MEgreen",0.263302072828481,0.789190366790337,0.65908941095343,0.0496632817538659,0.434541356490723,4.58357170664284e-09,4.4810609049883e-18,1.99914239951508e-24,7.24241555304966e-06,0.445701478808387,6.47756048180237e-25,1.98667314983711e-22,2.15950383090205e-15,1.60483861985922e-08,2.38708514713e-213
"MEgrey60",0.353550805873599,0.171094464431388,0.0088981720670878,0.808992872912772,0.357965402593968,2.24869650532545e-09,5.065415472152e-10,1.86034901562226e-28,0.00216885660410496,0.123832903794163,0.000136581286334198,1.69913430733294e-20,1.65074482846189e-15,3.2396613301599e-07,4.92834923443472e-45
"MEtan",0.778842786282338,0.0202733894783263,0.0534177356619757,0.421145466555954,0.0416888326550558,8.39647076105295e-14,0.000898157688887296,1.58292474049469e-44,8.2054462835416e-07,0.0231241511703836,0.0173157962295938,7.51791144026197e-43,1.0258992195057e-17,2.88296590590394e-27,0.000347612967979299
"MEblack",0.402541253487267,0.399758787281697,0.569250033548686,0.691063384503358,0.489896068440365,0.623074189375421,0.252368360346921,0.037630990215183,0.587558667915786,0.0117250988650913,0.0520062375757953,0.143357222431267,0.119703791291046,0.640175844192925,0.760186174305448
"MEsalmon",0.0780972518309797,0.734170009088365,0.0726741974705297,0.143430099355467,0.39398034333579,0.00264309430611017,0.835070778046699,7.003792115054e-19,0.988153595688549,0.00124335558851516,0.00203177679358996,9.94923421644348e-17,5.66453647813899e-06,0.00084562840391356,0.000963093332278958
"MEbrown",0.963334605304686,0.0124025357485138,0.000589414219560417,0.356359705768388,0.326960995144946,0.329660697298568,0.00242908431292118,4.45572336742146e-07,0.367967892727101,3.48433592707895e-14,2.69710448437566e-09,8.58671331765456e-10,0.00521087552565437,0.00151728002527147,5.6519742178694e-12
"MEyellow",0.583238434053334,0.00195602678202748,0.00564220335912426,0.765758410988329,0.071360909328288,0.595746520505223,4.61503497012601e-05,3.14714583291685e-08,0.938261791833554,1.14513235109714e-06,9.70007085474483e-12,1.67611092115081e-08,0.0840363246865428,0.0649525903250227,0.000120978356604398
