"gene_symbol","module","kME_own","selected_in_wgcna_input","target_group"
"TIMP2","turquoise",0.89766969101739,TRUE,"81_gene_program"
"MMP2","turquoise",0.832869579926508,TRUE,"81_gene_program"
"LUM","turquoise",0.802545821035921,TRUE,"81_gene_program"
"NR3C1","turquoise",0.801641815714504,TRUE,"81_gene_program"
"DPT","turquoise",0.750718185098308,TRUE,"81_gene_program"
"PTGER3","turquoise",0.749337390764514,TRUE,"81_gene_program"
"TNC","turquoise",0.734811041049099,TRUE,"81_gene_program"
"CXCR4","green",0.727188789662957,TRUE,"81_gene_program_and_7_driver"
"CXCL13","green",0.718674392658749,TRUE,"81_gene_program"
"ADAMTS1","turquoise",0.699279272835731,TRUE,"81_gene_program"
"RGS2","turquoise",0.69910648912352,TRUE,"81_gene_program"
"TIMP1","turquoise",0.68909294427333,TRUE,"81_gene_program_and_7_driver"
"SIRT1","blue",0.682787974443962,TRUE,"81_gene_program"
"PLAC8","red",0.644853446428672,TRUE,"81_gene_program"
"PTGER4","red",0.60389646561015,TRUE,"81_gene_program_and_7_driver"
"MMP9","green",0.60355756216584,TRUE,"81_gene_program_and_7_driver"
"ATG5","blue",0.591324750950239,TRUE,"81_gene_program"
"NR1I2","magenta",0.58674477244328,TRUE,"81_gene_program"
"PTGS1","turquoise",0.563185504153772,TRUE,"81_gene_program"
"DUSP1","turquoise",0.5525866099212,TRUE,"81_gene_program"
"STAT3","salmon",0.548981158829352,TRUE,"81_gene_program_and_7_driver"
"PPARA","pink",0.468707864044881,TRUE,"81_gene_program"
"PTGER2","red",0.446396638883033,TRUE,"81_gene_program"
"DDIT4","grey",0.413053400927837,TRUE,"81_gene_program"
"ABCC4","cyan",0.349148558992564,TRUE,"81_gene_program"
"PPARG","red",0.347134961161778,TRUE,"81_gene_program"
"HPGD","red",0.343654276091536,TRUE,"81_gene_program"
"CA9","tan",0.341231629572357,TRUE,"81_gene_program"
"HSPA1L","turquoise",0.323981556213536,TRUE,"81_gene_program"
"PLA2G4A","green",0.318560457655056,TRUE,"81_gene_program"
