"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"blue",1123,14,0.000381610055198498,0.00572415082797747,2,0.147286678737893,1
"grey",1117,10,0.0318851364801489,NA,0,1,NA
"greenyellow",340,3,0.218013942032948,1,0,1,1
"tan",86,1,0.337456778915334,1,1,0.0526196050436265,0.789294075654398
"black",445,3,0.354939290138631,1,1,0.248912696981392,1
"purple",347,2,0.49553875913592,1,0,1,1
"yellow",572,3,0.517412558395451,1,1,0.309970401444687,1
"magenta",426,1,0.875609135103618,1,0,1,1
"brown",682,1,0.966432147315463,1,0,1,1
"cyan",49,0,1,1,0,1,1
"green",530,0,1,1,0,1,1
"midnightblue",46,0,1,1,0,1,1
"pink",441,0,1,1,0,1,1
"red",459,0,1,1,0,1,1
"salmon",62,0,1,1,0,1,1
"turquoise",1275,0,1,1,0,1,1
