"module","module_gene_n","target_gene_n","target_enrichment_p","target_enrichment_fdr","driver_gene_n_in_module","driver_enrichment_p","driver_enrichment_fdr"
"turquoise",1144,14,0.000463527998731453,0.00741644797970325,1,0.537817508723895,1
"grey",1239,12,0.00978919229543693,NA,1,0.568972261644247,NA
"green",581,5,0.138294384614703,1,1,0.314141712837191,1
"red",556,3,0.497904151128688,1,2,0.041881370868225,0.670101933891599
"pink",511,1,0.919076701580343,1,0,1,1
"yellow",596,1,0.947613184954764,1,0,1,1
"brown",643,1,0.958898013411664,1,0,1,1
"blue",858,1,0.986721939997206,1,0,1,1
"black",533,0,1,1,0,1,1
"cyan",53,0,1,1,0,1,1
"greenyellow",208,0,1,1,0,1,1
"lightcyan",42,0,1,1,0,1,1
"magenta",401,0,1,1,0,1,1
"midnightblue",49,0,1,1,0,1,1
"purple",333,0,1,1,0,1,1
"salmon",106,0,1,1,0,1,1
"tan",147,0,1,1,0,1,1
