"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEtan",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEgreen",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEsalmon",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEblue",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEyellow",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEcyan",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEblack",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEgreenyellow",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEturquoise",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEred",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEpink",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEmidnightblue",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEbrown",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEmagenta",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
"MEpurple",585,584,579,574,585,585,585,583,566,566,566,566,566,536,513,481,585
