"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEtan",-0.151985477655223,-0.0711940978324676,-0.0406827050610395,-0.102297607448515,0.0544443598531177,0.151985477655223,0.0498475465680721,0.198451523950863,-0.074071631749258,0.47447635636721,0.0181687974854919,-0.173320177867755,-0.0879328553285587,0.506131471644225,0.26864438013278,0.285549265308279,0.183977460233531
"MEgreen",0.372726188856685,-0.0245508926946254,-0.0928594902482359,-0.0806596737119978,0.0477354650489338,-0.372726188856685,0.0728802496340054,0.0634282320606838,0.145369396562241,0.287876013601171,0.000887240867382395,-0.217797198135356,-0.263565087643661,0.289364529099435,0.134263195498509,0.144931872126344,-0.128828723511823
"MEsalmon",-0.225204205317984,-0.0407174888264733,-0.0379468093365214,-0.0828264126289819,-0.00373412341674882,0.225204205317984,0.00664438236826695,0.075589662944415,-0.0478336654975121,0.098994349369804,0.0196796449868185,0.259134100288645,0.0975120285381947,0.0884747054439559,0.0750463219892338,0.146442125215119,0.505393965383485
"MEblue",0.134121444502174,-0.0542475664230488,0.0956690853260627,0.118749277929634,0.129938531156995,-0.134121444502174,0.00295127108042809,0.0729648204712273,-0.351304494906403,0.0672175517284564,-0.385957534534088,0.0503404374556525,0.610843972472091,0.118737695193007,0.0793610012096014,0.0360040166970851,0.616316520893126
"MEyellow",-0.0737916733854893,-0.0444001237219277,0.012580809054054,-0.0221070493005961,0.0726302563951583,0.0737916733854893,0.0268751229511581,0.232539220627541,-0.349984162283399,0.398849848500123,-0.194808013988999,0.0389210839986985,0.412845500851455,0.391616512653689,0.328919339261053,0.240322069568875,0.9098118308124
"MEcyan",0.00929762476991106,0.0391598361121765,-0.0612221424515853,-0.11095447377381,0.0102595727777099,-0.00929762476991106,0.0352598789520153,0.242989011948929,-0.257760621762715,0.437333327334272,-0.131790425103107,-0.0632497258559026,0.160987363270439,0.382534947506987,0.334459960786206,0.231544161673357,0.529070565374269
"MEblack",-0.45236026143506,0.0230414932482926,-0.111501283777984,-0.0913762610721222,-0.0346750056419761,0.45236026143506,0.00118779121396531,0.181360138278068,-0.129622142626864,0.264019282523235,0.452763576591017,0.307155343911057,-0.272317539862454,0.243313634314193,0.170276285883831,0.286042077095529,-0.0290631009364409
"MEgreenyellow",-0.574653347127822,-0.0444420533096302,-0.0949351471015922,-0.055175502925232,-0.0423445216244685,0.574653347127822,-0.0507420073202714,-0.161983580062416,0.172521560160405,-0.221173107277507,0.140676252474375,0.501778180770855,-0.411959329932379,-0.142266897807154,-0.224239091477508,-0.0421695423815923,-0.1499797767824
"MEturquoise",0.290169494980377,0.00393987782028961,-0.0645765335399475,-0.0924058608194608,-0.0205348476305329,-0.290169494980377,0.0158245472563018,0.0146327955405662,0.108943776535639,0.125965971785807,0.0199556907856097,-0.30708289581761,-0.189427294475609,0.189839861799892,0.0941801470341853,0.112724917002575,-0.293088016507039
"MEred",-0.2223543017203,-0.0359528682738211,0.0251999874088227,-0.0387433906002344,-0.0315576552595042,0.2223543017203,-0.0395457381594475,0.041658353932783,0.0330230468239701,0.11118246667621,0.0293223713792005,-0.0818056485456782,-0.0820735010073843,0.0791005281393458,0.0759611189909744,0.0325820636672385,0.025845486560056
"MEpink",-0.23348453645786,0.0656040731664598,-0.034836735314844,-0.0526467303133139,-0.0446041104407588,0.23348453645786,-0.0337409932931385,0.120428133974208,-0.14592560646914,0.106804436443038,0.146139968059198,-0.0614987758511847,0.0205522100808944,0.224970263297634,0.130165998788964,0.25099001577382,-0.081163120033154
"MEmidnightblue",0.265438425340138,0.00379624340594067,-0.0733186254940745,-0.0428298608719251,0.00436891149638398,-0.265438425340138,-0.0146075940859513,-0.0369918777649196,0.216508058532678,-0.0482195082917488,-0.0651451205305061,-0.164440966123123,-0.136330448624931,-0.0257428121923052,-0.0500742099011103,-0.0830140791819752,-0.148132408281933
"MEbrown",-0.0126132450267628,0.0870464379278745,0.00489998668254642,0.0072425107240183,-0.0224481736784242,0.0126132450267628,-0.0533725440216195,-0.0930274454685341,0.0257701394786355,-0.239414241271059,-0.0293775487798468,-0.0762397714163438,0.0604146413747207,-0.173263149043914,-0.167899509078329,-0.0733348774682688,-0.213466413194164
"MEmagenta",0.251463770040276,-0.072960852985053,-0.0546236771026532,0.0137415925285368,0.0300107844735041,-0.251463770040276,-0.0306135579425363,-0.432380484104668,0.403635999901677,-0.535668622613078,-0.245587532243966,0.00700908236433384,-0.262547013226184,-0.456162206779596,-0.488044968736045,-0.459127116243838,-0.406290593719556
"MEpurple",0.196805724077175,0.0239544157994655,-0.0209559055323564,0.0225103442787638,-0.0228890326283386,-0.196805724077175,-0.0207422945387862,-0.242095646193346,0.187637873695653,-0.355168993181412,-0.129482613929344,-0.141787473291911,-0.105970703661032,-0.250956295534991,-0.263871116154008,-0.233868734607812,-0.374877045064112
