"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEtan",0.000224579180345781,0.0856182529402622,0.328463521634478,0.0142076778384188,0.18851248234642,0.000224579180345781,0.228658752707546,1.36861685155797e-06,0.0782818133712233,4.07541481639079e-33,0.666228861994505,3.38750274246114e-05,0.0364907250365488,3.2734204031807e-36,6.25555269683623e-10,1.77558077805807e-10,7.51385337175295e-06
"MEgreen",1.01745964102045e-20,0.553772092328376,0.0254551270555194,0.0534331445986299,0.24901110906965,1.01745964102045e-20,0.0781858449953493,0.126077801463959,0.000521919014099539,2.91042260674932e-12,0.983196620979754,1.66732593889767e-07,1.89630062133494e-10,8.47421472212283e-12,0.00230841679031115,0.00143668672628707,0.00179439839163191
"MEsalmon",3.66663973680776e-08,0.325961055743321,0.362059853655328,0.0473157187825668,0.928189045675103,3.66663973680776e-08,0.872594178994457,0.0681770241932509,0.255900653841187,0.0184862204980013,0.640354074255323,3.88487567253032e-10,0.0203253049677591,0.0406019281297045,0.0895057510036287,0.00127855699628177,2.98397131849562e-39
"MEblue",0.00114705069163396,0.190498104800399,0.0213161301817824,0.00438685784388138,0.00163587303589041,0.00114705069163396,0.943215338774377,0.078351855814622,6.96745196825353e-18,0.110170335845495,1.5160694609888e-21,0.231795083222356,3.490431243613e-59,0.00591780499278929,0.0725047042594056,0.4307957547263,1.743892056726e-62
"MEyellow",0.074521695265554,0.284076405076613,0.762589209811346,0.597112600055012,0.0792160517475888,0.074521695265554,0.516500377967818,1.34101281197204e-08,9.41808331583329e-18,5.03475093757849e-23,3.02389564671781e-06,0.355348286925289,1.05083680500997e-24,4.32352640065585e-21,2.08232340023799e-14,9.53608174672566e-08,7.84634542754566e-225
"MEcyan",0.822443419455925,0.344824812636063,0.141196566962661,0.00779771935678258,0.804427096837963,0.822443419455925,0.394623078492046,2.78519357882574e-09,4.8389013880865e-10,7.65877161348914e-28,0.00167696144628749,0.132855238137092,0.000119738013686716,4.02457033029777e-20,7.13288513482701e-15,2.82306896002189e-07,1.66252176662897e-43
"MEblack",7.52575791647793e-31,0.578413482592004,0.00724059175354606,0.028594761538297,0.402516999027091,7.52575791647793e-31,0.977129856691315,1.05197740801968e-05,0.00200131665219026,1.76056230878843e-10,5.91061390883802e-30,7.85704135589685e-14,4.4206089365109e-11,1.15705064001716e-08,0.000106360685167759,1.64710249502217e-10,0.48293654402601
"MEgreenyellow",1.03759273845001e-52,0.283621447976487,0.0223366112489113,0.186823274425558,0.306570139127853,1.03759273845001e-52,0.220405736207324,8.5392791529618e-05,3.68608766925393e-05,1.05945590029264e-07,0.000790503202949199,1.99246873314894e-37,1.34992835614589e-24,0.000957103152380613,2.86662327185588e-07,0.356083041825324,0.000272237444437469
"MEturquoise",8.19696501222083e-13,0.924308610970548,0.120631127034678,0.0268425825981326,0.6201331412087,8.19696501222083e-13,0.702498439435411,0.724406939245694,0.00949081195490654,0.00268065192169119,0.635672094602267,7.9684809900761e-14,5.6843322771922e-06,9.63738995049836e-06,0.032951623148085,0.013371932804718,4.7199353570952e-13
"MEred",5.48855774616432e-08,0.385799998803136,0.54507377959707,0.354160152972476,0.446158447752794,5.48855774616432e-08,0.339673008734717,0.315313795591053,0.432969565417497,0.00810942086972183,0.486298051088552,0.051753707887386,0.0509895984327253,0.0672645461911807,0.0856565052216948,0.475901143135319,0.532702385599624
"MEpink",1.10140219325874e-08,0.113261154625589,0.402762012262714,0.207867842505422,0.281454292087052,1.10140219325874e-08,0.415317221638578,0.00358951207082071,0.000496449570949238,0.0110025715332582,0.00048694604660435,0.143946533724433,0.625604254197929,1.41028476646409e-07,0.00314112562847183,2.40680331933852e-08,0.0497492980167228
"MEmidnightblue",6.85705587777227e-11,0.927060233767596,0.077936927721408,0.3056634845478,0.916023216232458,6.85705587777227e-11,0.724408059236557,0.372622573927084,1.97877127600927e-07,0.252081311541868,0.121605441999922,8.48356243869494e-05,0.00114827394653935,0.552046457905043,0.25759254592435,0.0689046242738424,0.000324349228027335
"MEbrown",0.760797801790384,0.0354606607564707,0.906343845298294,0.862539619941914,0.587917792708139,0.760797801790384,0.197374633653132,0.0246888777544062,0.540645409078256,8.0534211320214e-09,0.485477740894891,0.0699197158993161,0.151160670039928,5.51853842006291e-05,0.000133062712236053,0.108199623888481,1.86598359317373e-07
"MEmagenta",6.89499459802857e-10,0.0781116145924126,0.189345612317198,0.742516260574103,0.468774347601654,6.89499459802857e-10,0.459887136157405,5.87803845106087e-28,1.36851588589156e-23,2.38083083425483e-43,3.20560540756396e-09,0.867854166745175,2.23864756610942e-10,6.65497312148846e-29,4.66145507182513e-32,1.87457247351688e-26,1.16704977963271e-24
"MEpurple",1.61135242651585e-06,0.563448282293458,0.614812886057833,0.590437542968614,0.580605743918612,1.61135242651585e-06,0.616603388591165,3.19494442423528e-09,6.98466491145792e-06,2.86030618131385e-18,0.00202403758949587,0.000717302109411122,0.0116472246579312,3.83806480195369e-09,1.2800899334245e-09,2.12664263744706e-07,5.86740708320323e-21
