gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation,tier,priority_score
RAB4B,2,1,down,True,-0.4411002932217625,0.0009074405198149,-0.4593229188333371,0.2016688337775867,0.0227498341239547,False,True,DINP,2,2,down,True,-0.8551423785393446,2.213999603126901e-30,-0.86639611970352,0.1521767656709959,1.2456811201908588e-08,True,True,CRC,True,False,False,B,9
ETNK1,2,1,down,True,-0.3232251727320334,0.0022572907279533,-0.3623600292022041,0.0529012254281421,7.39805235793718e-12,False,True,DINP,2,2,down,True,-0.9199403269173594,6.474444967929567e-14,-0.9567100092317964,0.1598039116591213,2.140429963583211e-09,True,True,CRC,True,False,False,B,9
NTRK2,2,1,down,True,-0.7084113009201813,0.0048063648107057,-0.7805339331655838,0.4127008439183283,0.0585866275468074,False,True,DINP,2,2,down,True,-0.9888842888820584,5.666601291710931e-09,-0.972536979898482,0.579136882209198,0.0930961427294387,True,True,CRC,True,False,False,B,9
CSNK1G2,2,1,up,True,0.260870816487412,0.005159215664374,0.2755438541920205,0.0490289538680032,1.90931908551687e-08,False,True,DINP,2,2,up,True,0.4707060503558815,7.1103267830633045e-28,0.4719803747207763,0.1694261471466157,0.0053402597332893,True,True,CRC,True,False,False,B,9
NCK1,2,1,down,True,-0.2919896083875706,0.0076270114564487,-0.289522415085953,0.1532018970083934,0.0587834297146333,False,True,DINP,2,2,down,True,-0.4412453419838695,1.0925194093015705e-15,-0.4587604226602183,0.0641758120506178,8.77349323327966e-13,True,True,CRC,True,False,False,B,9
MGAT4B,2,1,down,True,-0.3330970760080642,0.0079101288724086,-0.3348517689130773,0.1346349359546375,0.0128785912263014,False,True,DINP,2,2,down,True,-0.491461658891001,1.6073920559310363e-06,-0.4834087584313759,0.20818719424982,0.0202334287635038,True,True,CRC,True,False,False,B,9
FAM133B,2,1,up,True,0.263713504719667,0.0084506848326794,0.2666221738483998,0.1719484115436067,0.120999012885274,False,True,DINP,2,2,up,True,0.4077441339908145,4.95185052596173e-20,0.4202567014695185,0.1367391585791989,0.0021162126604931,True,True,CRC,True,False,False,B,9
LACTB2,2,1,up,True,0.2793007891974626,0.0110450623123788,0.2980103238616035,0.0594578129738803,5.383064680432202e-07,False,True,DINP,2,2,up,True,0.8314959432738709,1.095816985713226e-20,0.8361820421822661,0.1969110597167522,2.171395825183196e-05,True,True,CRC,True,False,False,B,9
NDUFAF2,2,1,up,True,0.5802833560248915,0.0115743792505641,0.6492228369694921,0.201564417271662,0.0012777986839826,False,True,DINP,2,2,up,True,0.8301560505621022,8.869234294968081e-27,0.8575975659516417,0.1200893406991733,9.243239739733482e-13,True,True,CRC,True,False,False,B,9
HSPE1,2,1,up,True,0.5026117787764188,0.0117887010304208,0.5083668053418342,0.3642458874257382,0.162814101050608,False,True,DINP,2,2,up,True,0.8407988145611864,1.1563532722391577e-30,0.8777714029564547,0.0468723127189136,2.9902196808284766e-78,True,True,CRC,True,False,False,B,9
PSMD12,2,1,up,True,0.3071385378337936,0.0122676201459125,0.3285741379552063,0.0619557522971266,1.1368558005270677e-07,False,True,DINP,2,2,up,True,0.5497674300266655,1.801622806700274e-24,0.5576214838169834,0.0760359160976609,2.2395242218582882e-13,True,True,CRC,True,False,False,B,9
SNRPA1,2,1,up,True,0.469973897414663,0.0143397781558004,0.526628938054551,0.1127438403636479,2.997051017333559e-06,False,True,DINP,2,2,up,True,0.4055619372249044,3.6507931384711724e-16,0.4026486071308466,0.0354623570314769,7.064030856521532e-30,True,True,CRC,True,False,False,B,9
RCL1,2,1,up,True,0.3167100004745586,0.0144379729886243,0.3668923910476172,0.181614566128256,0.0433657038533912,False,True,DINP,2,2,up,True,1.0097478105997086,7.786544818699356e-38,1.0153347717513317,0.5103532420577711,0.0466488513939646,True,True,CRC,True,False,False,B,9
PSMA3,2,1,up,True,0.3556291469755246,0.0148880589542599,0.406477395718986,0.0864073487040447,2.548640996733161e-06,False,True,DINP,2,2,up,True,0.4431395748839741,3.25128498235339e-16,0.4630261947860564,0.0670185835522466,4.883488983857067e-12,True,True,CRC,True,False,False,B,9
ZC3H15,2,1,up,True,0.3180399307515715,0.0166270665122385,0.3067329290204567,0.1766509685688075,0.0824969460814585,False,True,DINP,2,2,up,True,0.3831135551843609,2.217872127069178e-22,0.4069324619537658,0.1075287237743124,0.0001540754671051,True,True,CRC,True,False,False,B,9
GNL2,2,1,up,True,0.2730253278266472,0.0171765375517502,0.2726273279673822,0.188959280951508,0.1490814757096812,False,True,DINP,2,2,up,True,0.6216595203891715,2.753470484306033e-26,0.6361699866129701,0.1121068349621969,1.389512423183056e-08,True,True,CRC,True,False,False,B,9
EIF3E,2,1,up,True,0.2334196033749154,0.01777486341607,0.244690654744363,0.0779595358302893,0.001697060706243,False,True,DINP,2,2,up,True,0.5663809529085579,1.0307687815156572e-33,0.571068258821754,0.1624065217272014,0.0004376244191196,True,True,CRC,True,False,False,B,9
DNAJA3,2,1,up,True,0.2713024932211574,0.0186629656067806,0.2761948201796748,0.2220107571027298,0.2134772861564575,False,True,DINP,2,2,up,True,0.6512455662518559,7.087913483985875e-26,0.6568480239456853,0.2051299823793884,0.0013642660962927,True,True,CRC,True,False,False,B,9
KCTD2,2,1,down,True,-0.2912538771371378,0.0186629656067806,-0.2779690320672373,0.1691601422404078,0.1003353409672085,False,True,DINP,2,2,down,True,-0.3917604456863941,1.5192030838255928e-11,-0.3456723988090323,0.0992617855715208,0.0004968817651499,True,True,CRC,True,False,False,B,9
PERP,2,1,up,True,0.289503931112065,0.0190285719338128,0.3456511029944632,0.0753867331351042,4.5390194917620295e-06,False,True,DINP,2,2,up,True,0.4578077979065447,4.699300695701228e-11,0.4612614804086035,0.150082741638722,0.0021164792082374,True,True,CRC,True,False,False,B,9
USP14,2,1,up,True,0.1475062271075062,0.0194515235082466,0.1538620247433893,0.1048600600719667,0.1422922373087062,False,True,DINP,2,2,up,True,0.3495274780002786,3.8241704634050305e-11,0.3535023439713029,0.083417925489398,2.2579470100822417e-05,True,True,CRC,True,False,False,B,9
LTV1,2,1,up,True,0.2475806819665207,0.0203651143830879,0.2346574077438653,0.1834813311970541,0.2009262584384163,False,True,DINP,2,2,up,True,0.6175742858231903,6.314315895616103e-29,0.6248768098767472,0.2315499786127629,0.0069617325534668,True,True,CRC,True,False,False,B,9
PDE2A,2,1,down,True,-0.4671867151179028,0.0206420717902717,-0.5099272931850741,0.1176506094007097,1.4625710356794217e-05,False,True,DINP,2,2,down,True,-0.8063930655128617,7.465127321002691e-31,-0.8266643982276954,0.1717643669995185,1.4884386623758949e-06,True,True,CRC,True,False,False,B,9
MFSD1,2,1,down,True,-0.2059054093302084,0.0222678066197962,-0.1989893654304704,0.0996877739887568,0.045920201013247,False,True,DINP,2,2,down,True,-0.3803889981817345,1.5795467302043294e-07,-0.3720385444322721,0.0473940284616168,4.163578937513536e-15,True,True,CRC,True,False,False,B,9
PTPRF,2,1,down,True,-0.318079133958836,0.0247969754797255,-0.2947112029727901,0.0559332537183624,1.371838047196691e-07,False,True,DINP,2,2,down,True,-0.8810751734276616,1.6752650908091204e-21,-0.8625102579195263,0.1799755048399906,1.6481778707039694e-06,True,True,CRC,True,False,False,B,9
