gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation
EHHADH,2,1,up,True,0.9734207234736644,3.389290108873806e-07,1.0022641571953816,0.5674684741055573,0.0773619055642726,False,True,DINP,2,2,down,True,-0.9495264883828988,1.7188511128203794e-19,-0.8997829335427652,0.1643953973968434,4.417676980150357e-08,True,True,CRC,False,True,False
ACOX1,2,1,up,True,0.3986838098272529,1.6394822501644029e-06,0.4115198326867915,0.2427085140744113,0.0899747165978373,False,True,DINP,2,2,down,True,-1.0873243567601718,2.2205722296669578e-29,-1.0898507698402309,0.4051528003474862,0.0071457442991921,True,True,CRC,False,True,False
ANGPTL4,2,1,up,True,0.8730275745568628,1.0760502392957582e-05,0.8862742937189021,0.5978621597445771,0.1382323691976493,False,True,DINP,2,1,up,True,1.024395191494688,2.0430869748483295e-08,1.0088628265502866,1.0191258145749666,0.3222085224305026,False,True,CRC,True,False,False
KIAA1671,2,1,up,True,0.438100205663454,1.5791577443221116e-05,0.554788613258495,0.1730847675897617,0.0013492175436048,False,True,DINP,2,2,down,True,-0.4672488846978737,8.897273193269304e-15,-0.4333025700548168,0.0732083577756139,3.243813921341724e-09,True,True,CRC,False,True,False
ACOT1,2,1,up,True,1.2156883504877771,2.1217282011894357e-05,1.4401625256128223,0.2345471022283159,8.242559216589658e-10,False,True,DINP,2,2,down,True,-0.5507959995398894,8.466216657127807e-12,-0.5602765020693521,0.0596558942650544,5.898092029682048e-21,True,True,CRC,False,True,False
CYP4A11,2,1,up,True,1.3002445598161048,2.1217282011894357e-05,1.305922392668308,0.432989279957314,0.0025608112820073,False,True,DINP,2,0,down,True,-0.0370264008820657,0.00166899852097,-0.0537217968403504,0.0158088839459613,0.0006783006829615,False,True,CRC,False,True,False
HSD17B11,2,1,up,True,0.462080564732847,2.1217282011894357e-05,0.4741647431952723,0.2782988500877459,0.0884190204573768,False,True,DINP,2,2,down,True,-1.089998218249801,4.3762255114406457e-29,-1.0931675388397508,0.0577571850929135,6.840618859995689e-80,True,True,CRC,False,True,False
HSDL2,2,1,up,True,0.2603788408670611,2.1217282011894357e-05,0.2745159904333887,0.150860742155616,0.068810058601678,False,True,DINP,2,0,down,False,-0.0419349031425206,0.1284231238647565,-0.032351778193206,0.1189037709830198,0.7855576608862317,False,False,CRC,False,True,False
ECI1,2,1,up,True,0.439687434292396,0.0001081082907943,0.4778799226582286,0.0612103068764367,5.848142428537675e-15,False,True,DINP,1,1,down,True,-0.3983965132493079,0.0004142785980859,,,,False,False,CRC,False,True,False
BACE1,2,1,up,True,0.3766385862677175,0.0001239555173787,0.4708374028053463,0.0623600180088834,4.342269010431193e-14,False,True,DINP,2,0,up,True,0.1993186103354121,5.306940616943642e-06,0.2222867928705491,0.0430474861502359,2.4204082361717423e-07,False,True,CRC,True,False,False
PDP2,2,1,up,True,0.3823512122780452,0.0004075449434579,0.401558518389869,0.221019758419376,0.0692409365712417,False,True,DINP,2,0,up,True,0.1428921540260652,0.0018456144841995,0.1310903410129225,0.0347601362898545,0.0001624097953757,False,True,CRC,True,False,False
HMGCL,2,1,up,True,0.2034125633845254,0.000822665758955,0.21945790643195,0.068858592450878,0.0014371655858565,False,True,DINP,2,2,down,True,-0.939934609716143,3.855539825202624e-29,-0.9277421349037214,0.0479475349819448,2.0739190399073897e-83,True,True,CRC,False,True,False
