gene,n_independent_datasets,n_significant_datasets,direction,all_directions_same,median_log2FC,min_FDR,meta_log2FC,meta_SE,meta_p,strict_supported,direction_supported,label
EHHADH,2,1,up,True,0.9734207234736644,3.389290108873806e-07,1.0022641571953816,0.5674684741055573,0.0773619055642726,False,True,DINP
ACOX1,2,1,up,True,0.3986838098272529,1.6394822501644029e-06,0.4115198326867915,0.2427085140744113,0.0899747165978373,False,True,DINP
ANGPTL4,2,1,up,True,0.8730275745568628,1.0760502392957582e-05,0.8862742937189021,0.5978621597445771,0.1382323691976493,False,True,DINP
KIAA1671,2,1,up,True,0.438100205663454,1.5791577443221116e-05,0.554788613258495,0.1730847675897617,0.0013492175436048,False,True,DINP
ACOT1,2,1,up,True,1.2156883504877771,2.1217282011894357e-05,1.4401625256128223,0.2345471022283159,8.242559216589658e-10,False,True,DINP
CYP4A11,2,1,up,True,1.3002445598161048,2.1217282011894357e-05,1.305922392668308,0.432989279957314,0.0025608112820073,False,True,DINP
HSD17B11,2,1,up,True,0.462080564732847,2.1217282011894357e-05,0.4741647431952723,0.2782988500877459,0.0884190204573768,False,True,DINP
HSDL2,2,1,up,True,0.2603788408670611,2.1217282011894357e-05,0.2745159904333887,0.150860742155616,0.068810058601678,False,True,DINP
ECI1,2,1,up,True,0.439687434292396,0.0001081082907943,0.4778799226582286,0.0612103068764367,5.848142428537675e-15,False,True,DINP
BACE1,2,1,up,True,0.3766385862677175,0.0001239555173787,0.4708374028053463,0.0623600180088834,4.342269010431193e-14,False,True,DINP
PDP2,2,1,up,True,0.3823512122780452,0.0004075449434579,0.401558518389869,0.221019758419376,0.0692409365712417,False,True,DINP
HMGCL,2,1,up,True,0.2034125633845254,0.000822665758955,0.21945790643195,0.068858592450878,0.0014371655858565,False,True,DINP
RAB4B,2,1,down,True,-0.4411002932217625,0.0009074405198149,-0.4593229188333371,0.2016688337775867,0.0227498341239547,False,True,DINP
SLC25A22,2,1,down,True,-0.4083025085283873,0.0009505738220232,-0.4117554357595563,0.2052285998605681,0.0448214986101333,False,True,DINP
CERS2,2,1,up,True,0.2390380468600397,0.0015759654239442,0.2631667831834783,0.037200179578471,1.5015982255797924e-12,False,True,DINP
FBF1,2,1,up,True,0.6824058355406889,0.0017428918380461,0.6660311564855786,0.6203460522059647,0.282982023618932,False,True,DINP
POLR2M,2,1,up,True,0.4003048868532035,0.0018708625274897,0.3944671273833588,0.2994950910047356,0.1878027088770841,False,True,DINP
RPL35,2,1,up,True,0.4565622801412252,0.0019093670594117,0.5052969598298206,0.0780000709203857,9.284770948770227e-11,False,True,DINP
RPL4,2,1,up,True,0.490681293079346,0.0019852488560576,0.497360734422499,0.3368987695403204,0.1398656991433568,False,True,DINP
ETNK1,2,1,down,True,-0.3232251727320334,0.0022572907279533,-0.3623600292022041,0.0529012254281421,7.39805235793718e-12,False,True,DINP
ALDH9A1,2,1,up,True,0.1764234731340521,0.0024197318169803,0.1860249788275088,0.1359527877184588,0.1712163970836452,False,True,DINP
TMEM134,2,1,up,True,0.2069421021463235,0.0026868936760423,0.2047806727058321,0.1292190811091925,0.1130218557542124,False,True,DINP
CALU,2,1,down,True,-0.3646136979107179,0.0031139129605175,-0.3665104505538884,0.2055749449687577,0.0746098053614245,False,True,DINP
PIN4,2,1,up,True,0.791338365106734,0.0031139129605175,0.8128501755871457,0.4630047739096768,0.0791571033104545,False,True,DINP
RCC1,2,1,down,True,-0.5338005807509899,0.0031198094402422,-0.5338435913481419,0.4021496539402456,0.1843516213311139,False,True,DINP
LLGL2,2,1,up,True,0.3563340134453396,0.0031983701728013,0.3586270087194702,0.1331433297386112,0.0070697463687329,False,True,DINP
