gene,dataset_id,n_doses,directions_same,spearman_like_trend,primary_significant_doses
A1BG,GSE313258,3,True,0.0,0
A1CF,GSE313258,3,True,0.9859391165374096,1
A4GALT,GSE313258,3,True,0.0,0
A4GNT,GSE313258,3,False,-0.5694947974514994,0
AAAS,GSE313258,3,False,-0.1137855453129177,0
AACS,GSE313258,3,False,-0.8365750497337644,0
AADAC,GSE313258,3,True,-0.3588776623009369,0
AADAT,GSE313258,3,True,0.9197465590058072,0
AAGAB,GSE313258,3,True,-0.7048172243390602,0
AAK1,GSE313258,3,True,0.9021067928584214,0
AAMDC,GSE313258,3,False,-0.8616179250766236,0
AAMP,GSE313258,3,False,0.7258983352197189,0
AAR2,GSE313258,3,False,0.686946217356435,0
AARD,GSE313258,3,False,-0.0831619556071372,0
AARS1,GSE313258,3,True,0.877897696300968,0
AARS2,GSE313258,3,False,-0.7079329688143077,0
AARSD1,GSE313258,3,False,-0.9999617289823952,0
AASDH,GSE313258,3,True,0.4962272264105368,0
AASDHPPT,GSE313258,3,True,-0.4924007014061133,0
AASS,GSE313258,3,False,0.703860287495445,0
AATF,GSE313258,3,False,0.5122657565854154,0
AATK,GSE313258,3,False,0.7742670754063714,0
ABAT,GSE313258,3,True,0.8707535982871083,0
ABCA1,GSE313258,3,False,0.946634630916832,0
ABCA2,GSE313258,3,True,-0.1085393791960886,0
ABCA3,GSE313258,3,False,-0.1553231653862385,0
ABCA5,GSE313258,3,False,-0.991799405416651,0
ABCA6,GSE313258,3,True,0.9943130340172258,0
ABCA7,GSE313258,3,True,-0.7265254368765593,0
ABCA8,GSE313258,3,True,0.0865832786734285,0
ABCA9,GSE313258,3,True,0.9315028333440504,0
ABCB1,GSE313258,6,False,-0.6561039280328976,0
ABCB10,GSE313258,3,False,-0.2534031161231416,0
ABCB11,GSE313258,3,False,-0.1802899217594455,0
ABCB4,GSE313258,3,False,0.1603805259465527,0
ABCB6,GSE313258,3,False,-0.0435131659321892,0
ABCB7,GSE313258,3,False,0.4129418817828758,0
ABCB8,GSE313258,3,False,-0.7638017175286991,0
ABCB9,GSE313258,3,False,0.3241398961038509,0
ABCC1,GSE313258,3,True,-0.2694327133147465,0
ABCC10,GSE313258,3,False,-0.050225074880272,0
ABCC2,GSE313258,3,False,0.7988266917189268,0
ABCC3,GSE313258,3,False,0.7623464725066705,0
ABCC4,GSE313258,3,True,0.4959114964434343,0
ABCC5,GSE313258,3,True,-0.8312720054206476,0
ABCC6,GSE313258,3,True,0.4909075746268537,0
ABCC9,GSE313258,3,False,0.2242902585653323,0
ABCD1,GSE313258,3,False,-0.0290413805856206,0
ABCD2,GSE313258,3,False,0.8831399457230729,0
ABCD3,GSE313258,3,True,0.8625417138597629,1
ABCD4,GSE313258,3,False,-0.9300528048402216,0
ABCE1,GSE313258,3,False,-0.3043289149612148,1
ABCF1,GSE313258,3,True,-0.9797467591251904,0
ABCF2,GSE313258,3,False,-0.9985306180825748,0
