gene,legacy_81,mechanistic_panel,dinp_n_contrasts,dinp_sig_contrasts,dinp_directions,crc_n_cohorts,crc_sig_cohorts,crc_directions
ABCC4,True,False,7,0,down;up,2,1,down;up
ADAMTS1,True,False,7,0,down;up,2,1,down;up
AHSG,True,False,7,0,down;up,2,0,down;up
AKR1C1,True,False,0,0,,2,2,down
AKR1C3,True,False,0,0,,2,2,down
ATF4,True,False,7,0,down;up,2,2,up
ATG5,True,False,7,0,down;up,2,1,down
BECN1,True,False,7,0,down;up,2,1,down
C4BPA,True,False,3,0,down;up,2,2,up
CA9,True,False,7,0,down;up,2,2,up
CADM3,True,False,7,0,down;up,2,2,down
CASP14,True,False,0,0,,2,0,down
CCL20,True,False,3,0,down,2,2,up
CGA,True,False,3,0,down;up,2,0,down
CPS1,True,False,7,0,down;up,2,0,up
CRP,True,False,3,0,down;up,2,0,down
CXCL13,True,False,7,0,down;up,2,2,down
CXCR4,True,False,7,0,down;up,2,1,down;up
CYP11A1,True,False,4,0,up,2,1,down
CYP2A6,True,False,16,0,down;up,2,0,down;up
DDIT4,True,False,7,0,down,2,2,up
DKK1,True,False,4,0,down;up,2,2,up
DPT,True,False,7,0,down;up,2,2,down
DUSP1,True,False,7,0,down;up,2,1,down;up
ESR1,True,False,7,0,down;up,2,1,down
FLG,True,False,0,0,,2,0,down;up
GSTA2,True,False,0,0,,1,1,down
HPGD,True,False,7,0,down;up,2,2,down
HSD3B2,True,False,17,0,down;up,2,2,down
HSPA1A,True,False,14,0,down,2,1,down
HSPA1L,True,False,7,0,down;up,2,0,down
IGFBP1,True,False,3,0,down,2,1,up
LUM,True,False,7,0,down;up,2,1,up
MAP1LC3B,True,False,0,0,,2,1,down;up
MMP2,True,False,7,0,down;up,2,0,down;up
MMP9,True,False,7,0,down;up,2,2,up
NEAT1,True,False,0,0,,1,0,up
NR1I2,True,False,7,0,down;up,2,2,down
NR1I3,True,False,3,0,up,2,0,down;up
NR3C1,True,False,7,0,down;up,2,2,down
OMD,True,False,7,0,down;up,2,1,down;up
PARP10,True,False,7,0,down;up,2,0,down;up
PGR,True,False,4,0,down,2,2,down
PLA2G4A,True,True,7,0,down;up,2,1,down;up
PLAC8,True,False,7,0,down;up,2,2,down
PPARA,True,False,7,1,down;up,2,1,down
PPARD,True,False,7,0,down;up,2,1,down
PPARG,True,False,7,0,down;up,2,2,down
PTGER1,True,True,4,0,down,2,1,down;up
PTGER2,True,True,7,0,down;up,2,1,down
PTGER3,True,True,4,0,down;up,2,0,down;up
PTGER4,True,True,7,0,down;up,2,2,down
PTGES,True,True,7,0,down;up,2,2,up
PTGES2,True,True,7,0,down;up,2,2,up
PTGES3,True,True,0,0,,2,1,up
PTGFR,True,False,4,0,up,2,1,down
PTGS1,True,True,7,0,down;up,2,1,down
PTGS2,True,True,4,0,down;up,2,2,up
PTX3,True,False,4,0,up,2,1,down;up
RELA,True,False,7,0,down;up,2,1,up
RGS2,True,False,7,0,down;up,2,1,down;up
RPS2,True,False,0,0,,2,2,up
RXRA,True,False,7,1,down;up,2,2,down
RXRB,True,False,7,1,down;up,2,1,down
SCGN,True,False,0,0,,2,2,down
SIRT1,True,False,7,0,down;up,2,0,down
SIRT2,True,False,7,0,up,2,0,down
SIRT3,True,False,7,1,down;up,2,1,down
SIRT5,True,False,7,0,down;up,2,0,down
SLCO2A1,True,False,7,0,down;up,2,2,down
SNHG25,True,False,0,0,,0,0,
SNORA13,True,False,0,0,,1,0,up
SNORA65,True,False,7,0,down;up,2,1,down;up
SPP2,True,False,3,1,down;up,2,0,down
SQSTM1,True,False,7,0,down;up,2,1,up
STAR,True,False,7,0,down;up,2,0,down
STAT3,True,False,7,0,down;up,2,0,down;up
SUSD2,True,False,7,0,down;up,2,0,down;up
TIMP1,True,False,7,0,down;up,2,2,up
TIMP2,True,False,7,0,down;up,2,1,down;up
TNC,True,False,7,0,down;up,2,1,up
