pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR,sig_dataset
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2.7596147586149855,0.005786955817890806,113,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.09879198278608516,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,1.733597329008376,0.08298955472676961,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.38699291243332085,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,1.7284352073546434,0.0839102279352686,9,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.38699291243332085,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,-1.0167584719231388,0.30926834210895593,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.6988412923698509,
REACTOME_EICOSANOIDS,0.7312765334644785,0.46461026103043823,8,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.797253757777583,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,1.8171071348407937,0.06920071049655073,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Reactome,0.3817790141356874,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,1.668090214181474,0.09529781949011067,9,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Reactome,0.4263004028626887,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.8681094084751908,0.3853344409683327,113,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Reactome,0.7059635998693014,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,0.39305638099302703,0.6942778395572031,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Reactome,0.8700713453954869,
REACTOME_EICOSANOIDS,0.1754358410601944,0.8607371801758023,8,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_100ugkgd,Reactome,0.9436325664589137,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2.236255581480628,0.025335034252989958,113,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,0.12905860654310564,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.44780805884359526,0.654291726825171,9,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,0.8281825418369017,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,0.4112404508178075,0.6808962299056269,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,0.8400593148709085,
REACTOME_EICOSANOIDS,0.059683449446106325,0.9524077536629655,8,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,0.9813644167481067,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,-0.02612856860737961,0.9791547903839974,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_20ugkgd,Reactome,0.9944875307255089,
REACTOME_EICOSANOIDS,1.7128886777479695,0.08673302163781504,8,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.21383419499913253,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,1.12320046687098,0.2613523643590605,9,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.43818481272126886,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,0.7316976270251159,0.4643531451158026,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.6374500452200031,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,-0.39867731411984103,0.6901309856850988,113,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.816980972527623,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,-0.277320912104756,0.7815337035035639,10,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.8742175015472152,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2.028856772862127,0.042472880734452746,116,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.4501778761538227,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,1.1354794549029976,0.2561744853465411,12,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.7288682773435382,
REACTOME_EICOSANOIDS,-0.6772737116291844,0.4982323070042928,9,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.8645307311433851,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,-0.41877927656122194,0.6753774515323713,6,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.9443602311729918,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.24324521425505446,0.8078154425499372,8,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.9774334989613346,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,1.241561053277858,0.21439855895807935,12,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_15mgkgd,Reactome,0.5551123136482821,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.5914154811409382,0.5542420700501709,8,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_15mgkgd,Reactome,0.8253385440799437,
REACTOME_EICOSANOIDS,0.2584805294682479,0.7960360737241395,9,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_15mgkgd,Reactome,0.9362029219411434,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,0.1741861346679759,0.8617191818959318,6,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_15mgkgd,Reactome,0.9540226902857026,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.055385103926048555,0.9558316629664659,116,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_15mgkgd,Reactome,0.9844933494495733,
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,1.7529461000397688,0.07961125946390347,115,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.3537189497411588,
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,-1.0247234389882778,0.3054937002082069,6,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.6347276490393425,
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,-0.8491137852410319,0.3958179804195795,8,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.6987300290047345,
REACTOME_EICOSANOIDS,0.6468648300501351,0.5177194296477503,9,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7812674964819649,
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,-0.27198862067371077,0.7856307690187908,12,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.9453756920526117,
