pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
HALLMARK_ADIPOGENESIS,2,2,3.204441864897847,5.587853779723682e-06,up,True
HALLMARK_ALLOGRAFT_REJECTION,2,2,1.656069168347482,4.344894643059094e-18,up,True
HALLMARK_ANDROGEN_RESPONSE,2,1,-0.0047979037156178,0.0001368606447973,down,False
HALLMARK_ANGIOGENESIS,2,0,-0.5280267978558415,0.0993298511792597,down,False
HALLMARK_APICAL_JUNCTION,2,2,-0.0200321715630157,0.0164616266199893,down,True
HALLMARK_APICAL_SURFACE,2,1,-0.1143018561982968,0.0091194445756989,down,False
HALLMARK_APOPTOSIS,2,2,-0.7201139191335977,0.0001713405104928,down,True
HALLMARK_BILE_ACID_METABOLISM,2,1,1.53797046531207,1.1891181145944355e-07,up,False
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2,1,0.0487327256358067,0.001727919446735,up,False
HALLMARK_COAGULATION,2,1,1.56555103098177,0.0070789434510908,up,False
HALLMARK_COMPLEMENT,2,1,1.0780974086867297,0.0027950681759949,up,False
HALLMARK_DNA_REPAIR,2,1,-0.1852874056839766,8.402434998384736e-09,down,False
HALLMARK_E2F_TARGETS,2,2,-4.486142531365182,2.519520468851536e-08,down,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2,2,-0.013283444308383,6.5426661731389e-11,down,True
HALLMARK_ESTROGEN_RESPONSE_EARLY,2,1,-0.9837452524037228,0.005670758613498,down,False
HALLMARK_ESTROGEN_RESPONSE_LATE,2,1,-0.106939475677376,0.0393850285061884,down,False
HALLMARK_FATTY_ACID_METABOLISM,2,2,1.659993606031073,6.270695815439363e-18,up,True
HALLMARK_G2M_CHECKPOINT,2,2,-5.251270994663707,4.59567763293277e-09,down,True
HALLMARK_GLYCOLYSIS,2,1,-1.1532212950834868,0.02237002569069,down,False
HALLMARK_HEDGEHOG_SIGNALING,2,1,-0.979109848420926,0.0146465683783898,down,False
HALLMARK_HEME_METABOLISM,2,2,1.7073472229708613,0.0003895005926741,up,True
HALLMARK_HYPOXIA,2,2,-1.2006982387448475,1.0706809462224195e-06,down,True
HALLMARK_IL2_STAT5_SIGNALING,2,2,-0.3396052136087776,7.583559175837678e-05,down,True
HALLMARK_IL6_JAK_STAT3_SIGNALING,2,2,-0.3052283344271382,2.8726305077687654e-07,down,True
HALLMARK_INFLAMMATORY_RESPONSE,2,2,0.3292962795534098,8.291629456015829e-10,up,True
HALLMARK_INTERFERON_ALPHA_RESPONSE,2,2,5.3439320897180345,7.728738680816571e-15,up,True
HALLMARK_INTERFERON_GAMMA_RESPONSE,2,2,4.044209055673186,2.3256417634842466e-21,up,True
HALLMARK_KRAS_SIGNALING_DN,2,0,-0.1938511723891005,0.5592210190806034,down,False
HALLMARK_KRAS_SIGNALING_UP,2,2,-0.6653341925834295,0.0007127418960749,down,True
HALLMARK_MITOTIC_SPINDLE,2,2,-1.3896723607637669,7.684417692062602e-06,down,True
HALLMARK_MTORC1_SIGNALING,2,2,-0.0292582379180574,4.59567763293277e-09,down,True
HALLMARK_MYC_TARGETS_V1,2,2,-0.7418263545357929,8.402434998384736e-09,down,True
HALLMARK_MYC_TARGETS_V2,2,1,0.7658181272663005,0.001093930524235,up,False
HALLMARK_MYOGENESIS,2,1,-0.4030642286284643,0.0271252228344012,down,False
HALLMARK_NOTCH_SIGNALING,2,0,-0.3756721478774812,0.0598070493508649,down,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2,2,2.968961673879676,4.2585983392577385e-22,up,True
HALLMARK_P53_PATHWAY,2,2,-2.606263470915143,0.0015908576164452,down,True
HALLMARK_PANCREAS_BETA_CELLS,2,0,-0.6255971205439459,0.1372671003755017,down,False
HALLMARK_PEROXISOME,2,2,1.8574017093312487,2.3644601162169625e-07,up,True
HALLMARK_PI3K_AKT_MTOR_SIGNALING,2,0,1.4790819872946477,0.1404111680964303,up,False
HALLMARK_PROTEIN_SECRETION,2,1,1.726560078247935,3.5050416404995853e-06,up,False
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2,1,0.4862909999320771,0.0134034443150248,up,False
HALLMARK_SPERMATOGENESIS,2,1,-0.3088362937045375,0.0409379541381863,down,False
HALLMARK_TGF_BETA_SIGNALING,2,1,-0.3708794589689037,0.0260718324577257,down,False
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,2,-1.9460673501601344,5.471472692287959e-11,down,True
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2,1,-1.4173963861569758,0.0001548585395669,down,False
HALLMARK_UV_RESPONSE_DN,2,1,-0.0634609743541532,3.101303213001064e-05,down,False
HALLMARK_UV_RESPONSE_UP,2,1,0.525507466815804,0.0004189872092869,up,False
HALLMARK_WNT_BETA_CATENIN_SIGNALING,2,1,-1.5495206520716478,0.0185086563780204,down,False
HALLMARK_XENOBIOTIC_METABOLISM,2,2,0.6230726543943922,1.1091196462519456e-05,up,True
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,2,1,1.6667444567138074,0.0004553982148539,up,False
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,2,0,1.46940634488564,0.0667131998677035,up,False
REACTOME_ABC_TRANSPORTER_DISORDERS,2,1,1.667513289378084,2.3646438690318627e-07,up,False
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,2,0,-0.217632571559958,0.2129262827087318,down,False
