pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
HALLMARK_E2F_TARGETS,-6.163465135518016,7.117005416878622e-10,191,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,2.519520468851536e-08
HALLMARK_MYC_TARGETS_V1,-6.108168667731087,1.0078081875406145e-09,184,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,2.519520468851536e-08
HALLMARK_INTERFERON_ALPHA_RESPONSE,5.3439320897180345,9.095165471844267e-08,87,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,1.5158609119740444e-06
HALLMARK_G2M_CHECKPOINT,-5.28095636776573,1.2851129523879544e-07,186,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,1.6063911904849429e-06
HALLMARK_HYPOXIA,-5.134259593527469,2.8325690520506975e-07,180,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,2.8325690520506976e-06
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-4.798328188457731,1.5999546751805543e-06,182,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,1.3332955626504619e-05
HALLMARK_INTERFERON_GAMMA_RESPONSE,4.0442090556731864,5.250005851654678e-05,177,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.0003750004179753341
HALLMARK_P53_PATHWAY,-3.6576510896831333,0.0002545372186312393,183,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.0015908576164452455
HALLMARK_ADIPOGENESIS,3.3334714928191405,0.0008576946035640647,195,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.004309576997506237
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-3.3321056129986526,0.0008619153995012474,104,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.004309576997506237
HALLMARK_GLYCOLYSIS,-2.812133605653892,0.004921405651951809,185,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.02237002569069004
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.739932256834836,0.006145184896567431,181,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.025604937069030966
HALLMARK_HEME_METABOLISM,2.7087388384404227,0.006753948062111924,170,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.025976723315815093
HALLMARK_ESTROGEN_RESPONSE_EARLY,-2.6492686391890237,0.008066618276233348,182,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.02880935098654767
HALLMARK_MYC_TARGETS_V2,-2.5709738537756803,0.010141298312283277,57,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.03380432770761092
HALLMARK_ESTROGEN_RESPONSE_LATE,-2.4947888805629157,0.012603209121980288,175,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.0393850285061884
HALLMARK_PEROXISOME,2.163994387672471,0.030464780136355087,96,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.08960229451869144
HALLMARK_KRAS_SIGNALING_UP,-2.016867354194754,0.043709357707721726,186,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.116341428407593
HALLMARK_PROTEIN_SECRETION,2.0120967160216257,0.04420974279488534,93,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.116341428407593
HALLMARK_PANCREAS_BETA_CELLS,-1.9025608294758003,0.05709787441567418,24,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.13726710037550177
HALLMARK_MYOGENESIS,-1.881743239025034,0.05987088588094334,171,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.13726710037550177
HALLMARK_SPERMATOGENESIS,-1.8778804297506506,0.06039752416522078,98,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.13726710037550177
HALLMARK_HEDGEHOG_SIGNALING,-1.8097474785308667,0.07033495608312487,31,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.150597699724465
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.7973069979916312,0.0722868958677432,94,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.150597699724465
HALLMARK_BILE_ACID_METABOLISM,1.7324278016653165,0.08319742151879729,99,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.1663948430375946
HALLMARK_ALLOGRAFT_REJECTION,1.656069168347482,0.09770781224806185,166,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.18779849542522611
HALLMARK_MTORC1_SIGNALING,-1.6380503664464692,0.10141118752962211,185,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.18779849542522611
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-1.5495206520716478,0.12125661088328318,39,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.21110942818747644
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.5445982558360156,0.12244346834873633,185,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.21110942818747644
HALLMARK_FATTY_ACID_METABOLISM,1.523898499637331,0.1275340683321099,143,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.2125567805535165
HALLMARK_APOPTOSIS,-1.3788381060604749,0.16794467487070264,148,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.26807238106083814
HALLMARK_ANGIOGENESIS,-1.3622163883238287,0.1731296053233673,34,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.26807238106083814
HALLMARK_IL2_STAT5_SIGNALING,-1.3502750527614595,0.17692777150015315,184,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.26807238106083814
HALLMARK_UV_RESPONSE_DN,-1.1484170650975976,0.25079643218939107,140,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.36881828263145744
HALLMARK_NOTCH_SIGNALING,-0.8962343369772997,0.37012762038988634,31,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.5287537434141233
HALLMARK_UV_RESPONSE_UP,-0.837237533788946,0.40245906361490813,136,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.5589709216873724
HALLMARK_DNA_REPAIR,-0.7679797100773449,0.44249923928285506,142,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.5979719449768311
HALLMARK_ANDROGEN_RESPONSE,0.6533753989252004,0.5135142947078439,92,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.6756767035629526
HALLMARK_COAGULATION,-0.6260420740105048,0.531287344862091,111,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.6811376216180653
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.4862909999320771,0.6267608594361007,46,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.7834510742951258
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.3568816517423102,0.7211804061803249,71,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.8794883002199083
HALLMARK_INFLAMMATORY_RESPONSE,0.32929627955340984,0.7419317559426745,173,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.8832520904079457
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.30522833442713826,0.7601922536697413,74,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.883944481011327
HALLMARK_TGF_BETA_SIGNALING,0.24508887811366337,0.8063876143333,51,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.9034196715421476
HALLMARK_KRAS_SIGNALING_DN,0.20725821382498746,0.8358082060969756,134,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.9034196715421476
HALLMARK_COMPLEMENT,0.19565787061292267,0.8448779613675286,171,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Hallmark,0.9034196715421476
