pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_METABOLISM_OF_RNA,-6.210132983746508,5.293978140714206e-10,662,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,7.73979604172417e-07
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-6.054801338692263,1.4059106090317187e-09,81,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,1.0277206552021863e-06
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-5.649158978054441,1.6123469577038924e-08,68,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,7.857504173876968e-06
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,-5.46241209006992,4.697081532576251e-08,270,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,1.7167833001566197e-05
REACTOME_INFLUENZA_INFECTION,-5.3069466368073615,1.1147679573899401e-07,121,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,2.6609425834759275e-05
REACTOME_METABOLISM_OF_LIPIDS,5.282921290542398,1.2714002487879395e-07,642,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,2.6609425834759275e-05
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,-5.282540135963846,1.2740491165753414e-07,83,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,2.6609425834759275e-05
REACTOME_MRNA_3_END_PROCESSING,-5.244773198800753,1.5647468851811746e-07,140,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,2.8595749326685966e-05
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-5.125253631478298,2.9713747643333827e-07,61,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,4.826833228283784e-05
REACTOME_MEMBRANE_TRAFFICKING,4.8824608995857695,1.0477001869608968e-06,572,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.00015317376733368313
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,-4.810441318718222,1.5059741311199292e-06,102,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.00020015765269975784
REACTOME_MATURATION_OF_DENV_PROTEINS,-4.621344384983665,3.8126126391176863e-06,48,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.0004477308610398642
