pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_TRANSLATION,15.405456635410486,1.5042277494018884e-53,296,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,2.1991809696255607e-50
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,10.053317254195205,8.882594374577637e-24,113,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,6.493176487816253e-21
REACTOME_METABOLISM_OF_RNA,9.837771205356054,7.740661506233138e-23,662,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,3.7722823740376155e-20
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,9.695758485429028,3.1429363877313636e-22,139,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,1.1487432497158135e-19
REACTOME_MITOCHONDRIAL_TRANSLATION,9.51696122634966,1.78317053914604e-21,98,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,5.2139906564630205e-19
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,9.49096520342205,2.2890480894937533e-21,122,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,5.577647178066446e-19
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE,9.413208365668254,4.812189928123602e-21,83,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,1.0050602392738152e-18
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,9.226831518218921,2.787555912214298e-20,88,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,5.0942584295716294e-18
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,9.014391799533437,1.9796586382179803e-19,85,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,3.2158454767496526e-17
REACTOME_RRNA_PROCESSING,8.876818193210706,6.880012038738291e-19,174,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,9.184208518441354e-17
