pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-5.131313595705738,2.8772707698081617e-07,242,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.00041605335331426017
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,-4.692557263860771,2.6981097781216815e-06,152,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.0019507333695819758
REACTOME_KINESINS,-4.475873580467786,7.6099506264079245e-06,38,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.0036679962019286194
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-4.092972507273832,4.258782321478449e-05,77,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.013098413001639091
REACTOME_COMPLEX_IV_ASSEMBLY,-4.078681249707361,4.529188451465799e-05,46,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.013098413001639091
REACTOME_RECYCLING_PATHWAY_OF_L1,-3.650707653913318,0.0002615187760657349,33,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.06302602503184211
REACTOME_COMPLEX_I_BIOGENESIS,-3.5595796080660507,0.00037144892481087325,65,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.07213453046432707
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,-3.540688437460635,0.00039908453922172653,108,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.07213453046432707
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,-3.5072945477311084,0.0004526877687007719,172,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.07273183483792402
REACTOME_FORMATION_OF_THE_NON_CANONICAL_BAF_NCBAF_COMPLEX,3.402486590389281,0.000667756320606758,17,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_1.5mgkgd,Reactome,0.08790573594528193
