pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
HALLMARK_FATTY_ACID_METABOLISM,9.064293877132473,1.2541391630878724e-19,143,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,6.270695815439362e-18
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.278894060119044,3.3656784675633807e-13,194,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,8.414196168908451e-12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-6.939834351436195,3.92559970388334e-12,159,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,6.5426661731389e-11
HALLMARK_BILE_ACID_METABOLISM,5.7391917734213385,9.512944916755483e-09,105,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,1.1891181145944354e-07
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-5.644779375301663,1.6539320464996186e-08,174,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,1.6539320464996184e-07
HALLMARK_PEROXISOME,5.551187712183531,2.8373521394603553e-08,94,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,2.3644601162169625e-07
HALLMARK_G2M_CHECKPOINT,-5.251270994663707,1.5105325127065626e-07,185,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,1.0789517947904018e-06
HALLMARK_INFLAMMATORY_RESPONSE,-4.973581084657875,6.572726317110337e-07,158,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,4.107953948193961e-06
HALLMARK_XENOBIOTIC_METABOLISM,4.750974880503984,2.0243828194952158e-06,182,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,1.1091196462519455e-05
HALLMARK_ADIPOGENESIS,4.7324518551138,2.218239292503891e-06,195,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,1.1091196462519455e-05
HALLMARK_E2F_TARGETS,-4.486142531365182,7.252423476599186e-06,190,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,3.296556125726903e-05
HALLMARK_HYPOXIA,-4.422183558916583,9.770839054630262e-06,169,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,4.0711829394292764e-05
HALLMARK_IL2_STAT5_SIGNALING,-4.268068780729108,1.9717253857177962e-05,173,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,7.583559175837678e-05
HALLMARK_HEME_METABOLISM,3.869496904508346,0.00010906016594876138,170,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.0003895005926741478
HALLMARK_ALLOGRAFT_REJECTION,-3.6770957352516214,0.00023590452216246084,155,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.0007863484072082028
HALLMARK_INTERFERON_GAMMA_RESPONSE,-3.6479833590605737,0.0002643067525203763,175,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.000825958601626176
HALLMARK_KRAS_SIGNALING_UP,-3.5629504202579394,0.0003667099590000686,164,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.0010785587029413781
HALLMARK_INTERFERON_ALPHA_RESPONSE,-3.4906162019843894,0.0004819079930937721,86,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.001338633314149367
HALLMARK_APOPTOSIS,-3.402962670983913,0.0006665938722334094,141,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.001754194400614235
HALLMARK_IL6_JAK_STAT3_SIGNALING,-3.091290663239697,0.0019928844763889087,72,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.004982211190972271
HALLMARK_P53_PATHWAY,-2.611427885765162,0.009016500184442649,176,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.021467857582006304
HALLMARK_APICAL_JUNCTION,-1.981444524601671,0.04754144478140308,157,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.10804873813955246
HALLMARK_ANGIOGENESIS,-1.7805556729021572,0.07498506670511947,31,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.16301101457634665
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.7534171889334524,0.07953042264531068,109,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.1656883805110639
HALLMARK_COMPLEMENT,-1.501005550799013,0.13335412587837614,168,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.2667082517567523
HALLMARK_PANCREAS_BETA_CELLS,-1.4707449750548953,0.1413600982843944,19,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.27184634285460463
HALLMARK_MYOGENESIS,-1.4156048542353978,0.1568912292808919,158,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.27438065244517307
HALLMARK_SPERMATOGENESIS,1.4097338384572173,0.15861828903892516,75,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.27438065244517307
HALLMARK_GLYCOLYSIS,-1.4019903504411493,0.16091812823733953,176,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.27438065244517307
HALLMARK_MITOTIC_SPINDLE,-1.3896723607637669,0.16462839146710384,191,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.27438065244517307
HALLMARK_COAGULATION,-1.2725280798703662,0.20318555373463099,118,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.3277186350558564
HALLMARK_APICAL_SURFACE,-1.228987576765923,0.21907646391700808,33,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.34230697487032513
HALLMARK_ANDROGEN_RESPONSE,-1.2092310426247768,0.22657409473309942,91,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.3432940829289385
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-1.1403052504076066,0.25415915117638255,94,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.3737634576123273
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.8610442373535393,0.3892136792596751,36,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.5560195417995358
HALLMARK_KRAS_SIGNALING_DN,-0.8255192802274266,0.4090768412715532,94,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.5592210190806034
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.8171835284623757,0.41382355411964655,74,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.5592210190806034
HALLMARK_MYC_TARGETS_V1,-0.7418263545357929,0.45819255068136777,191,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.6028849351070629
HALLMARK_PROTEIN_SECRETION,0.6709505508489496,0.5022520314816847,90,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.6439128608739548
HALLMARK_UV_RESPONSE_DN,0.4609720078226268,0.6448186882230387,135,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8060233602787983
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.42120938172110006,0.6736021942530311,170,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8076446763232976
HALLMARK_NOTCH_SIGNALING,-0.3756721478774812,0.7071606464618885,31,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8076446763232976
HALLMARK_DNA_REPAIR,-0.37236131025729047,0.7096238560558437,142,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8076446763232976
HALLMARK_TGF_BETA_SIGNALING,-0.3708794589689037,0.7107273151645019,49,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8076446763232976
HALLMARK_MYC_TARGETS_V2,-0.2630396404301604,0.7925200259433683,58,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.8805778066037425
HALLMARK_HEDGEHOG_SIGNALING,-0.1971954875406895,0.8436745617079688,26,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.9056114300418686
HALLMARK_UV_RESPONSE_UP,-0.18749219299899744,0.8512747442393566,129,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.9056114300418686
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.10693947567737604,0.9148369956792506,158,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.9501518309828175
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0863995629310998,0.9311487943631612,46,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.9501518309828175
HALLMARK_MTORC1_SIGNALING,-0.029258237918057407,0.9766586339443394,186,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Hallmark,0.9766586339443394
