pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_FATTY_ACID_METABOLISM,7.69517232256841,1.4130360654997622e-14,150,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,2.0404240785816567e-11
REACTOME_METABOLISM_OF_LIPIDS,7.37569289305953,1.6349249614816325e-13,622,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,1.1804158221897387e-10
REACTOME_PROTEIN_LOCALIZATION,7.107755281170412,1.1794544680090824e-12,151,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,5.67710750601705e-10
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,-7.0382779029017755,1.9463021828396935e-12,214,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,7.026150880051293e-10
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,6.997934506998638,2.5976345800351703e-12,34,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,7.501968667141572e-10
REACTOME_PEROXISOMAL_LIPID_METABOLISM,6.308007379634573,2.826507421436714e-10,27,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,6.802461194257691e-08
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,5.968469325258683,2.3948965797923034e-09,58,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,4.940329516028695e-07
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,5.890779640990728,3.84377827173871e-09,242,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,6.938019780488372e-07
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,-5.795588791212685,6.8081895490353326e-09,59,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,1.0923361898674469e-06
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,5.741239143277288,9.398625174079472e-09,93,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,1.3571614751370758e-06
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,-5.631324659953191,1.7883072559397597e-08,580,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,2.3475597068881936e-06
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,5.279086629248119,1.298294175061733e-07,11,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,1.5622806573242854e-05
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,4.900522879479045,9.558192528728897e-07,10,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.00010616946162680405
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,-4.739325592692239,2.144307097450665e-06,83,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0002211699606227686
REACTOME_INNATE_IMMUNE_SYSTEM,-4.691479661677175,2.7123623869709774e-06,807,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.00026111008578573946
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,4.63917818732222,3.4979736484110417e-06,295,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0003156921217690965
REACTOME_ECM_PROTEOGLYCANS,-4.587617522338235,4.483330536130857e-06,50,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0003808193702454681
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,4.534150001937439,5.783591759921204e-06,106,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.00046397258340701215
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,-4.450070581238853,8.584207291533185e-06,92,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.000652399754156522
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,4.381846061293322,1.1767794534243597e-05,33,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0008496347653723877
REACTOME_COLLAGEN_DEGRADATION,-4.342681918662066,1.4075384923414303e-05,38,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0009622147522859854
REACTOME_INTERFERON_SIGNALING,-4.333739225448302,1.4659781544523324e-05,211,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0009622147522859854
REACTOME_HEMOSTASIS,-4.287372456900895,1.807990038519012e-05,466,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0011351033111397623
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,4.262837044231177,2.0184771828561985e-05,95,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0012144504383518127
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,-4.207182840184366,2.5857392858674218e-05,38,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0014935230115170229
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,4.084342669402868,4.420176254297104e-05,152,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.002454671829772265
REACTOME_PHOSPHOLIPID_METABOLISM,4.075591128144337,4.589760346527089e-05,169,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.002454671829772265
REACTOME_COLLAGEN_FORMATION,-4.020027185379339,5.8191426123301086e-05,52,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.0030010149757873847
REACTOME_RHO_GTPASE_EFFECTORS,-3.9552603802510746,7.645134084968581e-05,243,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.003806749523687804
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,-3.93141483110469,8.44474131241622e-05,36,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.004064735485043007
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,-3.8582190778088057,0.0001142162480867469,239,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.005320266523782662
