bin_start_ns,bin_end_ns,n_samples,total_contact_residues_mean,total_contact_pairs_mean,hydrophobic_contact_residues_mean,hydrophobic_contact_pairs_mean,hbond_proxy_mean,core_contact_retention_mean,pocket_min_distance_A_mean
0.0,5.0,50,18.08,102.1,10.54,48.0,0.26,0.26,3.651434286558518
5.0,10.0,50,19.4,103.38,11.44,47.22,0.32,0.26,3.7760009508212438
10.0,15.0,50,18.3,96.52,10.58,45.4,0.06,0.23333333333333336,3.6933582161823324
15.0,20.0,50,18.04,89.72,10.94,43.1,0.12,0.22666666666666666,3.7819294346475907
20.0,25.0,50,17.92,90.0,10.94,42.52,0.06,0.25666666666666665,3.958345211720902
25.0,30.0,50,16.92,90.2,9.88,42.14,0.2,0.21999999999999997,3.7921938026668816
30.0,35.0,50,17.82,88.1,11.06,42.68,0.08,0.27333333333333326,3.7647074616240883
35.0,40.0,50,18.18,89.72,11.2,42.44,0.06,0.24999999999999997,3.841089623641494
40.0,45.0,50,17.06,96.12,10.2,45.52,0.02,0.23333333333333336,3.7130717169066445
45.0,50.0,50,18.2,94.1,11.94,46.64,0.1,0.29,3.8740838400845132
50.0,55.0,50,18.64,96.66,12.56,46.46,0.04,0.34333333333333327,3.8527891210297103
55.0,60.0,50,18.34,105.12,12.74,52.4,0.1,0.29333333333333333,3.8685468933166662
60.0,65.0,50,18.14,100.66,12.44,47.8,0.08,0.26666666666666666,3.94740929894624
65.0,70.0,50,17.4,98.92,12.6,54.28,0.06,0.17666666666666667,4.227023305580069
70.0,75.0,50,17.2,102.32,12.44,56.18,0.04,0.14333333333333334,4.251777946769406
75.0,80.0,50,17.6,101.48,12.56,54.38,0.02,0.1833333333333333,4.045471644576731
80.0,85.0,50,17.7,98.84,12.0,49.76,0.04,0.2133333333333333,3.7796075158186473
85.0,90.0,50,17.7,96.8,12.16,48.36,0.04,0.25666666666666665,3.8854875023084365
90.0,95.0,50,18.32,106.54,12.06,53.52,0.1,0.3066666666666667,3.7320816728317863
95.0,100.0,50,18.32,108.6,12.38,53.36,0.02,0.33333333333333337,3.853612022883682
