system,bin_start_ns,bin_end_ns,n_samples,total_contact_residues_mean,total_contact_pairs_mean,hydrophobic_contact_residues_mean,hydrophobic_contact_pairs_mean,hbond_proxy_mean,core_contact_retention_mean,pocket_min_distance_A_mean
DINP,0.0,5.0,50,21.16,140.58,12.68,39.7,0.7,0.2733333333333333,3.7045659439815783
DINP,5.0,10.0,50,19.8,140.24,12.18,37.44,0.72,0.26999999999999996,3.5871516220010027
DINP,10.0,15.0,50,20.3,149.58,13.46,39.32,0.5,0.27,3.5490874203597564
DINP,15.0,20.0,50,19.38,136.68,12.62,42.4,0.68,0.29333333333333333,3.4804655668432702
DINP,20.0,25.0,50,20.38,133.58,13.58,42.6,0.8,0.34333333333333327,3.5111590567315973
DINP,25.0,30.0,50,20.18,119.92,12.9,40.22,0.7,0.3666666666666666,3.5010708499219554
DINP,30.0,35.0,50,20.94,123.96,12.58,41.38,0.62,0.39,3.4553390645906443
DINP,35.0,40.0,50,21.22,123.94,12.5,40.0,0.68,0.4366666666666667,3.4147164302348068
DINP,40.0,45.0,50,20.2,123.04,11.22,36.34,0.74,0.58,3.4034848339030885
DINP,45.0,50.0,50,19.0,115.34,10.52,33.22,0.84,0.5033333333333334,3.437294828130614
DINP,50.0,55.0,50,20.42,116.82,11.62,35.66,0.84,0.33666666666666656,3.5141668271915187
DINP,55.0,60.0,50,20.82,122.24,11.52,35.2,0.54,0.3733333333333333,3.4788018682893806
DINP,60.0,65.0,50,22.26,130.08,13.22,40.54,0.74,0.2933333333333333,3.418548725870634
DINP,65.0,70.0,50,21.62,139.2,13.4,41.94,0.84,0.29,3.5173930405844196
DINP,70.0,75.0,50,21.72,146.72,13.64,42.34,0.86,0.26666666666666666,3.429513755480967
DINP,75.0,80.0,50,21.2,129.2,13.18,41.1,0.76,0.30333333333333334,3.457524414263084
DINP,80.0,85.0,50,19.56,126.62,13.24,44.66,0.62,0.31999999999999995,3.45556474436494
DINP,85.0,90.0,50,19.92,132.28,13.94,44.56,0.56,0.18666666666666665,3.534240089209325
DINP,90.0,95.0,50,19.98,124.64,13.8,46.94,0.48,0.27999999999999997,3.5776258156691148
DINP,95.0,100.0,50,18.34,118.56,11.8,42.2,0.68,0.36666666666666664,3.527864516320341
MiNP,0.0,5.0,50,18.08,102.1,10.54,48.0,0.26,0.26,3.651434286558518
MiNP,5.0,10.0,50,19.4,103.38,11.44,47.22,0.32,0.26,3.7760009508212438
MiNP,10.0,15.0,50,18.3,96.52,10.58,45.4,0.06,0.23333333333333336,3.6933582161823324
MiNP,15.0,20.0,50,18.04,89.72,10.94,43.1,0.12,0.22666666666666666,3.7819294346475907
MiNP,20.0,25.0,50,17.92,90.0,10.94,42.52,0.06,0.25666666666666665,3.958345211720902
MiNP,25.0,30.0,50,16.92,90.2,9.88,42.14,0.2,0.21999999999999997,3.7921938026668816
MiNP,30.0,35.0,50,17.82,88.1,11.06,42.68,0.08,0.27333333333333326,3.7647074616240883
MiNP,35.0,40.0,50,18.18,89.72,11.2,42.44,0.06,0.24999999999999997,3.841089623641494
MiNP,40.0,45.0,50,17.06,96.12,10.2,45.52,0.02,0.23333333333333336,3.7130717169066445
MiNP,45.0,50.0,50,18.2,94.1,11.94,46.64,0.1,0.29,3.8740838400845132
MiNP,50.0,55.0,50,18.64,96.66,12.56,46.46,0.04,0.34333333333333327,3.8527891210297103
MiNP,55.0,60.0,50,18.34,105.12,12.74,52.4,0.1,0.29333333333333333,3.8685468933166662
MiNP,60.0,65.0,50,18.14,100.66,12.44,47.8,0.08,0.26666666666666666,3.94740929894624
MiNP,65.0,70.0,50,17.4,98.92,12.6,54.28,0.06,0.17666666666666667,4.227023305580069
MiNP,70.0,75.0,50,17.2,102.32,12.44,56.18,0.04,0.14333333333333334,4.251777946769406
MiNP,75.0,80.0,50,17.6,101.48,12.56,54.38,0.02,0.1833333333333333,4.045471644576731
MiNP,80.0,85.0,50,17.7,98.84,12.0,49.76,0.04,0.2133333333333333,3.7796075158186473
MiNP,85.0,90.0,50,17.7,96.8,12.16,48.36,0.04,0.25666666666666665,3.8854875023084365
MiNP,90.0,95.0,50,18.32,106.54,12.06,53.52,0.1,0.3066666666666667,3.7320816728317863
MiNP,95.0,100.0,50,18.32,108.6,12.38,53.36,0.02,0.33333333333333337,3.853612022883682
