chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C089250,(0.017ferrocene)amylose,,,,,,,False,False,False,,False,
C114385,001-C8-NBD,,,,,,,False,False,False,,False,
C114386,001-C8 oligopeptide,,,,,,,False,False,False,,False,
C434150,"0231A , Streptomyces",,,,,,,False,False,False,,False,
C434149,"0231B, Streptomyces",,,,,,,False,False,False,,False,
C000620092,027075 compound,,,,,,,False,False,False,,False,
C533344,0433YC1,,,,,,,False,False,False,,False,
C533345,0433YC2,,,,,,,False,False,False,,False,
C046983,06-Paris-LA-66 protocol,,,,,,,False,False,False,,False,
C585814,071031B compound,,,,,,,False,False,False,,False,
C533898,072RB peptide,,,,,,,False,False,False,,False,
C493119,07H239-A,,,,,,,False,False,False,,False,
C014305,0-acetylpantolactone,28227-36-3,,,,,,False,False,False,,False,
C473129,1000PEGT70PBT30,,,,,,,False,False,False,,False,
C534883,10074-G5,,CID:2836600,,,,,False,False,False,,False,
C093446,"10,10-(1,2-ethylenedioxy)-1,5-dimethylbicyclo(4.4.0)decan-4-one",,,,,,,False,False,False,,False,
C112297,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",,CID:656732,,,,,False,False,False,C26H20N2O,False,
C024526,"10,10-difluoro-13-dehydroprostacyclin",80226-91-1,,,,,,False,False,False,,False,
C053260,"10,10-difluoroarachidonic acid",108212-58-4,,,,,,False,False,False,,False,
C060259,"10,10-difluorothromboxane A2",121573-36-2,,,,,,False,False,False,,False,
C040211,"10,10-dimethyl-10-deazaaminopterin",80576-88-1,,,,,,False,False,False,,False,
C033472,"10,10'-dimethyl-9,9'-biacridinium",2315-97-1,,,,,,False,False,False,,False,
C000599298,"10,10'-dimethyl-9,9'-biacridinium bis(monomethyl terephthalate)",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000598765,"10,10-dimethylanthrone",,,,,,,False,False,False,,False,
C038721,"10,10-dimethylarachidonic acid",85924-32-9,,,,,,False,False,False,,False,
C421343,"10,10-dimethylhuperzine A",,,,,,,False,False,False,,False,
C000604906,10-(10H-phenothiazin-3'-yl)propenal,,,,,,,False,False,False,,False,
C499044,"10,10'-oxybisphenoxarsine",,,,,,,False,False,False,,False,
C529594,101.10 peptide,,,,,,,False,False,False,,False,
C551215,"10,11,12-guaianetriol",,,,,,,False,False,False,,False,
C046445,"10,11,12-trihydroxy-5,8,14,17-eicosatetraenoic acid",98004-40-1,,,,,,False,False,False,,False,
C539684,"(10,11,12)-trihydroxy-(7Z,14Z)-heptadecadienoic acid",,,,,,,False,False,False,,False,
C037854,"10,11,12-trihydroxyeicosatrienoic acid",85589-25-9,,,,,,False,False,False,,False,
C085056,"10,11-dehydro-2-acetoxytrimipramine",158798-74-4,,,,,,False,False,False,,False,
C403642,"10,11-dibromoundecanoyl maltoside",,,,,,,False,False,False,,False,
C465909,"10,11-didehydroepothilone D",,,,,,,False,False,False,,False,
C004822,"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",35079-97-1,CID:83852,DTXSID30891504,PRGQOPPDPVELEG-UHFFFAOYSA-N,,,False,False,False,,False,
C011448,"10,11-dihydro-10,11-dihydroxyprotriptyline",29785-65-7,,,,,,False,False,False,,False,
