chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C000599298,"10,10'-dimethyl-9,9'-biacridinium bis(monomethyl terephthalate)",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000619707,"10-(4-hydroxylphenyl)-5,15-bis (pentafluorophenyl)corrole",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C506025,10-(perfluorohexyl)decanol,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C091999,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-9-octadecene",113999-61-4,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C086465,"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-7-octadecene",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C092003,"1,1,1,2,2,3,3,4,4,5,5,6,6---tridecafluoro-8-iodo-7-tetradecene",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C092000,"1,1,1,2,2,3,3,4,4,5,5,6,6--tridecafluorohexadecane",147492-59-9,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C533806,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",,CID:24995215,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C044230,"1,1,1,2,2-pentafluorohexane",94099-50-0,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C075510,"1,1,1,2,3,3,4,4,5,5,6,6,7,8,8,8-hexadecafluoro-2,7-bis(trifluoromethyl)octane",3021-63-4,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C414673,"1,1,1,3,3,3-hexafluoropropane",690-39-1,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C046325,"1,1,1,3,3,4,4,4-octafluoro-2-(trifluoromethyl)-2-butanol",6188-98-3,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C403631,"1,1,1,3,3-pentafluoropropane",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C543583,"1,1,1,3-tetrafluoropropene",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C113464,"1,1,2,2,3,3,3-heptafluoro-1-iodopropane",754-34-7,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C585233,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C090336,"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",406-78-0,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C527440,"1,1,2,2-tetrafluoroethanesulfonic acid",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
