index,test_id,biomarker,variable,organ_system_id,organ_system_name,SD,SL
0,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,cancer,Cancer,0.10316615330345966,0.10316615330345966
1,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,cardiovascular,Cardiovascular,0.12246624808505299,-0.10067076491044039
2,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,endocrine,Endocrine,0.06284326873429757,0.06284326873429757
3,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,hepatic,Hepatic,0.03027323827805681,-0.03027323827805681
4,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,metabolic,Metabolic,0.09170100255184557,-0.09170100255184557
5,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,musculoskeletal_immune,Musculoskeletal/immune-related,0.09427470958804561,-0.09427470958804561
6,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,respiratory,Respiratory,0.11388925442235584,0.05912552874901308
7,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,cancer,Cancer,0.012545495578950447,0.012545495578950447
8,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,cardiovascular,Cardiovascular,0.0653387465940636,-0.022758986446352717
9,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,endocrine,Endocrine,0.03437781938694063,-0.03437781938694063
10,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,hepatic,Hepatic,0.06603373857145693,0.06603373857145693
11,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,metabolic,Metabolic,0.03155963920303036,0.012898410217537525
12,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,musculoskeletal_immune,Musculoskeletal/immune-related,0.0007267995795907268,0.0007267995795907268
13,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,respiratory,Respiratory,0.12944120414374552,0.12944120414374552
14,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,cancer,Cancer,0.07654915815821678,0.07654915815821678
15,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,cardiovascular,Cardiovascular,0.19992210501550003,-0.1859023842839012
16,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,endocrine,Endocrine,0.08530362643004058,0.08530362643004058
17,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,hepatic,Hepatic,0.11712842315615202,-0.11712842315615202
18,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,metabolic,Metabolic,0.0936209056939733,-0.0936209056939733
