test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,effect,male,emphysema,Emphysema,respiratory,Respiratory,-0.2513939310782649,0.0951071983203709,-2.6432692321714533,0.1457714680156036,0.3108340561407421,0.7215600217986957,False,1.0,,,8,0.0288819897113299,0.2534763633328116,0,0.1505941452295633,0.1691510006078065,0.0427705077647783,0.1193858028308838,ok
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,-0.2204830490371924,0.037259712634778,-5.917465096909921,-0.1046357810024378,0.0697491590401389,0.3979861861784668,False,-1.0,,,8,-0.1450733856535389,-0.0625758954563184,0,-0.1070367141260157,-0.1188642229654683,-0.0915285507904969,0.1729697338762586,ok
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,z,male,chronic_bronchitis,Chronic bronchitis,respiratory,Respiratory,-0.2346998608862296,0.0788988803057477,-2.9746919091465482,0.1137507067414497,0.2417503535189915,0.6291707918507088,False,1.0,,,8,0.042411238432527,0.2218842556399237,0,0.1117783852156205,0.0959542690205987,0.0320414416308157,0.7733881681727632,ok
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,-0.2204830490371924,0.037259712634778,-5.917465096909921,-0.1046357810024378,0.0697491590401389,0.3979861861784668,False,-1.0,,,8,-0.1450733856535389,-0.0625758954563184,0,-0.1070367141260157,-0.1188642229654683,-0.0915285507904969,0.1729697338762586,ok
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,effect,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.234377901682409,0.0652594614687981,-3.5914777169050027,0.0495926451023482,0.5443466311607055,0.8647580788163564,False,1.0,,,8,-0.0261379840776562,0.1556577035684954,1,0.0489158347614278,0.0432001396759113,0.0452042254709194,0.0859792786030084,ok
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,effect,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2017340896448623,0.0677789431210126,-2.9763534271209577,0.0495926451023482,0.5443466311607055,0.8647580788163564,True,1.0,,,8,-0.0261379840776562,0.1556577035684954,1,0.0489158347614278,0.0432001396759113,0.0452042254709194,0.0859792786030084,ok
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,z,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.234377901682409,0.0652594614687981,-3.5914777169050027,0.0495926451023482,0.5443466311607055,0.8647580788163564,False,1.0,,,8,-0.0261379840776562,0.1556577035684954,1,0.0489158347614278,0.0432001396759113,0.0452042254709194,0.0859792786030084,ok
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,z,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2017340896448623,0.0677789431210126,-2.9763534271209577,0.0495926451023482,0.5443466311607055,0.8647580788163564,True,1.0,,,8,-0.0261379840776562,0.1556577035684954,1,0.0489158347614278,0.0432001396759113,0.0452042254709194,0.0859792786030084,ok
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,effect,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.1859232044978858,0.0770156097978617,2.4140976743009293,-0.3353845470127669,0.0004648404675788,0.0209694699818886,True,-1.0,,,8,-0.3834874985250593,-0.2542055511654656,0,-0.3486475752280349,-0.3356766185817729,-0.3981937586803192,0.1602180640481295,ok
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,effect,female,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.1931959887626556,0.0793287365974096,-2.43538466701062,-0.1286131308818807,0.1940925557961522,0.601201534064582,False,-1.0,,,8,-0.2063912835418318,-0.029791950553897,0,-0.1342871494810001,-0.1062710499604044,-0.2209302924865074,0.0023924355520723,ok
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,z,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.1859232044978858,0.0770156097978617,2.4140976743009293,-0.3353845470127669,0.0004648404675788,0.0209694699818886,True,-1.0,,,8,-0.3834874985250593,-0.2542055511654656,0,-0.3486475752280349,-0.3356766185817729,-0.3981937586803192,0.1602180640481295,ok
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,-0.1080894193359137,0.0374653481387106,-2.885050445433648,-0.1123998469104497,0.0382554041466267,0.2892197661621588,False,-1.0,,,8,-0.1442293187356317,-0.0775492443860077,0,-0.1193243908250712,-0.1328873188357623,-0.082307998793496,0.0296611377425409,ok
NHANES_URXBPH,URXBPH,bisphenol exposure axis,effect,male,chronic_bronchitis,Chronic bronchitis,respiratory,Respiratory,0.145575886125822,0.0526265772804704,2.766204713447038,-0.0446814078630426,0.4537714114142832,0.8336253078470542,True,-1.0,-0.0446814078630427,True,5,-0.0618750895120297,-0.0181094144040011,0,-0.0449551742476961,-0.0308358857084572,-0.0033880170846558,0.2359034667745791,ok
NHANES_URXBPH,URXBPH,bisphenol exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1453242660541666,0.0313163189835762,4.640528349784075,0.0839637370465925,0.0476402241125943,0.3170808358969391,True,1.0,0.0839637370465925,True,5,0.0521715807871809,0.1200226134930036,0,0.0904703411924807,0.0875843035809262,0.0656658910310862,0.7850143831322035,ok
NHANES_URXBPH,URXBPH,bisphenol exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0849425353796721,0.0291379773885921,2.9151829671241427,0.0839637370465925,0.0476402241125943,0.3170808358969391,False,1.0,0.0839637370465925,True,5,0.0521715807871809,0.1200226134930036,0,0.0904703411924807,0.0875843035809262,0.0656658910310862,0.7850143831322035,ok
NHANES_URXBPH,URXBPH,bisphenol exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1453242660541666,0.0313163189835762,4.640528349784075,0.0839637370465925,0.0476402241125943,0.3170808358969391,True,1.0,0.0839637370465925,True,5,0.0521715807871809,0.1200226134930036,0,0.0904703411924807,0.0875843035809262,0.0656658910310862,0.7850143831322035,ok
