test_id,variable,cycle,source_data_file,source_weight_variable,exposure_rows,exposure_nonmissing,universal_outcome_covariate_rows,merge_rows,crc_vs_cancer_free_rows,complete_case_rows,complete_case_crc_cases
NHANES_LBXPFDE,LBXPFDE,2003-2004,L24PFC_C.xpt,WTSA2YR,2368,2094,9645,2368,1464,1230,8
NHANES_LBXPFDE,LBXPFDE,2005-2006,PFC_D.xpt,WTSA2YR,2323,2120,9822,2323,1460,1281,10
NHANES_LBXPFDE,LBXPFDE,2007-2008,PFC_E.xpt,WTSC2YR,2294,2100,9666,2294,1721,1423,11
NHANES_LBXPFDE,LBXPFDE,2009-2010,PFC_F.xpt,WTSC2YR,2432,2233,10109,2432,1836,1517,17
NHANES_LBXPFDE,LBXPFDE,2011-2012,PFC_G.xpt,WTSA2YR,2177,1904,9364,2177,1636,1287,8
NHANES_LBXPFDE,LBXPFDE,2013-2014,PFAS_H.xpt,WTSB2YR,2339,2168,9770,2339,1688,1443,7
NHANES_LBXPFDE,LBXPFDE,2015-2016,PFAS_I.xpt,WTSB2YR,2170,1993,9575,2170,1595,1336,10
NHANES_LBXPFDE,LBXPFDE,2017-2018,PFAS_J.xpt,WTSB2YR,2133,1929,8897,2133,1601,1256,7
NHANES_LBXPFHS,LBXPFHS,2003-2004,L24PFC_C.xpt,WTSA2YR,2368,2094,9645,2368,1464,1230,8
NHANES_LBXPFHS,LBXPFHS,2005-2006,PFC_D.xpt,WTSA2YR,2323,2120,9822,2323,1460,1281,10
NHANES_LBXPFHS,LBXPFHS,2007-2008,PFC_E.xpt,WTSC2YR,2294,2100,9666,2294,1721,1423,11
NHANES_LBXPFHS,LBXPFHS,2009-2010,PFC_F.xpt,WTSC2YR,2432,2233,10109,2432,1836,1517,17
NHANES_LBXPFHS,LBXPFHS,2011-2012,PFC_G.xpt,WTSA2YR,2177,1904,9364,2177,1636,1287,8
NHANES_LBXPFHS,LBXPFHS,2013-2014,PFAS_H.xpt,WTSB2YR,2339,2168,9770,2339,1688,1443,7
NHANES_LBXPFHS,LBXPFHS,2015-2016,PFAS_I.xpt,WTSB2YR,2170,1993,9575,2170,1595,1336,10
NHANES_LBXPFHS,LBXPFHS,2017-2018,PFAS_J.xpt,WTSB2YR,2133,1929,8897,2133,1601,1256,7
NHANES_LBXPFNA,LBXPFNA,2003-2004,L24PFC_C.xpt,WTSA2YR,2368,2094,9645,2368,1464,1230,8
NHANES_LBXPFNA,LBXPFNA,2005-2006,PFC_D.xpt,WTSA2YR,2323,2120,9822,2323,1460,1281,10
NHANES_LBXPFNA,LBXPFNA,2007-2008,PFC_E.xpt,WTSC2YR,2294,2100,9666,2294,1721,1423,11
NHANES_LBXPFNA,LBXPFNA,2009-2010,PFC_F.xpt,WTSC2YR,2432,2233,10109,2432,1836,1517,17
NHANES_LBXPFNA,LBXPFNA,2011-2012,PFC_G.xpt,WTSA2YR,2177,1904,9364,2177,1636,1287,8
NHANES_LBXPFNA,LBXPFNA,2013-2014,PFAS_H.xpt,WTSB2YR,2339,2168,9770,2339,1688,1443,7
NHANES_LBXPFNA,LBXPFNA,2015-2016,PFAS_I.xpt,WTSB2YR,2170,1993,9575,2170,1595,1336,10
NHANES_LBXPFNA,LBXPFNA,2017-2018,PFAS_J.xpt,WTSB2YR,2133,1929,8897,2133,1601,1256,7
NHANES_URXBPH,URXBPH,2003-2004,L24EPH_C.xpt,WTSC2YR,2612,2517,9645,2612,1414,1274,6
NHANES_URXBPH,URXBPH,2005-2006,EPH_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXBPH,URXBPH,2007-2008,EPH_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXBPH,URXBPH,2009-2010,EPH_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXBPH,URXBPH,2011-2012,EPH_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXCOP,URXCOP,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXCOP,URXCOP,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXCOP,URXCOP,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXCOP,URXCOP,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXCOP,URXCOP,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXCOP,URXCOP,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXCOP,URXCOP,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXECP,URXECP,2003-2004,L24PH_C.xpt,WTSB2YR,2697,2605,9645,2697,1445,1288,15
NHANES_URXECP,URXECP,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXECP,URXECP,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXECP,URXECP,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXECP,URXECP,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXECP,URXECP,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXECP,URXECP,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXECP,URXECP,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXMBP,URXMBP,1999-2000,PHPYPA.xpt,WTSPH4YR,2648,2541,9493,2648,1417,1176,7
NHANES_URXMBP,URXMBP,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2782,10470,2901,1581,1379,12
NHANES_URXMBP,URXMBP,2003-2004,L24PH_C.xpt,WTSB2YR,2697,2605,9645,2697,1445,1288,15
NHANES_URXMBP,URXMBP,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXMBP,URXMBP,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXMBP,URXMBP,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXMBP,URXMBP,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXMBP,URXMBP,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXMBP,URXMBP,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXMBP,URXMBP,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXMEP,URXMEP,1999-2000,PHPYPA.xpt,WTSPH4YR,2648,2536,9493,2648,1417,1172,7
NHANES_URXMEP,URXMEP,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2782,10470,2901,1581,1379,12
NHANES_URXMEP,URXMEP,2003-2004,L24PH_C.xpt,WTSB2YR,2697,2605,9645,2697,1445,1288,15
NHANES_URXMEP,URXMEP,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXMEP,URXMEP,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXMEP,URXMEP,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXMEP,URXMEP,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXMEP,URXMEP,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
