test_id,biomarker,variable,exposure_axis,matrix,analysis,exposure_variable,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,fit_status,warning_message,analytic_n,t2d_cases,controls,direction
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,age_ge_40,axis_log2,ok,7627,1605,6022,0.14938808926070565,0.03036181172818704,1.1611235213490767,1.0934015870977594,1.2330399440965312,2.6888194181784338e-06,124,244,120,Newton-IRLS converged,ok,,7627,1605,6022,same
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,age_ge_40,axis_log2,ok,9253,1977,7276,0.1670265912036068,0.03703865729868395,1.1817856899944519,1.0983986853169343,1.2715031761647455,1.2856900174838367e-05,153,301,148,Newton-IRLS converged,ok,,9253,1977,7276,same
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,age_ge_40,axis_log2,ok,9279,1985,7294,0.13229207016456423,0.03185734581795896,1.1414416516376797,1.0718166432820813,1.2155894874926467,5.443217844034423e-05,153,301,148,Newton-IRLS converged,ok,,9279,1985,7294,same
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,age_ge_40,axis_log2,ok,9324,1994,7330,-0.20722205992713102,0.04792484797699823,0.8128391309471029,0.7394105787018034,0.8935596430860614,2.7517092981939386e-05,153,301,148,Newton-IRLS converged,ok,,9324,1994,7330,same
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,age_ge_40,axis_log2,ok,8362,1821,6541,0.09612538229901378,0.029978307660776554,1.1008970883488074,1.0375404291036194,1.1681225763722423,0.0016674604248277664,139,274,135,Newton-IRLS converged,ok,,8362,1821,6541,same
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,age_ge_40,axis_log2,ok,9241,1969,7272,-0.12325094160467913,0.027419134898206125,0.8840417918578378,0.8374280587643487,0.9332501837881912,1.365228395064579e-05,153,301,148,Newton-IRLS converged,ok,,9241,1969,7272,same
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,age_ge_40,axis_log2,ok,7315,1516,5799,0.07512677158491048,0.02935549849137792,1.0780208046285118,1.0171697515075573,1.1425122045651688,0.011692878141784428,124,244,120,Newton-IRLS converged,ok,,7315,1516,5799,same
NHANES_URXUSN,URXUSN,URXUSN,metal exposure axis,urine,age_ge_40,axis_log2,ok,3809,922,2887,0.11826817974063847,0.04489112760824903,1.1255459195088895,1.0289430334947833,1.231218420926832,0.010626351065408202,62,121,59,Newton-IRLS converged,ok,,3809,922,2887,same
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,age_ge_40,axis_log2,ok,8362,1821,6541,0.04545160544588618,0.02201628747786208,1.0465003584702317,1.0019233395179201,1.093060673489517,0.04083377561007847,139,274,135,Newton-IRLS converged,ok,,8362,1821,6541,same
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,age_ge_40,axis_log2,ok,6622,1518,5104,0.05214799596641798,0.021920069041274397,1.0535316494108906,1.0087411141135272,1.1003109923657943,0.019098330105535768,109,214,105,Newton-IRLS converged,ok,,6622,1518,5104,same
NHANES_URXMOH,URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,urine,age_ge_40,axis_log2,ok,8362,1821,6541,0.05010290103606967,0.022899456046186137,1.051379278826979,1.0048382734672723,1.1000759198119272,0.030344093308972715,139,274,135,Newton-IRLS converged,ok,,8362,1821,6541,same
NHANES_URXECP,URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,urine,age_ge_40,axis_log2,ok,7482,1675,5807,0.05293636936193054,0.024237033890766525,1.0543625532228103,1.0049768335953566,1.1061751440194192,0.030835595207513153,124,244,120,Newton-IRLS converged,ok,,7482,1675,5807,same
NHANES_LBXPFHS,LBXPFHS,LBXPFHS,PFAS exposure axis,serum_or_blood,age_ge_40,axis_log2,ok,7504,1640,5864,-0.0618106171771573,0.0315806516373663,0.940060901321246,0.8830993478087776,1.0006965811781678,0.05256712422182717,124,244,120,Newton-IRLS converged,ok,,7504,1640,5864,same
NHANES_URXUSR,URXUSR,URXUSR,metal exposure axis,urine,age_ge_40,axis_log2,ok,2844,668,2176,-0.15664106546264206,0.05077443703459978,0.8550108966876749,0.7719881664503995,0.946962227175061,0.0034050977470012826,47,91,44,Newton-IRLS converged,ok,,2844,668,2176,same
