test_id,biomarker,variable,exposure_axis,matrix,analysis,exposure_variable,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,fit_status,warning_message,analytic_n,t2d_cases,controls,cycle,direction,ci_excludes_1
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2001-2002,axis_log2,ok,1318,150,1168,0.15835643287937304,0.08345346796216062,1.171583711250565,0.9806688663092745,1.3996655136340042,0.07717535873771302,15,30,15,Newton-IRLS converged,ok,,1318,150,1168,2001-2002,same,False
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2003-2004,axis_log2,ok,1379,185,1194,0.22848292416666027,0.0990749486326616,1.2566920658844045,1.0174603504180186,1.552173456005411,0.03579524830204787,15,30,15,Newton-IRLS converged,ok,,1379,185,1194,2003-2004,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2005-2006,axis_log2,ok,1366,160,1206,0.229695395965058,0.09218642310519709,1.2582166936708785,1.0337621145613296,1.531405751799929,0.024913354823545758,15,30,15,Newton-IRLS converged,ok,,1366,160,1206,2005-2006,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2007-2008,axis_log2,ok,1577,245,1332,-0.08155967392452933,0.06422201015086579,0.9216777080868251,0.8043632940654772,1.0561021417208432,0.22225661166405283,16,32,16,Newton-IRLS converged,ok,,1577,245,1332,2007-2008,discordant,False
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2009-2010,axis_log2,ok,1728,263,1465,0.25242918421380317,0.08085812983971057,1.287148342505448,1.0843899884740629,1.5278182879075424,0.006571595569525788,16,31,15,Newton-IRLS converged,ok,,1728,263,1465,2009-2010,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2011-2012,axis_log2,ok,1426,224,1202,0.16819246154551212,0.10233744595578799,1.1831643023663863,0.9534000572838274,1.468300484879658,0.11864297560090212,17,31,14,Newton-IRLS converged,ok,,1426,224,1202,2011-2012,same,False
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2013-2014,axis_log2,ok,1564,225,1339,0.17886917245283543,0.05470265749831981,1.1958642819425738,1.0642530780932258,1.3437512282212591,0.005168767312257751,15,30,15,Newton-IRLS converged,ok,,1564,225,1339,2013-2014,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,Single_cycle_2015-2016,axis_log2,ok,1496,263,1233,0.19712367524915336,0.08354473150849448,1.2178946548169747,1.0192349483614627,1.4552752460227942,0.03227634046137134,15,30,15,Newton-IRLS converged,ok,,1496,263,1233,2015-2016,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_1999-2000,axis_log2,ok,1039,123,916,0.3749967047421694,0.14153015846396344,1.4549866200542485,1.0740587589047803,1.9710151302109216,0.019044413943707695,14,27,13,Newton-IRLS converged,ok,,1039,123,916,1999-2000,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2001-2002,axis_log2,ok,1318,150,1168,0.20042096046585986,0.10055644853361326,1.22191702867043,0.9861862614696264,1.5139951582064883,0.06476456983862439,15,30,15,Newton-IRLS converged,ok,,1318,150,1168,2001-2002,same,False
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2003-2004,axis_log2,ok,1379,185,1194,0.25863349959902177,0.12612278071433342,1.2951590415248426,0.9898609066681845,1.6946188414387497,0.058197278686529935,15,30,15,Newton-IRLS converged,ok,,1379,185,1194,2003-2004,same,False
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2005-2006,axis_log2,ok,1366,160,1206,0.03270637677023876,0.17118070786219053,1.0332471093430653,0.7173749263559954,1.4882030995825561,0.8510379551314994,15,30,15,Newton-IRLS converged,ok,,1366,160,1206,2005-2006,same,False
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2007-2008,axis_log2,ok,1577,245,1332,0.20665090929785204,0.11805551599254087,1.2295532712379138,0.957321876826444,1.579198473791834,0.0991872338348459,16,32,16,Newton-IRLS converged,ok,,1577,245,1332,2007-2008,same,False
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2009-2010,axis_log2,ok,1728,263,1465,0.046968441820099016,0.1216432532770638,1.0480889327786516,0.8098520231967405,1.3564088000632581,0.7044965737963835,16,31,15,Newton-IRLS converged,ok,,1728,263,1465,2009-2010,same,False
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,Single_cycle_2011-2012,axis_log2,ok,1426,224,1202,0.3072098315219381,0.08734469644144569,1.3596262305836309,1.1308037129781208,1.6347518722082757,0.0026435205468904074,17,31,14,Newton-IRLS converged,ok,,1426,224,1202,2011-2012,same,True
