test_id,biomarker,variable,exposure_axis,matrix,analysis,exposure_variable,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,fit_status,warning_message,analytic_n,t2d_cases,controls,dropped_cycle,direction,ci_excludes_1
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,10536,1565,8971,0.1542768122331956,0.031219516766322338,1.1668138304211242,1.0968042728023149,1.2412921326277522,2.819233571524894e-06,109,214,105,Newton-IRLS converged,ok,,10536,1565,8971,2001-2002,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,10475,1530,8945,0.1476373976912564,0.03038894954202131,1.1590925305271518,1.0913412972264938,1.2310498079181653,3.991656932812887e-06,109,214,105,Newton-IRLS converged,ok,,10475,1530,8945,2003-2004,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,10488,1555,8933,0.1434980764022855,0.030325435179963316,1.1543045903873002,1.0869700444585038,1.2258103102123339,6.71452940236959e-06,109,214,105,Newton-IRLS converged,ok,,10488,1555,8933,2005-2006,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,10277,1470,8807,0.18675993448437522,0.031226103779227476,1.2053378902523335,1.1329947854251667,1.2823001909340253,2.9221830060828606e-08,108,212,104,Newton-IRLS converged,ok,,10277,1470,8807,2007-2008,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,10126,1452,8674,0.14246330324402293,0.031215736121885558,1.153110764756592,1.0839245516988267,1.226713089682819,1.3354029093537029e-05,108,213,105,Newton-IRLS converged,ok,,10126,1452,8674,2009-2010,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,10428,1491,8937,0.1496941415396496,0.03116916631384946,1.1614789402345267,1.091884283892985,1.2355094294410935,5.121102259865794e-06,107,213,106,Newton-IRLS converged,ok,,10428,1491,8937,2011-2012,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,10290,1490,8800,0.14744988813397264,0.03348658830317521,1.1588752099753787,1.0844582556764377,1.238398753724069,2.5003529535597562e-05,109,214,105,Newton-IRLS converged,ok,,10290,1490,8800,2013-2014,same,True
NHANES_URXUUR,URXUUR,URXUUR,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,10358,1452,8906,0.15118092459675814,0.030694258061099284,1.1632070918189603,1.0945528273362772,1.2361675970914356,3.0182162511676875e-06,109,214,105,Newton-IRLS converged,ok,,10358,1452,8906,2015-2016,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_1999-2000,axis_log2,ok,13210,1980,11230,0.1648070604198984,0.03801105892116439,1.1791655890487363,1.093794060141952,1.2712004362285563,2.7704865776887307e-05,139,274,135,Newton-IRLS converged,ok,,13210,1980,11230,1999-2000,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,12931,1953,10978,0.17559624935907736,0.03865318644540228,1.1919567081995441,1.1042508783157523,1.2866286295274627,1.1994465739657382e-05,138,271,133,Newton-IRLS converged,ok,,12931,1953,10978,2001-2002,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,12870,1918,10952,0.16570488186489105,0.03805922461384172,1.1802247445969167,1.0946670380948402,1.2724695266088537,2.5878470312970428e-05,138,271,133,Newton-IRLS converged,ok,,12870,1918,10952,2003-2004,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,12883,1943,10940,0.18884386165564254,0.03656249892267927,1.2078523456934243,1.1236122324553974,1.2984081579541005,8.235355202350106e-07,138,271,133,Newton-IRLS converged,ok,,12883,1943,10940,2005-2006,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,12672,1858,10814,0.17104706264983838,0.03839112268495559,1.186546589734365,1.0998032040360353,1.280131576670804,1.7251585529599817e-05,137,269,132,Newton-IRLS converged,ok,,12672,1858,10814,2007-2008,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,12521,1840,10681,0.18469915188490535,0.038275960278168916,1.2028565085738785,1.115174698992592,1.2974323946961719,3.673695828003026e-06,137,270,133,Newton-IRLS converged,ok,,12521,1840,10681,2009-2010,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,12823,1879,10944,0.16023356223560034,0.040119609407739225,1.1737849908251148,1.0842566058855156,1.2707058432547753,0.00010591739637036257,136,270,134,Newton-IRLS converged,ok,,12823,1879,10944,2011-2012,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,12685,1878,10807,0.18075861947294342,0.04081816935298413,1.1981259401153461,1.1052247507504653,1.2988360669651586,1.9160184878957968e-05,138,271,133,Newton-IRLS converged,ok,,12685,1878,10807,2013-2014,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,12754,1840,10914,0.1786670269617683,0.039623661939374874,1.195622567801586,1.1055235457928747,1.2930645666268643,1.3782866867851343e-05,138,271,133,Newton-IRLS converged,ok,,12754,1840,10914,2015-2016,same,True
NHANES_URXUMO,URXUMO,URXUMO,metal exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,12892,1838,11054,0.16756550996153197,0.037183359752668774,1.1824227481165046,1.0986066785104507,1.2726334024830772,1.3932718283417687e-05,138,271,133,Newton-IRLS converged,ok,,12892,1838,11054,2017-2018,same,True
