gene_cards_k,cluster_id,gene_symbol,set_label
111,cluster_1,CAPN10,strict_disorders_exact
111,cluster_1,PPARG,strict_disorders_exact
111,cluster_10,PTPN1,strict_disorders_exact
111,cluster_11,ABCC8,strict_disorders_exact
111,cluster_11,C12ORF43,strict_disorders_exact
111,cluster_2,PPARG,strict_disorders_exact
111,cluster_3,ABCC8,strict_disorders_exact
111,cluster_3,ADIPOQ,strict_disorders_exact
111,cluster_3,CAMK1D,strict_disorders_exact
111,cluster_3,HOTAIR,strict_disorders_exact
111,cluster_3,IL6,strict_disorders_exact
111,cluster_3,INS,strict_disorders_exact
111,cluster_3,INSR,strict_disorders_exact
111,cluster_3,LMNA,strict_disorders_exact
111,cluster_3,MEG3,strict_disorders_exact
111,cluster_3,MIR125A,strict_disorders_exact
111,cluster_3,MIR29C,strict_disorders_exact
111,cluster_3,PPARG,strict_disorders_exact
111,cluster_3,SLC2A4,strict_disorders_exact
111,cluster_5,GCGR,strict_disorders_exact
111,cluster_5,PPARG,strict_disorders_exact
111,cluster_6,IL6,strict_disorders_exact
111,cluster_6,IRS2,strict_disorders_exact
111,cluster_8,AKT2,strict_disorders_exact
111,cluster_8,C12ORF43,strict_disorders_exact
111,cluster_8,CPE,strict_disorders_exact
111,cluster_8,DST,strict_disorders_exact
111,cluster_8,FTO,strict_disorders_exact
111,cluster_8,GPD2,strict_disorders_exact
111,cluster_8,H19,strict_disorders_exact
111,cluster_8,IGF2BP2,strict_disorders_exact
111,cluster_8,IL6,strict_disorders_exact
111,cluster_8,MALAT1,strict_disorders_exact
111,cluster_8,MEG3,strict_disorders_exact
111,cluster_8,PVT1,strict_disorders_exact
111,cluster_8,SLC2A4,strict_disorders_exact
111,cluster_8,WFS1,strict_disorders_exact
