set_label,rank,gene_symbol,gene_name,gene_type,relevance_score,knowledge_score,duplicate_symbol,mapped_to_ctd_background
primary_anywhere,1,INS,Insulin,Protein Coding,836.7,100,False,True
primary_anywhere,2,SLC2A2,Solute Carrier Family 2 Member 2,Protein Coding,766.8,100,False,False
primary_anywhere,3,IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,725.4,100,False,True
primary_anywhere,4,LIPC,"Lipase C, Hepatic Type",Protein Coding,721.2,95,False,False
primary_anywhere,5,KCNJ11,Potassium Inwardly Rectifying Channel Subfamily J Member 11,Protein Coding,707.5,100,False,False
primary_anywhere,6,GCK,Glucokinase,Protein Coding,705.4,100,False,False
primary_anywhere,7,TCF7L2,Transcription Factor 7 Like 2,Protein Coding,695.9,100,False,False
primary_anywhere,8,HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,690.1,100,False,False
primary_anywhere,9,ABCC8,ATP Binding Cassette Subfamily C Member 8,Protein Coding,688.2,99,False,True
primary_anywhere,10,PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,680.9,100,False,True
primary_anywhere,11,IRS1,Insulin Receptor Substrate 1,Protein Coding,680.3,93,False,False
primary_anywhere,12,PTPN1,Protein Tyrosine Phosphatase Non-Receptor Type 1,Protein Coding,677.6,91,False,True
primary_anywhere,13,HNF1B,HNF1 Homeobox B,Protein Coding,676.4,97,False,False
primary_anywhere,14,HNF1A,HNF1 Homeobox A,Protein Coding,673.1,99,False,False
primary_anywhere,15,INSR,Insulin Receptor,Protein Coding,672.1,100,False,True
primary_anywhere,16,SLC2A4,Solute Carrier Family 2 Member 4,Protein Coding,669.6,92,False,True
primary_anywhere,17,IGF2BP2,Insulin Like Growth Factor 2 MRNA Binding Protein 2,Protein Coding,658.0,82,False,True
primary_anywhere,18,AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,655.9,100,False,True
primary_anywhere,19,IRS2,Insulin Receptor Substrate 2,Protein Coding,652.7,91,False,True
primary_anywhere,20,SLC30A8,Solute Carrier Family 30 Member 8,Protein Coding,642.1,79,False,False
primary_anywhere,21,NEUROD1,Neuronal Differentiation 1,Protein Coding,640.9,89,False,False
primary_anywhere,22,IL6,Interleukin 6,Protein Coding,635.6,93,False,True
primary_anywhere,23,PDX1,Pancreatic And Duodenal Homeobox 1,Protein Coding,633.3,89,False,False
primary_anywhere,24,CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,633.2,100,False,False
primary_anywhere,25,WFS1,Wolframin ER Transmembrane Glycoprotein,Protein Coding,624.9,94,False,True
primary_anywhere,26,TNDM,"Diabetes Mellitus, Transient Neonatal",Uncategorized,622.2,33,False,False
primary_anywhere,27,PTPN22,Protein Tyrosine Phosphatase Non-Receptor Type 22,Protein Coding,608.9,89,False,False
primary_anywhere,28,PAX4,Paired Box 4,Protein Coding,603.7,82,False,False
primary_anywhere,29,LMNA,Lamin A/C,Protein Coding,597.7,100,False,True
primary_anywhere,30,GCGR,Glucagon Receptor,Protein Coding,596.0,94,False,True
