gene_cards_k,cluster_id,gene_symbol,set_label
20554,cluster_1,ABCB4,primary_anywhere
20554,cluster_1,ACACB,primary_anywhere
20554,cluster_1,ACAT2,primary_anywhere
20554,cluster_1,ACOT12,primary_anywhere
20554,cluster_1,ACOT2,primary_anywhere
20554,cluster_1,ACOX1,primary_anywhere
20554,cluster_1,ACP1,primary_anywhere
20554,cluster_1,ACSL1,primary_anywhere
20554,cluster_1,ACVRL1,primary_anywhere
20554,cluster_1,ADA,primary_anywhere
20554,cluster_1,ADAMTS20,primary_anywhere
20554,cluster_1,ADH4,primary_anywhere
20554,cluster_1,AGR2,primary_anywhere
20554,cluster_1,AKNA,primary_anywhere
20554,cluster_1,ALAS1,primary_anywhere
20554,cluster_1,AMBP,primary_anywhere
20554,cluster_1,ANGPTL4,primary_anywhere
20554,cluster_1,ANKAR,primary_anywhere
20554,cluster_1,ANKRD40,primary_anywhere
20554,cluster_1,ANKS1B,primary_anywhere
20554,cluster_1,APLF,primary_anywhere
20554,cluster_1,APOA2,primary_anywhere
20554,cluster_1,APOA5,primary_anywhere
20554,cluster_1,APOB,primary_anywhere
20554,cluster_1,APRT,primary_anywhere
20554,cluster_1,ARHGAP4,primary_anywhere
20554,cluster_1,ARHGEF38,primary_anywhere
20554,cluster_1,ARHGEF9,primary_anywhere
20554,cluster_1,ARL16,primary_anywhere
20554,cluster_1,ARMC10,primary_anywhere
20554,cluster_1,ASB14,primary_anywhere
20554,cluster_1,ASNS,primary_anywhere
20554,cluster_1,ASXL1,primary_anywhere
20554,cluster_1,ASZ1,primary_anywhere
20554,cluster_1,ATF3,primary_anywhere
20554,cluster_1,ATF4,primary_anywhere
20554,cluster_1,ATP1A1,primary_anywhere
20554,cluster_1,ATP1A2,primary_anywhere
20554,cluster_1,ATP5F1E,primary_anywhere
20554,cluster_1,ATP6V0E1,primary_anywhere
20554,cluster_1,BDNF,primary_anywhere
20554,cluster_1,BRPF1,primary_anywhere
20554,cluster_1,BSPRY,primary_anywhere
20554,cluster_1,BTN3A1,primary_anywhere
20554,cluster_1,BTN3A2,primary_anywhere
20554,cluster_1,C1QTNF6,primary_anywhere
20554,cluster_1,C3ORF18,primary_anywhere
20554,cluster_1,CA6,primary_anywhere
20554,cluster_1,CACNA1F,primary_anywhere
20554,cluster_1,CAMSAP2,primary_anywhere
20554,cluster_1,CAPN10,primary_anywhere
20554,cluster_1,CARD11,primary_anywhere
20554,cluster_1,CASP3,primary_anywhere
20554,cluster_1,CBLB,primary_anywhere
20554,cluster_1,CCAR2,primary_anywhere
20554,cluster_1,CCDC69,primary_anywhere
20554,cluster_1,CCL20,primary_anywhere
20554,cluster_1,CCND1,primary_anywhere
20554,cluster_1,CD22,primary_anywhere
20554,cluster_1,CD36,primary_anywhere
20554,cluster_1,CD3E,primary_anywhere
20554,cluster_1,CDC42BPB,primary_anywhere
20554,cluster_1,CDH1,primary_anywhere
20554,cluster_1,CDH5,primary_anywhere
20554,cluster_1,CDK6,primary_anywhere
20554,cluster_1,CDKN2C,primary_anywhere
20554,cluster_1,CEP78,primary_anywhere
20554,cluster_1,CHAC1,primary_anywhere
20554,cluster_1,CLCA2,primary_anywhere
20554,cluster_1,CLEC18A,primary_anywhere
20554,cluster_1,CLYBL,primary_anywhere
20554,cluster_1,COX20,primary_anywhere
20554,cluster_1,COX7A2L,primary_anywhere
20554,cluster_1,CPT1A,primary_anywhere
20554,cluster_1,CPZ,primary_anywhere
20554,cluster_1,CRTC3,primary_anywhere
20554,cluster_1,CRYBA1,primary_anywhere
20554,cluster_1,CRYBB3,primary_anywhere
20554,cluster_1,CSF1,primary_anywhere
20554,cluster_1,CSRP3,primary_anywhere
20554,cluster_1,CT70,primary_anywhere
20554,cluster_1,CTBP1,primary_anywhere
20554,cluster_1,CTPS2,primary_anywhere
20554,cluster_1,CXCL9,primary_anywhere
20554,cluster_1,CXXC5,primary_anywhere
20554,cluster_1,CYP19A1,primary_anywhere
20554,cluster_1,CYP2B6,primary_anywhere
20554,cluster_1,CYP2C19,primary_anywhere
20554,cluster_1,CYP2D6,primary_anywhere
20554,cluster_1,CYP3A4,primary_anywhere
20554,cluster_1,CYP3A5,primary_anywhere
20554,cluster_1,CYP3A7,primary_anywhere
20554,cluster_1,CYP7A1,primary_anywhere
20554,cluster_1,DARS1,primary_anywhere
20554,cluster_1,DDIT3,primary_anywhere
20554,cluster_1,DDR2,primary_anywhere
20554,cluster_1,DDX11,primary_anywhere
20554,cluster_1,DGKB,primary_anywhere
20554,cluster_1,DIS3L,primary_anywhere
20554,cluster_1,DLG2,primary_anywhere
20554,cluster_1,DNAAF5,primary_anywhere
20554,cluster_1,DNAH6,primary_anywhere
20554,cluster_1,DRC8,primary_anywhere
20554,cluster_1,DRD5,primary_anywhere
