chemical_id,n_raw_interaction_rows,n_unique_pmids,n_unique_chemical_gene_pairs,cluster_id,chemical_name,test_id,biomarker,step2_mapping_type,step2_mapping_confidence,recorded_parent_compound,candidate_hypothesis_unit
C471071,539.0,28.0,497.0,cluster_1,perfluorohexanesulfonic acid,NHANES_LBXPFHS,LBXPFHS,direct serum PFAS analyte,high,,direct::LBXPFHS
C012125,166.0,16.0,86.0,cluster_2,diisononyl phthalate,NHANES_URXCOP,URXCOP,parent-to-validated-urinary-metabolite axis,moderate,DINP,parent::DINP
C019174,4.0,1.0,4.0,cluster_2,dinonylphthalate,NHANES_URXCOP,URXCOP,parent-to-validated-urinary-metabolite axis,moderate,DINP,parent::DINP
C573544,19.0,2.0,19.0,cluster_2,mono(carboxy-isooctyl)phthalate,NHANES_URXCOP,URXCOP,direct urinary metabolite,high,DINP,parent::DINP
C051450,46.0,19.0,46.0,cluster_3,2-ethyl-5-carboxypentyl phthalate,NHANES_URXECP,URXECP,parent-to-validated-urinary-metabolite axis,moderate,DEHP,parent::DEHP
D004051,3145.0,125.0,2426.0,cluster_3,Diethylhexyl Phthalate,NHANES_URXECP,URXECP,parent-to-validated-urinary-metabolite axis,moderate,DEHP,parent::DEHP
D004051,3145.0,125.0,2426.0,cluster_3,Diethylhexyl Phthalate,NHANES_URXMHH,URXMHH,parent-to-validated-urinary-metabolite axis,moderate,DEHP,parent::DEHP
C575690,56.0,14.0,49.0,cluster_4,mono-isobutyl phthalate,NHANES_URXMIB,URXMIB,direct urinary metabolite,high,,biomarker::URXMIB
C080276,61.0,25.0,56.0,cluster_3,mono(2-ethyl-5-oxohexyl)phthalate,NHANES_URXMOH,URXMOH,direct urinary metabolite,high,DEHP,parent::DEHP
D004051,3145.0,125.0,2426.0,cluster_3,Diethylhexyl Phthalate,NHANES_URXMOH,URXMOH,parent-to-validated-urinary-metabolite axis,moderate,DEHP,parent::DEHP
C018520,4.0,1.0,4.0,cluster_5,"2,6-diisopropylnaphthalene",NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C025968,4.0,2.0,4.0,cluster_5,1-methylnaphthalene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C027384,4.0,2.0,4.0,cluster_5,2-methylnaphthalene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C028519,5.0,3.0,5.0,cluster_5,"2,6-dimethylnaphthalene",NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C031721,107.0,24.0,60.0,cluster_5,naphthalene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C031969,1.0,1.0,1.0,cluster_5,"1,4-dimethylnaphthalene",NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C042552,13.0,5.0,8.0,cluster_5,acenaphthene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C042553,10.0,3.0,8.0,cluster_5,acenaphthylene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C065012,4.0,2.0,2.0,cluster_5,2-ethynylnaphthalene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C117619,1.0,1.0,1.0,cluster_5,"1,2-dimethylnaphthalene",NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C466921,1.0,1.0,1.0,cluster_5,"1,6-dimethylnaphthalene",NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C523241,,,,cluster_5,octafluoronaphthalene,NHANES_URXP02,URXP02,parent PAH to validated urinary OH-PAH proxy,moderate,,proxy::URXP02
C000614996,,,,cluster_6,Barium-135,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C000614997,,,,cluster_6,Barium-136,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C000614998,,,,cluster_6,Barium-137,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C006685,,,,cluster_6,barium carbonate,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C070629,,,,cluster_6,barium copper yttrium oxide,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C516499,,,,cluster_6,barium metagermanate,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C520730,,,,cluster_6,barium gallogermanate glass,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
D001464,119.0,34.0,48.0,cluster_6,Barium,NHANES_URXUBA,URXUBA,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUBA
C000615510,,,,cluster_7,Molybdenum-94,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615511,,,,cluster_7,Molybdenum-95,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615512,,,,cluster_7,Molybdenum-96,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615513,,,,cluster_7,Molybdenum-97,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615514,,,,cluster_7,Molybdenum-100,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615515,,,,cluster_7,Molybdenum-99,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000723919,,,,cluster_7,molybdenum oxide,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C017541,,,,cluster_7,molybdenum blue,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C082290,5.0,2.0,2.0,cluster_7,molybdenum trioxide,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C082964,,,,cluster_7,molybdenum disulfide,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C085192,,,,cluster_7,molybdenum chloride,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C088876,,,,cluster_7,molybdenum telluride,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C434645,,,,cluster_7,hexacarbonylmolybdenum,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C532628,,,,cluster_7,phosphoantimonylmolybdenum blue,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C539565,,,,cluster_7,molybdenum dioxide,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C574181,,,,cluster_7,molybdenum carbide,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C582810,,,,cluster_7,molybdenum boride,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
D008982,7.0,3.0,7.0,cluster_7,Molybdenum,NHANES_URXUMO,URXUMO,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUMO
C000615127,,,,cluster_8,Lead-204,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C000615128,,,,cluster_8,Lead-206,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C000615129,,,,cluster_8,Lead-207,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C017461,154.0,17.0,68.0,cluster_8,lead nitrate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C017462,,,,cluster_8,lead tetrachloride,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C018391,,,,cluster_8,lead sulfide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C028356,,,,cluster_8,lead tetroxide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C029891,133.0,12.0,105.0,cluster_8,lead chloride,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
