chemical_id,ChemicalName,gene_id,gene_symbol,cluster_id
C117619,"1,2-dimethylnaphthalene",1544,CYP1A2,cluster_5
C031969,"1,4-dimethylnaphthalene",1544,CYP1A2,cluster_5
C466921,"1,6-dimethylnaphthalene",1544,CYP1A2,cluster_5
C025968,1-methylnaphthalene,1543,CYP1A1,cluster_5
C025968,1-methylnaphthalene,1544,CYP1A2,cluster_5
C025968,1-methylnaphthalene,1545,CYP1B1,cluster_5
C025968,1-methylnaphthalene,111484,GSTA,cluster_5
C018520,"2,6-diisopropylnaphthalene",2099,ESR1,cluster_5
C018520,"2,6-diisopropylnaphthalene",2100,ESR2,cluster_5
C018520,"2,6-diisopropylnaphthalene",5468,PPARG,cluster_5
C018520,"2,6-diisopropylnaphthalene",7068,THRB,cluster_5
C028519,"2,6-dimethylnaphthalene",1544,CYP1A2,cluster_5
C028519,"2,6-dimethylnaphthalene",1548,CYP2A6,cluster_5
C028519,"2,6-dimethylnaphthalene",1571,CYP2E1,cluster_5
C028519,"2,6-dimethylnaphthalene",2099,ESR1,cluster_5
C028519,"2,6-dimethylnaphthalene",2100,ESR2,cluster_5
C051450,2-ethyl-5-carboxypentyl phthalate,60,ACTB,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,80332,ADAM33,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,268,AMH,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,126661,CCDC163,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,285888,CNPY1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,1559,CYP2C9,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,79877,DCAKD,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,54567,DLL4,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,2099,ESR1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,51013,EXOSC1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,2257,FGF12,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,387758,FIBIN,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,2312,FLG,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,26003,GORASP2,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,2537,IFI6,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,3718,JAK3,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,51747,LUC7L3,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,55384,MEG3,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,406934,MIR142,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,406948,MIR15A,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,407015,MIR26A1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,407017,MIR26B,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,407026,MIR29C,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,442910,MIR345,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,574411,MIR451A,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,693157,MIR572,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,693223,MIR638,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,100126331,MIR942,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,407056,MIR99B,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,4312,MMP1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,4313,MMP2,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,111753249,MUC20-OT1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,283131,NEAT1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,4747,NEFL,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,7080,NKX2-1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,5198,PFAS,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,5465,PPARA,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,5468,PPARG,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,4550,RNR2,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,949,SCARB1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,284904,SEC14L4,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,101926941,SPRY4-AS1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,102724316,SVIL-AS1,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,7038,TG,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,7124,TNF,cluster_3
C051450,2-ethyl-5-carboxypentyl phthalate,90313,TP53I13,cluster_3
C065012,2-ethynylnaphthalene,1545,CYP1B1,cluster_5
C065012,2-ethynylnaphthalene,1553,CYP2A13,cluster_5
C027384,2-methylnaphthalene,1543,CYP1A1,cluster_5
C027384,2-methylnaphthalene,1544,CYP1A2,cluster_5
C027384,2-methylnaphthalene,1545,CYP1B1,cluster_5
C027384,2-methylnaphthalene,111484,GSTA,cluster_5
C042552,acenaphthene,196,AHR,cluster_5
C042552,acenaphthene,3576,CXCL8,cluster_5
C042552,acenaphthene,1543,CYP1A1,cluster_5
C042552,acenaphthene,1545,CYP1B1,cluster_5
C042552,acenaphthene,1553,CYP2A13,cluster_5
C042552,acenaphthene,1548,CYP2A6,cluster_5
C042552,acenaphthene,111484,GSTA,cluster_5
C042552,acenaphthene,9970,NR1I3,cluster_5
C042553,acenaphthylene,3576,CXCL8,cluster_5
C042553,acenaphthylene,1544,CYP1A2,cluster_5
C042553,acenaphthylene,1545,CYP1B1,cluster_5
C042553,acenaphthylene,1553,CYP2A13,cluster_5
C042553,acenaphthylene,1548,CYP2A6,cluster_5
C042553,acenaphthylene,1559,CYP2C9,cluster_5
C042553,acenaphthylene,1576,CYP3A4,cluster_5
C042553,acenaphthylene,142,PARP1,cluster_5
D001464,Barium,774,CACNA1B,cluster_6
D001464,Barium,777,CACNA1E,cluster_6
D001464,Barium,8913,CACNA1G,cluster_6
D001464,Barium,8912,CACNA1H,cluster_6
D001464,Barium,8911,CACNA1I,cluster_6
D001464,Barium,781,CACNA2D1,cluster_6
D001464,Barium,784,CACNB3,cluster_6
D001464,Barium,785,CACNB4,cluster_6
D001464,Barium,10369,CACNG2,cluster_6
D001464,Barium,10368,CACNG3,cluster_6
D001464,Barium,1135,CHRNA2,cluster_6
D001464,Barium,1143,CHRNB4,cluster_6
D001464,Barium,2147,F2,cluster_6
D001464,Barium,2150,F2RL1,cluster_6
D001464,Barium,486,FXYD2,cluster_6
D001464,Barium,2782,GNB1,cluster_6
D001464,Barium,2783,GNB2,cluster_6
D001464,Barium,2784,GNB3,cluster_6
D001464,Barium,59345,GNB4,cluster_6
D001464,Barium,10681,GNB5,cluster_6
D001464,Barium,54331,GNG2,cluster_6
D001464,Barium,2785,GNG3,cluster_6
D001464,Barium,2792,GNGT1,cluster_6
D001464,Barium,3744,KCNA10,cluster_6
D001464,Barium,3753,KCNE1,cluster_6
D001464,Barium,3756,KCNH1,cluster_6
