gene_cards_k,cluster_id,gene_symbol
500,cluster_1,CAPN10
500,cluster_1,PPARG
500,cluster_10,PTPN1
500,cluster_11,ABCC8
500,cluster_11,C12ORF43
500,cluster_2,PPARG
500,cluster_3,ABCC8
500,cluster_3,ADIPOQ
500,cluster_3,CAMK1D
500,cluster_3,HOTAIR
500,cluster_3,IL6
500,cluster_3,INS
500,cluster_3,INSR
500,cluster_3,LMNA
500,cluster_3,MEG3
500,cluster_3,MIR125A
500,cluster_3,MIR29C
500,cluster_3,PPARG
500,cluster_3,SLC2A4
500,cluster_5,GCGR
500,cluster_5,PPARG
500,cluster_6,IL6
500,cluster_6,IRS2
500,cluster_8,AKT2
500,cluster_8,C12ORF43
500,cluster_8,CPE
500,cluster_8,DST
500,cluster_8,FTO
500,cluster_8,GPD2
500,cluster_8,H19
500,cluster_8,IGF2BP2
500,cluster_8,IL6
500,cluster_8,MALAT1
500,cluster_8,MEG3
500,cluster_8,PVT1
500,cluster_8,SLC2A4
500,cluster_8,WFS1
1000,cluster_1,CAPN10
1000,cluster_1,PPARG
1000,cluster_10,PTPN1
1000,cluster_11,ABCC8
1000,cluster_11,C12ORF43
1000,cluster_2,PPARG
1000,cluster_3,ABCC8
1000,cluster_3,ADIPOQ
1000,cluster_3,CAMK1D
1000,cluster_3,HOTAIR
1000,cluster_3,IL6
1000,cluster_3,INS
1000,cluster_3,INSR
1000,cluster_3,LMNA
1000,cluster_3,MEG3
1000,cluster_3,MIR125A
1000,cluster_3,MIR29C
1000,cluster_3,PPARG
1000,cluster_3,SLC2A4
1000,cluster_5,GCGR
1000,cluster_5,PPARG
1000,cluster_6,IL6
1000,cluster_6,IRS2
1000,cluster_8,AKT2
1000,cluster_8,C12ORF43
1000,cluster_8,CPE
1000,cluster_8,DST
1000,cluster_8,FTO
1000,cluster_8,GPD2
1000,cluster_8,H19
1000,cluster_8,IGF2BP2
1000,cluster_8,IL6
1000,cluster_8,MALAT1
1000,cluster_8,MEG3
1000,cluster_8,PVT1
1000,cluster_8,SLC2A4
1000,cluster_8,WFS1
2000,cluster_1,CAPN10
2000,cluster_1,PPARG
2000,cluster_10,PTPN1
2000,cluster_11,ABCC8
2000,cluster_11,C12ORF43
2000,cluster_2,PPARG
2000,cluster_3,ABCC8
2000,cluster_3,ADIPOQ
2000,cluster_3,CAMK1D
2000,cluster_3,HOTAIR
2000,cluster_3,IL6
2000,cluster_3,INS
2000,cluster_3,INSR
2000,cluster_3,LMNA
2000,cluster_3,MEG3
2000,cluster_3,MIR125A
2000,cluster_3,MIR29C
2000,cluster_3,PPARG
2000,cluster_3,SLC2A4
2000,cluster_5,GCGR
2000,cluster_5,PPARG
2000,cluster_6,IL6
2000,cluster_6,IRS2
2000,cluster_8,AKT2
2000,cluster_8,C12ORF43
2000,cluster_8,CPE
2000,cluster_8,DST
2000,cluster_8,FTO
2000,cluster_8,GPD2
2000,cluster_8,H19
2000,cluster_8,IGF2BP2
2000,cluster_8,IL6
2000,cluster_8,MALAT1
2000,cluster_8,MEG3
2000,cluster_8,PVT1
2000,cluster_8,SLC2A4
2000,cluster_8,WFS1
