cluster_id,biomarkers,n_tests,n_chemicals,n_ctd_genes,robust_test_count,robust_tests,primary_full_n_overlap,primary_full_odds_ratio,primary_full_hypergeom_p,primary_full_bh_fdr,primary_full_rank_weighted_overlap,strict_111_n_overlap,strict_111_odds_ratio,strict_111_hypergeom_p,strict_111_bh_fdr,strict_111_rank_weighted_overlap,final_tier
cluster_6,URXUBA;URXUSR,2,24,919,2,URXUBA;URXUSR,754,1.466657352210631,1.1037015238769315e-05,0.00012140716762646246,65.47673874640209,2,0.43041691133294185,0.9397026408573927,1.0,0.43958210325427194,Tier_A
cluster_5,URXP02,1,12,65,1,URXP02,60,3.6876903001304915,0.0008650869348717845,0.00317198542786321,6.1900218017367425,2,7.3076923076923075,0.03563024483492363,0.19596634659207995,0.5324082088237403,Tier_A
cluster_8,URXUPB,1,29,3016,1,URXUPB,2357,1.179775369816778,0.0035498924081934554,0.009762204122532002,199.85977476239864,14,1.0146568954030646,0.5596602757420877,1.0,2.9649235451609055,Tier_A
cluster_11,URXUUR,1,13,245,1,URXUUR,204,1.5382610314652765,0.006405720441243626,0.014092584970735978,17.482304848827564,2,1.8376068376068375,0.31259529635782074,0.8447866265037645,0.4048950866686438,Tier_A
cluster_4,URXMIB,1,1,49,1,URXMIB,42,1.834055459272097,0.08620687392404504,0.14346499303078902,3.9788387703674633,0,0.0,1.0,1.0,0.0,Tier_B
cluster_7,URXUMO,1,18,9,1,URXUMO,9,inf,0.09129590465595665,0.14346499303078902,0.8894959969967815,0,0.0,1.0,1.0,0.0,Tier_B
cluster_1,LBXPFHS,1,1,497,1,LBXPFHS,388,1.091231764175064,0.23759977000196225,0.3266996837526981,33.56276507684763,2,0.862937062937063,0.6803033690787004,1.0,0.4676966623306479,Tier_B
cluster_9,URXUSN,1,18,4,1,URXUSN,4,inf,0.3452997492113298,0.4220330268138475,0.39817470418445244,0,0.0,1.0,1.0,0.0,Tier_B
cluster_10,URXUTU,1,12,3,1,URXUTU,3,inf,0.45048450632876613,0.4955329569616428,0.4850956618828596,1,111.96296296296296,0.013763528531285336,0.1513988138441387,0.21274605355336318,Tier_B
cluster_3,URXECP;URXMHH;URXMOH,3,3,2468,3,URXECP;URXMHH;URXMOH,1878,0.948045360321912,0.8151967344233453,0.8151967344233454,161.93695351245668,13,1.2684046164290563,0.3287665271948814,0.8447866265037645,2.7162651799185267,Tier_B
cluster_2,URXCOP,1,3,104,0,,93,2.605814995519267,0.0006656871577331928,0.00317198542786321,8.437414725433229,1,2.1377202445163612,0.38399392113807473,0.8447866265037645,0.3010299956639812,Tier_C
