axis,theme,n_independent_sources_with_q_lt_0_05_theme,sources_with_q_lt_0_05_theme,concordant_across_at_least_two_sources,observed_theme_term_count_total
cluster_11,xenobiotic_cyp,0,,False,0
cluster_11,lipid_metabolism,0,,False,0
cluster_11,inflammatory_signaling,0,,False,0
cluster_11,rna_protein_processing,1,REAC,False,2
cluster_11,transport_trafficking,1,REAC,False,3
cluster_5,xenobiotic_cyp,3,GO:BP;REAC;KEGG,True,15
cluster_5,lipid_metabolism,2,REAC;KEGG,True,5
cluster_5,inflammatory_signaling,2,REAC;KEGG,True,6
cluster_5,rna_protein_processing,3,GO:BP;REAC;KEGG,True,11
cluster_5,transport_trafficking,1,REAC,False,1
cluster_6,xenobiotic_cyp,1,REAC,False,2
cluster_6,lipid_metabolism,1,KEGG,False,2
cluster_6,inflammatory_signaling,3,GO:BP;REAC;KEGG,True,25
cluster_6,rna_protein_processing,3,GO:BP;REAC;KEGG,True,37
cluster_6,transport_trafficking,2,GO:BP;REAC,True,4
cluster_8,xenobiotic_cyp,0,,False,0
cluster_8,lipid_metabolism,0,,False,0
cluster_8,inflammatory_signaling,0,,False,0
cluster_8,rna_protein_processing,2,REAC;KEGG,True,18
cluster_8,transport_trafficking,1,REAC,False,3
