axis,removed_n,removed_genes,source,original_query_n,reduced_query_n,n_significant_q_lt_0_05,min_q,best_term,xenobiotic_cyp_significant_terms,lipid_metabolism_significant_terms,inflammatory_signaling_significant_terms,rna_protein_processing_significant_terms,transport_trafficking_significant_terms
cluster_11,1,RAC1,GO:BP,245,244,1,0.0007607461427710173,GO:0021762 | Synaptogyrin-3,0,0,0,0,0
cluster_11,1,RAC1,REAC,245,244,9,0.000517446312498011,REACTOME_INFECTIOUS_DISEASE | INFECTIOUS DISEASE,0,0,0,2,2
cluster_11,1,RAC1,KEGG,245,244,0,0.10676457249899184,hsa04144 | Endocytosis,0,0,0,0,0
cluster_11,3,ACTB;GRB2;RAC1,GO:BP,245,242,1,0.01193401858918834,GO:0021762 | Synaptogyrin-3,0,0,0,0,0
cluster_11,3,ACTB;GRB2;RAC1,REAC,245,242,3,0.002641018071927321,REACTOME_INFECTIOUS_DISEASE | INFECTIOUS DISEASE,0,0,0,0,1
cluster_11,3,ACTB;GRB2;RAC1,KEGG,245,242,0,0.09895901440226261,hsa04144 | Endocytosis,0,0,0,0,0
cluster_11,5,ACTB;ACTR2;GRB2;RAC1;WASL,GO:BP,245,240,1,0.011292351507237853,GO:0021762 | Synaptogyrin-3,0,0,0,0,0
cluster_11,5,ACTB;ACTR2;GRB2;RAC1;WASL,REAC,245,240,2,0.007678909581797945,REACTOME_INFECTIOUS_DISEASE | INFECTIOUS DISEASE,0,0,0,0,0
cluster_11,5,ACTB;ACTR2;GRB2;RAC1;WASL,KEGG,245,240,0,0.24119393392508093,hsa03013 | Nucleocytoplasmic transport,0,0,0,0,0
cluster_5,1,TP53,GO:BP,65,64,42,1.1268041938534681e-21,GO:0006805 | Aryl hydrocarbon receptor repressor,9,0,0,5,0
cluster_5,1,TP53,REAC,65,64,48,7.920705531176946e-24,REACTOME_XENOBIOTICS | XENOBIOTICS,3,3,2,2,1
cluster_5,1,TP53,KEGG,65,64,86,1.1050116072950912e-17,hsa00980 | Metabolism of xenobiotics by cytochrome P450,3,2,4,1,0
cluster_5,3,BAX;CCND1;TP53,GO:BP,65,62,37,5.598607022460748e-22,GO:0006805 | Aryl hydrocarbon receptor repressor,9,0,0,4,0
cluster_5,3,BAX;CCND1;TP53,REAC,65,62,36,4.627618766555807e-24,REACTOME_XENOBIOTICS | XENOBIOTICS,3,3,1,2,0
cluster_5,3,BAX;CCND1;TP53,KEGG,65,62,66,6.754210964534519e-18,hsa00980 | Metabolism of xenobiotics by cytochrome P450,3,1,3,0,0
cluster_5,5,BAX;CCND1;FOS;JUN;TP53,GO:BP,65,60,34,2.7049647560343915e-22,GO:0006805 | Aryl hydrocarbon receptor repressor,9,0,0,4,0
cluster_5,5,BAX;CCND1;FOS;JUN;TP53,REAC,65,60,28,2.6495275702237532e-24,REACTOME_XENOBIOTICS | XENOBIOTICS,3,3,0,1,0
