axis,null_type,permutation,source,query_size,n_terms_tested,n_significant_q_lt_0_05,min_q,best_term,xenobiotic_cyp_significant_terms,lipid_metabolism_significant_terms,inflammatory_signaling_significant_terms,rna_protein_processing_significant_terms,transport_trafficking_significant_terms,mean_abs_log1p_burden_difference,median_abs_burden_difference,same_bin_fraction
cluster_11,gene_size_matched,0,GO:BP,245,2448,0,1.0,GO:0000381 | RNA-binding protein 47,0,0,0,0,0,,,
cluster_11,gene_size_matched,0,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,,,
cluster_11,gene_size_matched,0,KEGG,245,345,0,1.0,hsa00010 | Glycolysis / Gluconeogenesis,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,0,GO:BP,245,2448,1,0.030598724500370024,GO:1903830 | NIPA-like protein 3,0,0,0,1,0,0.010971326663471004,0.0,1.0
cluster_11,annotation_burden_matched,0,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,0.010971326663471004,0.0,1.0
cluster_11,annotation_burden_matched,0,KEGG,245,345,0,0.2937007239212663,hsa04115 | p53 signaling pathway,0,0,0,0,0,0.010971326663471004,0.0,1.0
cluster_11,gene_size_matched,1,GO:BP,245,2448,0,0.6770244969954894,GO:0010884 | Acetyl-CoA carboxylase 2,0,0,0,0,0,,,
cluster_11,gene_size_matched,1,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,,,
cluster_11,gene_size_matched,1,KEGG,245,345,0,1.0,hsa00010 | Glycolysis / Gluconeogenesis,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,1,GO:BP,245,2448,1,0.040016742362055775,GO:0043065 | Ubiquitin carboxyl-terminal hydrolase 27,0,0,0,0,0,0.030645774907232415,0.0,1.0
cluster_11,annotation_burden_matched,1,REAC,245,1420,1,0.03985836506707085,REACTOME_G2_M_CHECKPOINTS | G2 M CHECKPOINTS,0,0,0,0,0,0.030645774907232415,0.0,1.0
cluster_11,annotation_burden_matched,1,KEGG,245,345,0,0.11698104787499088,hsa04110 | Cell cycle,0,0,0,0,0,0.030645774907232415,0.0,1.0
cluster_11,gene_size_matched,2,GO:BP,245,2448,0,0.9001820590676651,GO:0007169 | Receptor-type tyrosine-protein phosphatase T,0,0,0,0,0,,,
cluster_11,gene_size_matched,2,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,,,
cluster_11,gene_size_matched,2,KEGG,245,345,0,1.0,hsa00010 | Glycolysis / Gluconeogenesis,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,2,GO:BP,245,2448,0,0.38895243229105486,GO:1902166 | Lysine-specific histone demethylase 1A,0,0,0,0,0,0.02712054477421022,0.0,1.0
cluster_11,annotation_burden_matched,2,REAC,245,1420,0,0.6925808934464365,REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS | ACTIVATION OF THE AP 1 FAMILY OF TRANSCRIPTION FACTORS,0,0,0,0,0,0.02712054477421022,0.0,1.0
cluster_11,annotation_burden_matched,2,KEGG,245,345,2,0.0223235599407196,hsa00340 | Histidine metabolism,0,0,0,0,0,0.02712054477421022,0.0,1.0
cluster_11,gene_size_matched,3,GO:BP,245,2448,0,1.0,GO:0000381 | RNA-binding protein 47,0,0,0,0,0,,,
cluster_11,gene_size_matched,3,REAC,245,1420,0,0.3346312179676927,REACTOME_RHOC_GTPASE_CYCLE | RHOC GTPASE CYCLE,0,0,0,0,0,,,
cluster_11,gene_size_matched,3,KEGG,245,345,0,1.0,hsa00010 | Glycolysis / Gluconeogenesis,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,3,GO:BP,245,2448,0,0.08888501922888212,GO:0043276 | RAC-alpha serine/threonine-protein kinase,0,0,0,0,0,0.000979199281008647,0.0,1.0
cluster_11,annotation_burden_matched,3,REAC,245,1420,0,0.9006278476573811,REACTOME_ACTIVATION_OF_TRKA_RECEPTORS | ACTIVATION OF TRKA RECEPTORS,0,0,0,0,0,0.000979199281008647,0.0,1.0
cluster_11,annotation_burden_matched,3,KEGG,245,345,0,0.23829410627688632,hsa00600 | Sphingolipid metabolism,0,0,0,0,0,0.000979199281008647,0.0,1.0
cluster_11,gene_size_matched,4,GO:BP,245,2448,0,0.9991337437042073,GO:0042088 | Toll-like receptor 4,0,0,0,0,0,,,
cluster_11,gene_size_matched,4,REAC,245,1420,0,0.6035577660775149,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION | GLUCAGON SIGNALING IN METABOLIC REGULATION,0,0,0,0,0,,,
cluster_11,gene_size_matched,4,KEGG,245,345,0,0.4470962178142385,hsa04371 | Apelin signaling pathway,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,4,GO:BP,245,2448,0,0.9921042602866935,GO:0008284 | Homeobox protein Nkx-2.6,0,0,0,0,0,0.0202426768364119,0.0,1.0
cluster_11,annotation_burden_matched,4,REAC,245,1420,0,0.1347422206827191,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY | CYCLIN A CDK2 ASSOCIATED EVENTS AT S PHASE ENTRY,0,0,0,0,0,0.0202426768364119,0.0,1.0
cluster_11,annotation_burden_matched,4,KEGG,245,345,0,0.1721140517677681,hsa04310 | Wnt signaling pathway,0,0,0,0,0,0.0202426768364119,0.0,1.0
cluster_11,gene_size_matched,5,GO:BP,245,2448,0,1.0,GO:0000381 | RNA-binding protein 47,0,0,0,0,0,,,
cluster_11,gene_size_matched,5,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,,,
cluster_11,gene_size_matched,5,KEGG,245,345,0,1.0,hsa00010 | Glycolysis / Gluconeogenesis,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,5,GO:BP,245,2448,0,0.37189093425624287,"GO:0006418 | Asparagine--tRNA ligase, cytoplasmic",0,0,0,0,0,0.026426906926535043,0.0,1.0
cluster_11,annotation_burden_matched,5,REAC,245,1420,0,0.1565022066208426,REACTOME_CA2_PATHWAY | CA2 PATHWAY,0,0,0,0,0,0.026426906926535043,0.0,1.0
cluster_11,annotation_burden_matched,5,KEGG,245,345,0,0.10700116368749615,hsa00970 | Aminoacyl-tRNA biosynthesis,0,0,0,0,0,0.026426906926535043,0.0,1.0
cluster_11,gene_size_matched,6,GO:BP,245,2448,0,1.0,GO:0000381 | RNA-binding protein 47,0,0,0,0,0,,,
cluster_11,gene_size_matched,6,REAC,245,1420,0,0.31999527411710743,REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS | DEVELOPMENTAL CELL LINEAGES OF THE EXOCRINE PANCREAS,0,0,0,0,0,,,
cluster_11,gene_size_matched,6,KEGG,245,345,0,0.7640416048559574,hsa04520 | Adherens junction,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,6,GO:BP,245,2448,0,0.1070380793149864,GO:0051897 | Integrin beta-1-binding protein 1,0,0,0,0,0,0.020656419617365085,0.0,1.0
cluster_11,annotation_burden_matched,6,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,0.020656419617365085,0.0,1.0
cluster_11,annotation_burden_matched,6,KEGG,245,345,0,0.39438064702510256,hsa04916 | Melanogenesis,0,0,0,0,0,0.020656419617365085,0.0,1.0
cluster_11,gene_size_matched,7,GO:BP,245,2448,0,0.38240075905679166,GO:0031507 | PHD finger protein 1,0,0,0,0,0,,,
cluster_11,gene_size_matched,7,REAC,245,1420,0,0.3191815490102248,REACTOME_CELL_CYCLE | CELL CYCLE,0,0,0,0,0,,,
cluster_11,gene_size_matched,7,KEGG,245,345,0,0.7832805819755563,hsa00534 | Glycosaminoglycan biosynthesis - heparan sulfate / heparin,0,0,0,0,0,,,
cluster_11,annotation_burden_matched,7,GO:BP,245,2448,0,0.23815588672560822,GO:0042307 | Histone deacetylase 3,0,0,0,0,0,0.019022616657565106,0.0,1.0
cluster_11,annotation_burden_matched,7,REAC,245,1420,0,1.0,REACTOME_ABACAVIR_ADME | ABACAVIR ADME,0,0,0,0,0,0.019022616657565106,0.0,1.0
