scenario,test_id,biomarker,current_analytic_n,current_analytic_crc_cases,merge_n_frame,current_retention,target_retention,effective_retention_used,expected_analytic_n,expected_crc_cases,observed_OR_held_constant,current_SE_logOR,counterfactual_SE_logOR,ci_low_or,ci_high_or,ci_width_or,ci_width_log_or,mde_abs_logOR,mde_or_upper,mde_or_lower,detects_reference_or_1_20,reference_effect_OR,assumption,new_P_or_FDR_computed
current_observed_retention,NHANES_LBXPFDE,LBXPFDE,10773.0,78.0,18236.0,0.5907545514367186,0.5907545514367186,0.5907545514367186,10773.0,77.99999999999984,0.7709183651295605,0.1953777106123744,0.19537771061237458,0.525657158324184,1.1306135877398393,0.6049564294156553,0.7658665523642866,0.5473673060003819,1.728695894435341,0.5784707438821325,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_70pct,NHANES_LBXPFDE,LBXPFDE,10773.0,78.0,18236.0,0.5907545514367186,0.7,0.7,12765.199999999999,92.42417153996082,0.7709183651295605,0.1953777106123744,0.1794855683067628,0.5422880059105769,1.095940015667683,0.5536520097571062,0.7035704992519177,0.5028441150328321,1.6534170982225256,0.6048080675317987,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_85pct,NHANES_LBXPFDE,LBXPFDE,10773.0,78.0,18236.0,0.5907545514367186,0.85,0.85,15500.6,112.22935115566672,0.7709183651295605,0.1953777106123744,0.16288049918044797,0.5602272886511019,1.0608464416737142,0.5006191530226123,0.6384798243551676,0.4563235988228045,1.578260985537644,0.6336087688686951,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
current_observed_retention,NHANES_LBXPFHS,LBXPFHS,10773.0,78.0,18236.0,0.5907545514367186,0.5907545514367186,0.5907545514367186,10773.0,77.99999999999984,0.7646968363435038,0.1123513928373748,0.1123513928373749,0.6135579878127,0.9530659907116598,0.33950800289895977,0.4404093671483324,0.31476200140759275,1.3699332299747025,0.7299625836643632,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_70pct,NHANES_LBXPFHS,LBXPFHS,10773.0,78.0,18236.0,0.5907545514367186,0.7,0.7,12765.199999999999,92.42417153996082,0.7646968363435038,0.1123513928373748,0.1032126619268277,0.6246467955022512,0.9361470445767395,0.31150024907448826,0.4045862002501815,0.28915906797629165,1.335304115759485,0.7488930710224218,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_85pct,NHANES_LBXPFHS,LBXPFHS,10773.0,78.0,18236.0,0.5907545514367186,0.85,0.85,15500.6,112.22935115566672,0.7646968363435038,0.1123513928373748,0.09366396449018058,0.6364472031610505,0.9187898832918461,0.28234268013079555,0.3671559940999849,0.2624075783855479,1.3000563093129536,0.7691974515538287,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
current_observed_retention,NHANES_LBXPFNA,LBXPFNA,10773.0,78.0,18236.0,0.5907545514367186,0.5907545514367186,0.5907545514367186,10773.0,77.99999999999984,0.8862498364873671,0.1393931405513337,0.1393931405513338,0.6743797355870802,1.1646832359073223,0.49030350032024206,0.546411070345088,0.3905217620749602,1.477751627524728,0.6767037040419476,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_70pct,NHANES_LBXPFNA,LBXPFNA,10773.0,78.0,18236.0,0.5907545514367186,0.7,0.7,12765.199999999999,92.42417153996082,0.8862498364873671,0.1393931405513337,0.1280548173663367,0.6895340387169219,1.1390862938911932,0.44955225517427133,0.5019656601697484,0.3587564834416847,1.4315481534431964,0.6985444377786205,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
retention_85pct,NHANES_LBXPFNA,LBXPFNA,10773.0,78.0,18236.0,0.5907545514367186,0.85,0.85,15500.6,112.22935115566672,0.8862498364873671,0.1393931405513337,0.11620785320991255,0.705732087728513,1.112941846249216,0.40720975852070296,0.4555264140242918,0.32556620378153267,1.3848145112590637,0.7221183717166618,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
current_observed_retention,NHANES_URXBPH,URXBPH,7025.0,51.0,13381.0,0.5249981316792467,0.5249981316792467,0.5249981316792467,7025.0,50.99999999999981,1.0334942078913252,0.0765970672307089,0.07659706723070904,0.8894233057635361,1.200902057348256,0.31147875158471994,0.3002549861871658,0.21459321130435968,1.2393576377326525,0.8068695988588522,False,1.2,Improved complete-case retention is non-differential with respect to outcome; observed case fraction and effect are held constant.,False
