cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ160C,1999-2000_MCQ.XPT,9493,9493,4880,4847,203,4644
2001-2002,MCQ,MCQ160C,2001-2002_MCQ.XPT,10470,10470,5411,5371,240,5131
2003-2004,MCQ,MCQ160C,2003-2004_MCQ.XPT,9645,9645,5041,5012,264,4748
2005-2006,MCQ,MCQ160C,2005-2006_MCQ.XPT,9822,9822,4979,4953,200,4753
2007-2008,MCQ,MCQ160C,2007-2008_MCQ.XPT,9666,9666,5935,5906,253,5653
2009-2010,MCQ,MCQ160C,2009-2010_MCQ.XPT,10109,10109,6218,6190,254,5936
2011-2012,MCQ,MCQ160C,2011-2012_MCQ.XPT,9364,9364,5560,5538,196,5342
2013-2014,MCQ,MCQ160C,2013-2014_MCQ.XPT,9770,9770,5769,5751,232,5519
2015-2016,MCQ,MCQ160C,2015-2016_MCQ.XPT,9575,9575,5719,5693,244,5449
2017-2018,MCQ,MCQ160C,2017-2018_MCQ.XPT,8897,8897,5569,5553,265,5288
