cycle,outcome_component,outcome_variable,source_file,outcome_source_rows,merged_core_rows,adult_rows,valid_binary_rows,case_rows,control_rows
1999-2000,MCQ,MCQ010,1999-2000_MCQ.XPT,9493,9493,4880,4875,514,4361
2001-2002,MCQ,MCQ010,2001-2002_MCQ.XPT,10470,10470,5411,5407,540,4867
2003-2004,MCQ,MCQ010,2003-2004_MCQ.XPT,9645,9645,5041,5034,602,4432
2005-2006,MCQ,MCQ010,2005-2006_MCQ.XPT,9822,9822,4979,4972,650,4322
2007-2008,MCQ,MCQ010,2007-2008_MCQ.XPT,9666,9666,5935,5929,774,5155
2009-2010,MCQ,MCQ010,2009-2010_MCQ.XPT,10109,10109,6218,6211,847,5364
2011-2012,MCQ,MCQ010,2011-2012_MCQ.XPT,9364,9364,5560,5556,810,4746
2013-2014,MCQ,MCQ010,2013-2014_MCQ.XPT,9770,9770,5769,5764,878,4886
2015-2016,MCQ,MCQ010,2015-2016_MCQ.XPT,9575,9575,5719,5715,842,4873
2017-2018,MCQ,MCQ010,2017-2018_MCQ.XPT,8897,8897,5569,5564,836,4728
