disease_id,disease_name,randomization_order,test_id,biomarker,variable,matrix,exposure_axis,frozen_cycle_list,frozen_weight,source_registry_status,source_registry_n,source_cycles_read,status,N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,case_N,control_N,model_specification,weight_rule,merge_N,analytic_n,analytic_cases,analytic_controls,BH_FDR,FDR_supported,fdr_denominator
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSC2YR,ok,18236,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,11792,-0.11395010021752372,0.06815513089217583,0.892302480471194,0.7796983260089559,1.0211689445719037,0.09706119937318887,124,244,120,Newton-IRLS converged,230,11562,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR,analyte-specific laboratory/subsample weight / 8 included cycles,14264,11792,230,11562,0.5097090879282576,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_LBXPFHS,LBXPFHS,LBXPFHS,serum_or_blood,PFAS exposure axis,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSC2YR,ok,18236,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,11792,-0.029284411872969613,0.06612606906901224,0.9711402213757819,0.8520019822504395,1.1069379522835214,0.658640557432036,124,244,120,Newton-IRLS converged,230,11562,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR,analyte-specific laboratory/subsample weight / 8 included cycles,14264,11792,230,11562,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_LBXPFNA,LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSC2YR,ok,18236,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,11792,0.04658457236800039,0.06767209527489447,1.047686680665364,0.9163494785600363,1.1978479897958427,0.49249513321099975,124,244,120,Newton-IRLS converged,230,11562,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR,analyte-specific laboratory/subsample weight / 8 included cycles,14264,11792,230,11562,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXBPH,URXBPH,URXBPH,urine,bisphenol exposure axis,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,WTSA2YR;WTSB2YR;WTSC2YR,ok,13381,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,ok,7647,0.11710186316056169,0.07759462360733722,1.1242339418806817,0.963342402997886,1.3119965986583377,0.13524991706110848,79,154,75,Newton-IRLS converged,155,7492,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 5 included cycles,8731,7647,155,7492,0.5097090879282576,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXCOP,URXCOP,URXCOP,urine,DINP-related exposure axis,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR,ok,19737,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,10862,-0.015634645865249916,0.06387733207649401,0.984486940731238,0.867415271760046,1.1173593179928092,0.8071020828382206,109,214,105,Newton-IRLS converged,199,10663,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 7 included cycles,12564,10862,199,10663,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXECP,URXECP,URXECP,urine,DEHP-related exposure axis;phthalate exposure axis,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR,ok,22434,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,12272,-0.0017339658978395536,0.055061366643390675,0.9982675365525032,0.8951930961513259,1.1132101876332454,0.9749281901156507,124,244,120,Newton-IRLS converged,237,12035,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 8 included cycles,14149,12272,237,12035,0.9749281901156507,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMBP,URXMBP,URXMBP,urine,phthalate exposure axis,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR;WTSPH4YR,ok,27983,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,15009,0.0635801827785089,0.05608727312817117,1.0656449287471856,0.953872474680118,1.190514606835068,0.25873811715292494,153,301,148,Newton-IRLS converged,290,14719,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 10 included cycles,17383,15009,290,14719,0.5771850305719095,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMEP,URXMEP,URXMEP,urine,phthalate exposure axis,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR;WTSPH4YR,ok,27983,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,15005,-0.013430266492495156,0.03617053882815858,0.9866595171476868,0.9186147660629927,1.0597445618584258,0.710924760502644,153,301,148,Newton-IRLS converged,290,14715,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 10 included cycles,17383,15005,290,14715,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMHH,URXMHH,URXMHH,urine,DEHP-related exposure axis,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR,ok,25335,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,13751,0.013561982466659846,0.04471195198182752,1.0136543633008823,0.9278905518109386,1.10734522108624,0.7621003144138697,139,274,135,Newton-IRLS converged,265,13486,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 9 included cycles,15862,13751,265,13486,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMHP,URXMHP,URXMHP,urine,DEHP-related exposure axis,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR;WTSPH4YR,ok,27983,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,15009,0.014869515563299773,0.04906541205148587,1.0149806168006728,0.9212133333133786,1.1182921645041206,0.7622596560571888,153,301,148,Newton-IRLS converged,290,14719,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 10 included cycles,17383,15009,290,14719,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMIB,URXMIB,URXMIB,urine,phthalate exposure axis,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR,ok,25335,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,13751,-0.01372288260011177,0.05661422092116639,0.9863708469170757,0.8819153002098115,1.1031982860672056,0.8088330522731575,139,274,135,Newton-IRLS converged,265,13486,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 9 included cycles,15862,13751,265,13486,0.8744382540676426,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMOH,URXMOH,URXMOH,urine,DEHP-related exposure axis;phthalate exposure axis,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR,ok,25335,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,13751,-0.004003542326402288,0.04821049606544004,0.9960044611648429,0.9054490583878727,1.0956164540350202,0.9339368500290299,139,274,135,Newton-IRLS converged,265,13486,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 9 included cycles,15862,13751,265,13486,0.9672917375300667,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXMZP,URXMZP,URXMZP,urine,phthalate exposure axis,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR;WTSPH4YR,ok,27983,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,15009,0.04718555978909723,0.0508764145643751,1.0483165164244215,0.9480714673330635,1.159161051117426,0.355151356397114,153,301,148,Newton-IRLS converged,290,14719,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 10 included cycles,17383,15009,290,14719,0.7356706668225933,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXP02,URXP02,URXP02,urine,PAH exposure axis,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSB2YR;WTSPH2YR,ok,22401,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,ok,12214,0.16460815251405747,0.07780688632456381,1.1789310670156954,1.0106629781088552,1.375214577836319,0.036379347209291424,124,244,120,Newton-IRLS converged,253,11961,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 8 included cycles,14202,12214,253,11961,0.35166702302315045,False,29
NHANES_EMPHYSEMA,Physician-diagnosed emphysema,12,NHANES_URXP04,URXP04,URXP04,urine,PAH exposure axis,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSB2YR;WTSPH2YR,ok,25380,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,13698,0.37011979712755866,0.07585659589742526,1.4479080595005176,1.2462484835260286,1.682198836330836,2.877516097414218e-06,139,274,135,Newton-IRLS converged,278,13420,disease ~ log2(exposure) + age + sex + race + BMI + smoking + PIR + log2(creatinine),analyte-specific laboratory/subsample weight / 9 included cycles,15959,13698,278,13420,4.172398341250616e-05,True,29
