disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2003-2004,2368,2094,5041,1611,1341,493
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2005-2006,2323,2120,4979,1593,1391,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2007-2008,2294,2100,5935,1887,1557,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2009-2010,2432,2233,6218,2019,1665,593
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2011-2012,2177,1904,5560,1775,1387,482
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2013-2014,2339,2168,5769,1863,1591,601
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2015-2016,2170,1993,5719,1751,1462,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFDE,LBXPFDE,2017-2018,2133,1929,5569,1765,1380,496
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2003-2004,2368,2094,5041,1611,1341,493
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2005-2006,2323,2120,4979,1593,1391,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2007-2008,2294,2100,5935,1887,1557,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2009-2010,2432,2233,6218,2019,1665,593
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2011-2012,2177,1904,5560,1775,1387,482
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2013-2014,2339,2168,5769,1863,1591,601
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2015-2016,2170,1993,5719,1751,1462,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFHS,LBXPFHS,2017-2018,2133,1929,5569,1765,1380,496
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2003-2004,2368,2094,5041,1611,1341,493
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2005-2006,2323,2120,4979,1593,1391,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2007-2008,2294,2100,5935,1887,1557,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2009-2010,2432,2233,6218,2019,1665,593
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2011-2012,2177,1904,5560,1775,1387,482
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2013-2014,2339,2168,5769,1863,1591,601
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2015-2016,2170,1993,5719,1751,1462,547
NHANES_HIGH_BLOOD_PRESSURE,NHANES_LBXPFNA,LBXPFNA,2017-2018,2133,1929,5569,1765,1380,496
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXBPH,URXBPH,2003-2004,2612,2517,5041,1546,1373,486
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXBPH,URXBPH,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXBPH,URXBPH,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXBPH,URXBPH,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXBPH,URXBPH,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2005-2006,2638,2548,4979,1543,1389,450
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2007-2008,2718,2604,5935,1900,1637,583
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2009-2010,2819,2749,6218,1967,1714,592
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2011-2012,2594,2489,5560,1775,1523,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2013-2014,2777,2685,5769,1863,1638,618
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2015-2016,3205,2975,5719,1751,1509,560
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXCOP,URXCOP,2017-2018,2986,2762,5569,1765,1451,523
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXECP,URXECP,2003-2004,2697,2605,5041,1585,1395,447
