chemical_id,chemical_name,chemical_class,positive_biomarkers,exposure_axes,mapping_types,mapping_grades,mapping_gate_statuses,mapping_gate_disposition,mapping_gate_reasons,manual_review_required,NHANES_variables,matrices,cycle_lists,weight_variables,mapping_row_count,primary_mapping_row_count,direct_mapping_row_count,specific_mapping_row_count,proxy_mapping_row_count,T2D_ORs,T2D_P_values,T2D_FDR_values,T2D_analytic_Ns,T2D_case_Ns,T2D_robustness_statuses,T2D_robustness_tiers
C000615170,Uranium-226,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615171,Uranium-228,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615172,Uranium-230,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615173,Uranium-232,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615174,Uranium-233,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615175,Uranium-234,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615176,Uranium-235,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615177,Uranium-236,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615178,Uranium-237,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615179,Uranium-238,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
