gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
ABCB1,5243,False,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,3,True,True,shared,0.03327758608223503,470,0.05805522329476696,279,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABCB6,10058,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0022174791281082107,1683,0.0022174791281082107,4226,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABL1,25,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.007761176948378739,955,0.00591471492994567,2589,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACHE,43,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,16,True,True,shared,0.004989328038243475,1162,0.017283640751898643,1155,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACTA1,58,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.002771848910135263,1581,0.03037368544407999,626,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACTR1B,10120,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.30316498274618475,111,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADA,100,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,2076,0.03482763089713071,526,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADAM17,6868,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0025870589827929123,1636,0.03674435504763505,494,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADRA2C,152,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470183,1461,0.5781404477164324,15,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AHR,196,True,True,True,2,9,2,0,mixed,True,True,True,True,False,True,False,23,True,True,shared,0.00406537840153172,1296,0.040627899652654925,439,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AHSG,197,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.00813075680306344,924,0.014472017004319696,1344,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AKT1,207,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,3,True,True,shared,0.03436466472035266,460,0.06231939979574281,261,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALB,213,False,False,True,3,5,3,0,mixed,True,True,True,True,True,True,False,5,True,True,shared,0.01402859123572008,701,0.0996854128072856,127,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALDH1A1,216,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,6,True,True,shared,0.0022174791281082107,1671,0.007463459843216062,2250,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALPL,249,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1320,0.0044144260420672715,3112,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APOD,347,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0022174791281082107,1730,0.0036957985468470188,3641,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APP,351,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.00794596687572109,941,0.027088549547140385,719,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AR,367,True,True,True,3,16,2,0,mixed,True,True,True,True,False,True,False,60,True,True,shared,0.008939315396256971,873,0.03279826335909965,570,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ARG2,384,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.005605294462717976,1103,0.013732990886685413,1397,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
