gene_symbol,exact_2NAP_human_support,exact_2NAP_experimental_support,exact_2NAP_any,number_of_sources,multi_source_ge2,parent_naphthalene_support,CTD_support,toxicogenomic_support,bioassay_target_support,degree,degree_rank,betweenness_centrality,betweenness_rank,pagerank,pagerank_rank,network_central_top10pct_any,priority_hub_candidate,candidate_rule
TP53,True,False,True,2,True,True,True,True,True,72,1,0.1456849625457364,1,0.03302601363182435,1,True,True,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
AKT1,False,False,False,1,False,True,True,False,False,56,2,0.06357966212225036,4,0.02342781143061743,3,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
EGFR,False,False,False,1,False,True,True,False,False,56,3,0.09544912764043603,2,0.02471779169812388,2,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
MYC,False,False,False,1,False,True,True,False,False,45,4,0.031391320292002915,9,0.018724470609017135,4,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
JUN,True,False,True,2,True,True,True,True,True,43,5,0.027946967370222234,13,0.017841783210692214,5,True,True,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
TNF,False,False,False,2,True,True,True,True,True,43,6,0.028843918579484103,12,0.017567309603717066,7,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CASP3,True,False,True,3,True,True,True,True,True,41,7,0.019243636134821173,19,0.0163346822015458,10,True,True,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
IL1B,False,False,False,1,False,True,False,True,True,41,8,0.03406166114104225,8,0.017670249333755095,6,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
NFKB1,True,False,True,1,False,True,False,True,True,41,9,0.024692470559034063,14,0.016452827294222337,9,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
BCL2,False,False,False,1,False,True,True,False,False,40,10,0.014478046913079433,25,0.015836849578523212,11,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
ESR1,True,False,True,2,True,True,True,True,True,38,11,0.05853544894875297,5,0.01746974800045642,8,True,True,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
HIF1A,True,False,True,1,False,True,False,True,True,36,12,0.021765589668218233,16,0.014929808071633851,14,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
MMP9,False,False,False,1,False,True,True,False,False,33,13,0.050654367536085425,6,0.014955730864313376,13,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
ALB,False,False,False,3,True,True,True,True,True,32,14,0.06962249772915255,3,0.01536450905861901,12,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CCND1,False,False,False,1,False,True,True,False,False,30,15,0.00944312911922891,36,0.012288401673980624,19,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
MAPK1,False,False,False,1,False,True,False,True,True,30,16,0.018160377005487952,22,0.013428992875922637,15,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CDKN1A,False,False,False,1,False,True,True,False,False,29,17,0.011382899285954174,28,0.011501316128739593,20,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CXCL8,False,False,False,2,True,True,True,True,True,27,18,0.024501905472161186,15,0.012319827710727092,18,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CYCS,False,False,False,1,False,True,True,False,False,27,19,0.029345519350971797,11,0.012528888926116642,17,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
BRCA1,False,False,False,1,False,True,False,True,True,25,23,0.019547850497157314,17,0.01143600225161506,21,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
APP,False,False,False,1,False,True,False,True,True,24,25,0.036564990991209384,7,0.012772993396782041,16,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
GSTP1,False,False,False,1,False,True,True,False,False,14,46,0.019284161111838526,18,0.007554212176658774,41,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
GNAS,False,False,False,1,False,True,False,True,True,7,83,0.030247389485023722,10,0.007997235675225074,36,True,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
FOS,False,False,False,1,False,True,True,False,False,27,20,0.005804439480935513,46,0.010891371164458537,23,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
BCL2L1,False,False,False,1,False,True,False,True,True,26,21,0.005787585747538875,47,0.010488464038033078,25,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
IFNG,True,False,True,1,False,False,False,True,True,26,22,0.011233844999659529,32,0.011055790390275454,22,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
MDM2,False,False,False,1,False,True,False,True,True,25,24,0.004441415245540759,51,0.010498963697628226,24,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
