gene_symbol,n_relevant_tissues_with_fdr,tissues_with_fdr,directions,direction_consistency,female_biased_hit_count,male_biased_hit_count,min_fdr,min_raw_p,max_abs_beta,mean_beta,repeat_flag,module_id,exact_2NAP_human_support,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate
PLA2G5,4,Adrenal Gland; Artery - Aorta; Artery - Coronary; Artery - Tibial,male-biased,male_only,0,4,2.9335414504652043e-12,1.4815865911440429e-15,0.6024597043036386,-0.39168173638783654,yes,HYP_M003,False,False,False,False
CES1,3,Adrenal Gland; Artery - Aorta; Artery - Tibial,female-biased,female_only,3,0,1.0439667369931588e-05,1.3181398194358066e-08,0.496336773565286,0.4177990713246941,yes,HYP_M003,True,False,False,False
BCL2,3,Artery - Aorta; Artery - Tibial; Heart - Left Ventricle,female-biased; male-biased,mixed,2,1,0.0010619335664704,6.435961008911651e-06,0.2045392468032708,0.015203906202076936,yes,HYP_M001,False,False,True,False
SFN,2,Artery - Aorta; Heart - Left Ventricle,female-biased,female_only,2,0,2.571120295745665e-06,2.265164029260289e-09,0.4187741010352619,0.2799763669548035,yes,HYP_M001,False,False,False,False
SERPINE1,2,Artery - Aorta; Artery - Tibial,male-biased,male_only,0,2,3.460551241768713e-05,7.864889185837983e-08,0.6850779098602217,-0.5408701550529028,yes,HYP_M002,False,False,False,False
UCHL1,2,Heart - Atrial Appendage; Heart - Left Ventricle,male-biased,male_only,0,2,0.0003742668209051,1.3231655284526923e-06,0.4336317459862017,-0.392462616426702,yes,HYP_M001,False,False,False,False
CLCNKB,2,Artery - Aorta; Artery - Tibial,female-biased,female_only,2,0,0.0012555609526177,7.926521165516177e-06,0.1125489201305493,0.1029508941066403,yes,HYP_M009,False,False,False,False
DRD1,2,Artery - Coronary; Artery - Tibial,male-biased,male_only,0,2,0.0016352194047665,1.1149223214317457e-05,0.1831252218186922,-0.15457536598506677,yes,HYP_M004,False,False,False,False
PTH1R,2,Artery - Aorta; Artery - Tibial,female-biased,female_only,2,0,0.0119153385922615,0.0002316871392939,0.1741758461785575,0.17408842862267127,yes,HYP_M004,False,True,False,False
PKM,1,Artery - Tibial,male-biased,male_only,0,1,1.5056846210397557e-05,2.2813403349087205e-08,0.1725107353469942,-0.1725107353469942,no,HYP_M001,False,False,False,False
DES,1,Artery - Aorta,male-biased,male_only,0,1,3.616502235925008e-05,9.13258140385103e-08,0.5468816190037812,-0.5468816190037812,no,HYP_M026,False,False,False,False
ADRA2C,1,Artery - Aorta,male-biased,male_only,0,1,6.719773124926822e-05,1.866603645813006e-07,0.4209305415102989,-0.4209305415102989,no,HYP_M017,False,False,False,False
DRD2,1,Artery - Aorta,male-biased,male_only,0,1,0.0007150158220617,3.611191020513906e-06,0.2467629770891317,-0.2467629770891317,no,HYP_M004,True,False,False,False
PTK2B,1,Heart - Atrial Appendage,male-biased,male_only,0,1,0.0007572668868882,4.015809248649772e-06,0.3258749663241371,-0.3258749663241371,no,HYP_M006,False,False,False,False
ESR2,1,Heart - Left Ventricle,male-biased,male_only,0,1,0.0007881487789995,4.378604327775349e-06,0.0710666282422052,-0.0710666282422052,no,HYP_M001,True,False,False,False
