bin_start_ns,bin_end_ns,n_samples,total_contact_residues_mean,total_contact_pairs_mean,hydrophobic_contact_residues_mean,hydrophobic_contact_pairs_mean,hbond_count_mean,pocket_min_distance_mean_A,pocket_min_distance_min_A,whole_rmsd_mean_A,core_rmsd_mean_A,whole_com_mean_A,core_com_mean_A,protein_backbone_rmsd_mean_A,pocket_ca_rmsd_mean_A,initial_contact_retention_mean
0.0,5.0,50,15.58,90.28,9.8,32.86,0.1,3.1521200864880985,1.3668659583946998,4.084202089008874,5.339460463186994,3.3116942159167424,5.22987112257843,2.0767460003920535,0.9344256341457366,0.29666666666666663
5.0,10.0,50,16.54,86.54,9.04,35.98,0.08,2.4092612705419225,1.1715239529093344,5.061152113362986,6.649326267058077,4.029059230866856,6.4496899562891,2.208438215099346,0.8589210665225983,0.17
10.0,15.0,50,17.18,109.24,10.56,46.28,0.76,3.2808492044801914,2.5634706412310995,3.811268710073366,5.209387222879961,2.2631330552973536,4.855245935717273,2.5753964694430875,0.867313585281372,0.19166666666666665
15.0,20.0,50,17.78,107.58,10.08,38.82,0.48,3.7015379236083947,2.9056027551367327,4.369652130268206,5.886011304102835,2.8241222287381014,5.526847231269337,2.4809155698188725,0.9550628638267518,0.09
20.0,25.0,50,16.54,109.58,10.2,42.66,0.36,3.727369669585493,2.5531954469021954,3.789503719937074,5.515002543301783,2.2223484839712313,5.106853858651917,2.6046675889855453,0.9792938780784607,0.06000000000000001
25.0,30.0,50,18.28,111.8,11.7,45.5,0.22,3.709352248927171,3.2406758919300453,3.647901765558006,5.071651096084511,1.4375713714255054,4.566087054723262,2.5026131371319975,1.0399207162857056,0.0716666666666667
30.0,35.0,50,17.68,107.2,11.76,47.96,0.44,3.8432111522880916,3.1371589162926625,3.487404053045881,4.6497909558675055,0.8923663916758457,4.147414107805474,2.3029730568409246,0.8568536227941513,0.09333333333333335
35.0,40.0,50,16.74,94.6,10.88,41.96,0.46,3.586808557955239,2.668480955628589,3.4372127298591524,4.3877256086631045,0.9103596555502564,3.9459171303405656,2.2636527619080398,0.681124038696289,0.14666666666666664
40.0,45.0,50,16.74,95.02,10.98,42.78,0.58,3.811967278060738,2.4687471079957097,3.510017540939269,4.654811697266115,1.1541056884499188,4.209581175589038,2.4608946962588267,0.7319963699579239,0.07333333333333333
45.0,50.0,50,15.82,98.3,9.82,45.42,0.76,3.8156651931650423,3.293229463707728,3.219043666211517,4.262126064370403,1.3102251025846214,3.9055517126301957,2.7105143599079455,0.7791411924362183,0.09166666666666665
50.0,55.0,50,16.72,96.86,10.8,45.08,0.5,3.627707955122278,2.8071929026425377,3.328087639439245,4.177156988783009,0.9802793902537897,3.758891895151022,2.804815585013909,0.8741856491565705,0.12000000000000002
55.0,60.0,50,17.6,91.76,11.28,43.66,0.14,3.756890391961532,2.671977065900159,3.7007113096656106,4.231505038611724,0.7044151560193909,3.7177547063610543,2.7802733554545203,0.8909104490280151,0.08833333333333332
60.0,65.0,50,15.46,93.8,10.12,41.88,0.48,3.8245647535286076,3.147127789410373,3.4886401302739904,4.3467728891757424,1.1581277393598948,3.932343282735479,2.6377880455422447,1.0368646574020386,0.10833333333333334
65.0,70.0,50,16.62,96.66,11.12,44.68,0.26,3.490344390281132,2.702160745392457,3.522240231004075,4.181979957435834,0.7447705721367872,3.6679474442997098,2.651193702094281,0.7942352569103241,0.1316666666666667
70.0,75.0,50,17.32,102.26,11.32,44.18,0.22,3.6364549594867692,2.9098430951625414,3.4451402451078876,4.198033348239516,0.939666589503019,3.60471691730024,2.8605009939587656,0.887777110338211,0.16666666666666669
75.0,80.0,50,17.24,105.46,11.04,43.92,0.48,3.68693228200977,3.0865580532987047,3.5678960050949193,4.407673893459138,1.1228531990829975,3.808162895913936,2.5821079203799466,0.8035286659002304,0.1416666666666667
80.0,85.0,50,17.54,109.22,11.7,48.3,0.76,3.734705275369355,3.293796186905881,3.5488873100216476,4.707472756699386,1.033790669450537,4.208431183370588,2.651904262214956,0.8406491684913635,0.08333333333333336
85.0,90.0,50,17.58,108.34,11.22,48.44,0.62,3.7041396138187617,2.975062376460807,3.5164593258135723,4.693471626412587,1.0399328014331894,4.1932709635995185,2.6618506358074567,0.8023766440153122,0.08
90.0,95.0,50,16.1,97.6,10.34,42.9,0.64,3.597611043363137,2.79173340680625,3.7606553330437675,4.289737292441096,1.1935394472727479,3.775196511927543,2.98247249206994,1.0739585375785827,0.08666666666666668
95.0,100.0,50,17.32,99.56,10.84,45.94,0.62,3.579547863515929,2.684259132865297,3.4401625874549184,4.3490133207002675,1.062656346263072,3.91493297695901,2.7625836613280073,0.8207622271776199,0.09666666666666668
