bin_start_ns,bin_end_ns,n_samples,total_contact_residues_mean,total_contact_pairs_mean,hydrophobic_contact_residues_mean,hydrophobic_contact_pairs_mean,hbond_count_mean,pocket_min_distance_mean_A,pocket_min_distance_min_A,whole_rmsd_mean_A,core_rmsd_mean_A,whole_com_mean_A,core_com_mean_A,protein_backbone_rmsd_mean_A,pocket_ca_rmsd_mean_A,initial_contact_retention_mean
0.0,5.0,50,18.08,102.1,10.54,48.0,0.26,3.5877551764202646,2.7805888274642054,5.756727237237973,4.987549173443304,3.719018277481189,4.53290036628852,1.9616564297077739,0.7898009473085403,0.19166666666666665
5.0,10.0,50,19.4,103.38,11.44,47.22,0.32,3.500061842992892,2.8711164705367493,5.709347697188829,4.806213745179415,3.6551080744235924,4.364235812045165,2.0616636965546866,0.843153429031372,0.1716666666666667
10.0,15.0,50,18.3,96.52,10.58,45.4,0.06,3.5994396620471965,2.9563692401673505,5.783051348229548,4.9306093228154975,3.5145550882642813,4.413774983851253,2.413600243048515,0.917829355597496,0.14833333333333334
15.0,20.0,50,18.04,89.72,10.94,43.1,0.12,3.54420760127195,2.324376909293949,5.946709293635042,4.618985774430296,3.637325883511437,4.076044144196697,2.534352997373974,0.903572894334793,0.14666666666666667
20.0,25.0,50,17.92,90.0,10.94,42.52,0.06,3.739352118087816,2.939314728127182,6.028570011359501,4.62668379798799,3.8594937563659113,4.119067852360603,2.7166861959680153,0.8051418292522431,0.1466666666666667
25.0,30.0,50,16.92,90.2,9.88,42.14,0.2,3.339927652549751,2.723759690274205,5.463094984796746,4.648835429118172,3.33898738971369,4.098451026941563,2.765116729444932,0.7468988692760468,0.12166666666666663
30.0,35.0,50,17.82,88.1,11.06,42.68,0.08,3.5729037692320698,2.559312015430813,6.347332664474703,4.647034852628547,4.161705584946837,4.151465511101678,2.7795301684874043,0.7872242271900177,0.1916666666666666
35.0,40.0,50,18.18,89.72,11.2,42.44,0.06,3.689193739549808,2.957584292817486,6.397708350129177,4.455531350665206,4.182622916114843,3.930299651405539,2.641004591420135,0.7762934333086013,0.1516666666666667
40.0,45.0,50,17.06,96.12,10.2,45.52,0.02,3.5050449507694843,2.847440419887693,5.959946733381786,4.534731432082925,3.6797187330546746,3.9862610508497824,2.689070872042679,0.8021938216686249,0.16166666666666668
45.0,50.0,50,18.2,94.1,11.94,46.64,0.1,3.5160740531733667,2.7670341075262326,6.9097035654008145,5.01060327608837,4.915364899713627,4.575641240488703,2.6469265430974884,0.7811186671257019,0.1533333333333334
50.0,55.0,50,18.64,96.66,12.56,46.46,0.04,3.234674027540005,2.4720586195544993,7.562737963858537,5.082320552476208,5.660185260700543,4.701676949467645,2.7966057637967014,0.8507797133922577,0.18333333333333332
55.0,60.0,50,18.34,105.12,12.74,52.4,0.1,3.319512332185144,2.52294633937698,7.513359496108294,5.444264940395372,5.545957274177469,5.060011058144812,2.654112240037049,0.861476217508316,0.15333333333333335
60.0,65.0,50,18.14,100.66,12.44,47.8,0.08,3.153957433804702,2.2322362284733734,7.706903125648913,5.569989134240439,5.750709971093917,5.198317931523174,2.730394097652228,0.9524417853355408,0.13166666666666668
65.0,70.0,50,17.4,98.92,12.6,54.28,0.06,3.6451690353543897,1.953442534193834,7.694788661401033,5.906660238085317,6.321426942832587,5.767002214771765,2.6354281514903652,0.9139219188690185,0.08833333333333333
70.0,75.0,50,17.2,102.32,12.44,56.18,0.04,3.7840748719121415,2.895716595453952,7.726721036232723,5.983956368910898,6.381267690829511,5.836379356535475,2.5398960836559548,0.8157169246673583,0.07
75.0,80.0,50,17.6,101.48,12.56,54.38,0.02,3.672597160769763,2.358958397580702,7.799053736417616,6.038161535405802,6.2822231652758,5.803996692614463,2.7091298909981902,0.7651229250431061,0.08666666666666666
80.0,85.0,50,17.7,98.84,12.0,49.76,0.04,3.1987643893500164,2.6688265054103715,7.671613710541025,5.300467341000233,5.778150808519217,4.946027641041239,2.755485268938487,0.8430552244186401,0.10666666666666665
85.0,90.0,50,17.7,96.8,12.16,48.36,0.04,3.409965093058265,2.853117345375887,7.539960177413163,4.894850664781305,5.591504875323227,4.478177100022158,2.5925092519159363,0.8424548017978668,0.12999999999999995
90.0,95.0,50,18.32,106.54,12.06,53.52,0.1,3.260840690459933,2.6118946113789208,7.533589153201978,4.695928550500021,5.557170456589054,4.265239745177437,2.605065737027657,1.0544740414619447,0.16999999999999996
95.0,100.0,50,18.32,108.6,12.38,53.36,0.02,3.0523233568058368,2.234553511477573,7.595381303377391,4.932917240701672,5.674564806921543,4.552620273121219,2.5644987201961316,0.8410312604904174,0.18000000000000005
