atom_index_1based,atom_name,element,part,rmsf_A
1,C1x,C,branch_A,2.573056646570592
2,C2x,C,branch_A,2.0440003552089063
3,C3x,C,branch_A,2.7132164334519784
4,C4x,C,branch_A,1.9871902408430029
5,C5x,C,branch_A,1.8905881712177905
6,C6x,C,branch_A,2.0494162035958494
7,C7x,C,branch_A,2.1682973137123804
8,C8x,C,branch_A,2.2147967610850885
9,C9x,C,branch_A,2.147322127415353
10,O1x,O,branch_B,1.9700279106831782
11,C10x,C,branch_B,2.113488624094474
12,O2x,O,branch_B,2.610166300105632
13,C11x,C,core,2.067240313056345
14,C12x,C,core,2.245841421741575
15,C13x,C,core,2.469458627092577
16,C14x,C,core,2.4249242318303907
17,C15x,C,core,2.2662522683030857
18,C16x,C,core,2.146115568524376
19,C17x,C,branch_B,2.4247845498870393
20,O3x,O,branch_B,2.8126072970501563
21,O4x,O,branch_B,2.7581538744714
